path,inventory_quantity,file_offset,elevation_group,object_id,tile,tile_x,tile_y,rotation,pid,pid_hex,prototype_type,prototype_subtype,prototype_filename,script_id,script_filename,inventory_length
0,,121296,0,3113,5905,105,29,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
1,,121400,0,25,6910,110,34,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
2,,121504,0,28,6911,111,34,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
3,,121608,0,31,7108,108,35,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
4,,121712,0,34,7109,109,35,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
5,,121816,0,37,7110,110,35,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
6,,121920,0,40,7306,106,36,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
7,,122024,0,43,7307,107,36,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
8,,122128,0,46,7310,110,36,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
9,,122232,0,49,7504,104,37,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
10,,122336,0,52,7505,105,37,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
11,,122440,0,55,7511,111,37,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
12,,122544,0,58,7702,102,38,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
13,,122648,0,61,7703,103,38,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
14,,122752,0,64,7711,111,38,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
15,,122856,0,67,7712,112,38,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
16,,122960,0,70,7900,100,39,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
17,,123064,0,73,7901,101,39,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
18,,123168,0,76,7912,112,39,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
19,,123272,0,79,8098,98,40,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
20,,123376,0,82,8099,99,40,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
21,,123480,0,85,8113,113,40,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
22,,123584,0,88,8296,96,41,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
23,,123688,0,91,8297,97,41,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
24,,123792,0,94,8313,113,41,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
25,,123896,0,97,8314,114,41,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
26,,124000,0,100,8494,94,42,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
27,,124104,0,103,8495,95,42,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
28,,124208,0,106,8514,114,42,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
29,,124312,0,109,8692,92,43,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
30,,124416,0,112,8693,93,43,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
31,,124520,0,115,8706,106,43,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
32,,124608,0,118,8715,115,43,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
33,,124712,0,121,8890,90,44,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
34,,124816,0,124,8891,91,44,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
35,,124920,0,127,8904,104,44,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
36,,125008,0,130,8905,105,44,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
37,,125096,0,133,8906,106,44,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
38,,125184,0,136,8915,115,44,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
39,,125288,0,139,8916,116,44,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
