path,inventory_quantity,file_offset,elevation_group,object_id,tile,tile_x,tile_y,rotation,pid,pid_hex,prototype_type,prototype_subtype,prototype_filename,script_id,script_filename,inventory_length
0,,87636,0,25,5900,100,29,0,50331838,0x030000BE,wall,,00000190.pro,-1,,0
1,,87724,0,26,6100,100,30,0,50331839,0x030000BF,wall,,00000191.pro,-1,,0
2,,87812,0,27,6101,101,30,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
3,,87900,0,28,6102,102,30,0,33554776,0x02000158,scenery,generic,00000345.pro,-1,,0
4,,87988,0,29,6103,103,30,0,33554776,0x02000158,scenery,generic,00000345.pro,-1,,0
5,,88076,0,30,6104,104,30,0,33554776,0x02000158,scenery,generic,00000345.pro,-1,,0
6,,88164,0,31,6105,105,30,0,33554776,0x02000158,scenery,generic,00000345.pro,-1,,0
7,,88252,0,32,6106,106,30,0,50331879,0x030000E7,wall,,00000231.pro,-1,,0
8,,88340,0,33,6300,100,31,0,50331837,0x030000BD,wall,,00000189.pro,-1,,0
9,,88428,0,34,6301,101,31,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
10,,88516,0,35,6306,106,31,0,50331880,0x030000E8,wall,,00000232.pro,-1,,0
11,,88604,0,36,6500,100,32,0,50331838,0x030000BE,wall,,00000190.pro,-1,,0
12,,88692,0,37,6501,101,32,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
13,,88780,0,38,6506,106,32,0,50331881,0x030000E9,wall,,00000233.pro,-1,,0
14,,88868,0,41,6700,100,33,0,50331839,0x030000BF,wall,,00000191.pro,-1,,0
15,,88956,0,42,6701,101,33,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
16,,89044,0,43,6706,106,33,0,50331878,0x030000E6,wall,,00000230.pro,-1,,0
17,,89132,0,45,6850,50,34,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
18,,89220,0,49,6900,100,34,0,50331840,0x030000C0,wall,,00000192.pro,-1,,0
19,,89308,0,50,6901,101,34,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
20,,89396,0,51,6906,106,34,0,50331879,0x030000E7,wall,,00000231.pro,-1,,0
21,,89484,0,53,7051,51,35,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
22,,89572,0,57,7100,100,35,0,50331841,0x030000C1,wall,,00000193.pro,-1,,0
23,,89660,0,58,7101,101,35,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
24,,89748,0,59,7106,106,35,0,50331880,0x030000E8,wall,,00000232.pro,-1,,0
25,,89836,0,61,7251,51,36,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
26,,89924,0,62,7252,52,36,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
27,,90012,0,66,7300,100,36,0,50331842,0x030000C2,wall,,00000194.pro,-1,,0
28,,90100,0,67,7301,101,36,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
29,,90188,0,68,7306,106,36,0,50331880,0x030000E8,wall,,00000232.pro,-1,,0
30,,90276,0,71,7452,52,37,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
