path,inventory_quantity,file_offset,elevation_group,object_id,tile,tile_x,tile_y,rotation,pid,pid_hex,prototype_type,prototype_subtype,prototype_filename,script_id,script_filename,inventory_length
0,,40264,0,25,7512,112,37,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
1,,40368,0,26,7916,116,39,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
2,,40472,0,27,8107,107,40,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
3,,40576,0,28,8701,101,43,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
4,,40680,0,29,9120,120,45,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
5,,40784,0,30,9295,95,46,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
6,,40888,0,31,9888,88,49,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
7,,40992,0,32,10482,82,52,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
8,,41096,0,33,10725,125,53,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
9,,41200,0,34,11076,76,55,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
10,,41304,0,35,11670,70,58,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
11,,41408,0,36,12130,130,60,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
12,,41512,0,37,12264,64,61,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
13,,41616,0,38,12858,58,64,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
14,,41720,0,39,13452,52,67,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
15,,41824,0,40,13936,136,69,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
16,,41928,0,41,14046,46,70,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
17,,42032,0,42,14640,40,73,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
18,,42136,0,43,15235,35,76,0,83886099,0x05000013,misc,,00000019.pro,-1,,0
19,,42240,0,44,15541,141,77,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
20,,42344,0,45,15833,33,79,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
21,,42448,0,46,17548,148,87,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
22,,42552,0,47,17639,39,88,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
23,,42656,0,48,19354,154,96,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
24,,42760,0,49,19445,45,97,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
25,,42864,0,50,21160,160,105,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
26,,42968,0,51,21452,52,107,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
27,,43072,0,52,22966,166,114,0,83886096,0x05000010,misc,,00000016.pro,-1,,0
28,,43176,0,53,23767,167,118,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
29,,43280,0,54,23860,60,119,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
30,,43384,0,55,24162,162,120,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
31,,43488,0,56,24955,155,124,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
32,,43592,0,57,25548,148,127,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
33,,43696,0,58,26268,68,131,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
34,,43800,0,59,26340,140,131,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
35,,43904,0,60,27132,132,135,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
36,,44008,0,61,27924,124,139,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
37,,44112,0,62,28676,76,143,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
38,,44216,0,63,28716,116,143,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
39,,44320,0,64,29508,108,147,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
40,,44424,0,65,30301,101,151,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
41,,44528,0,66,30883,83,154,0,83886097,0x05000011,misc,,00000017.pro,-1,,0
42,,44632,0,67,30895,95,154,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
43,,44736,0,68,31488,88,157,0,83886098,0x05000012,misc,,00000018.pro,-1,,0
