path,inventory_quantity,file_offset,elevation_group,object_id,tile,tile_x,tile_y,rotation,pid,pid_hex,prototype_type,prototype_subtype,prototype_filename,script_id,script_filename,inventory_length
0,,123400,0,25,9698,98,48,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
1,,123488,0,26,9896,96,49,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
2,,123576,0,27,9897,97,49,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
3,,123664,0,28,9898,98,49,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
4,,123752,0,29,10094,94,50,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
5,,123840,0,30,10095,95,50,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
6,,123928,0,31,10096,96,50,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
7,,124016,0,32,10097,97,50,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
8,,124104,0,33,10099,99,50,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
9,,124192,0,34,10292,92,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
10,,124280,0,35,10293,93,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
11,,124368,0,36,10294,94,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
12,,124456,0,37,10295,95,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
13,,124544,0,38,10299,99,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
14,,124632,0,39,10300,100,51,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
15,,124720,0,40,10490,90,52,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
16,,124808,0,41,10491,91,52,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
17,,124896,0,42,10492,92,52,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
18,,124984,0,43,10493,93,52,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
19,,125072,0,44,10500,100,52,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
20,,125160,0,45,10688,88,53,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
21,,125248,0,46,10689,89,53,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
22,,125336,0,47,10690,90,53,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
23,,125424,0,48,10691,91,53,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
24,,125512,0,49,10701,101,53,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
25,,125600,0,50,10886,86,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
26,,125688,0,51,10887,87,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
27,,125776,0,52,10888,88,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
28,,125864,0,53,10889,89,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
29,,125952,0,54,10901,101,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
30,,126040,0,55,10902,102,54,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
31,,126128,0,56,11084,84,55,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
32,,126216,0,57,11085,85,55,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
33,,126304,0,58,11086,86,55,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
34,,126392,0,59,11087,87,55,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
35,,126480,0,60,11102,102,55,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
36,,126568,0,61,11282,82,56,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
37,,126656,0,62,11283,83,56,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
38,,126744,0,63,11284,84,56,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
39,,126832,0,64,11285,85,56,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
40,,126920,0,65,11303,103,56,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
41,,127008,0,66,11480,80,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
42,,127096,0,67,11481,81,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
43,,127184,0,68,11482,82,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
44,,127272,0,69,11483,83,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
45,,127360,0,70,11503,103,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
46,,127448,0,71,11504,104,57,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
47,,127536,0,72,11678,78,58,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
48,,127624,0,73,11679,79,58,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
49,,127712,0,74,11680,80,58,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
50,,127800,0,75,11681,81,58,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
51,,127888,0,76,11704,104,58,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
52,,127976,0,77,11876,76,59,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
53,,128064,0,78,11877,77,59,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
54,,128152,0,79,11878,78,59,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
55,,128240,0,80,11879,79,59,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
56,,128328,0,81,11905,105,59,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
57,,128416,0,82,12074,74,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
58,,128504,0,83,12075,75,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
59,,128592,0,84,12076,76,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
60,,128680,0,85,12077,77,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
61,,128768,0,86,12105,105,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
62,,128856,0,87,12106,106,60,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
63,,128944,0,88,12272,72,61,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
64,,129032,0,89,12273,73,61,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
65,,129120,0,90,12274,74,61,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
66,,129208,0,91,12275,75,61,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
67,,129296,0,92,12278,78,61,0,50332347,0x030002BB,wall,,00000699.pro,-1,,0
68,,129384,0,93,12279,79,61,0,50332370,0x030002D2,wall,,00000722.pro,-1,,0
69,,129472,0,94,12280,80,61,0,50332369,0x030002D1,wall,,00000721.pro,-1,,0
70,,129560,0,95,12281,81,61,0,50332316,0x0300029C,wall,,00000668.pro,-1,,0
71,,129648,0,96,12282,82,61,0,50332315,0x0300029B,wall,,00000667.pro,-1,,0
72,,129736,0,97,12283,83,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
73,,129824,0,98,12284,84,61,0,50332317,0x0300029D,wall,,00000669.pro,-1,,0
74,,129912,0,99,12285,85,61,0,50332316,0x0300029C,wall,,00000668.pro,-1,,0
75,,130000,0,100,12286,86,61,0,50332315,0x0300029B,wall,,00000667.pro,-1,,0
76,,130088,0,101,12287,87,61,0,50332316,0x0300029C,wall,,00000668.pro,-1,,0
77,,130176,0,102,12288,88,61,0,50332315,0x0300029B,wall,,00000667.pro,-1,,0
78,,130264,0,103,12289,89,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
79,,130352,0,104,12290,90,61,0,50332346,0x030002BA,wall,,00000698.pro,-1,,0
80,,130440,0,105,12291,91,61,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
81,,130528,0,106,12300,100,61,0,50332347,0x030002BB,wall,,00000699.pro,-1,,0
82,,130616,0,107,12301,101,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
83,,130704,0,108,12302,102,61,0,50332314,0x0300029A,wall,,00000666.pro,-1,,0
84,,130792,0,109,12303,103,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
85,,130880,0,110,12304,104,61,0,50332314,0x0300029A,wall,,00000666.pro,-1,,0
86,,130968,0,111,12305,105,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
87,,131056,0,112,12306,106,61,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
88,,131144,0,113,12306,106,61,0,50332314,0x0300029A,wall,,00000666.pro,-1,,0
89,,131232,0,114,12307,107,61,0,50332318,0x0300029E,wall,,00000670.pro,-1,,0
90,,131320,0,115,12308,108,61,0,50332346,0x030002BA,wall,,00000698.pro,-1,,0
91,,131408,0,116,12309,109,61,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
92,,131496,0,118,12470,70,62,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
93,,131584,0,119,12471,71,62,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
94,,131672,0,120,12472,72,62,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
95,,131760,0,121,12473,73,62,0,83886092,0x0500000C,misc,,00000012.pro,-1,,0
96,,131848,0,122,12478,78,62,4,50332270,0x0300026E,wall,,00000622.pro,-1,,0
97,,131936,0,123,12479,79,62,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
98,,132024,0,124,12481,81,62,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
99,,132112,0,125,12483,83,62,0,50332270,0x0300026E,wall,,00000622.pro,-1,,0
100,,132200,0,126,12484,84,62,0,33555235,0x02000323,scenery,generic,00000804.pro,-1,,0
