procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
3,description_p_proc,2154,message_lookup,663,102,102,,,,,linked,"This woman is wrinkled and gray, yet has a spry step and a bright personality.",
5,look_at_p_proc,2550,message_lookup,663,101,101,,,,,linked,You see 阿加莎.,
5,look_at_p_proc,2574,message_lookup,663,100,100,,,,,linked,You see an aged woman.,
8,Agatha00,2884,message_lookup,663,103,103,,,,,linked,You are a bad person. I will have nothing to do with you.,
9,Agatha01,2932,reply,663,104,104,,,,,linked,It is a terrible thing when our youth are threatened. The loss of 坦蒂 would be a terrible thing.,
9,Agatha01,2966,intelligence_option,663,105,105,-3,10,Agatha02,49,linked,Hnng.,
9,Agatha01,2998,intelligence_option,663,106,106,4,29,AgathaEnd,50,linked,Okay.,
9,Agatha01,3030,intelligence_option,663,107,107,5,11,Agatha03,50,linked,Why?,
9,Agatha01,3062,intelligence_option,663,108,108,4,12,Agatha04,50,linked,What do you mean?,
10,Agatha02,3108,message,663,109,109,,,,49,linked,"I know you will do your best, dearie. Find 坦蒂, help her escape those beasts and return her to 亚拉德什. You will do this community a favor and build good karma as well.",
11,Agatha03,3148,reply,663,110,110,,,,,linked,"亚拉德什 loves his daughter very much. It is that love that makes him the man that he is and a pillar of this community. Without that love he would be lost, and 沙荫镇 would surely follow . . .",
11,Agatha03,3180,intelligence_option,663,111,111,5,29,AgathaEnd,49,linked,I will do my best. Goodbye.,
11,Agatha03,3212,intelligence_option,663,112,112,6,12,Agatha04,50,linked,I could use some help.,
11,Agatha03,3244,intelligence_option,663,113,113,5,29,AgathaEnd,50,linked,Hmmm. We'll see.,
12,Agatha04,3284,reply,663,114,114,,,,,linked,I feel that she is imprisoned. She was the target of hatred. That hate is very strong to the southeast. I'm sure you will find her there. Good luck.,
12,Agatha04,3316,intelligence_option,663,115,115,5,29,AgathaEnd,49,linked,Thank you.,
13,Agatha05,3362,message,663,116,116,,,,50,linked,You have not heard? 坦蒂 is missing. I feel she was kidnapped. 亚拉德什 is most distraught. This is a terrible thing . . .,
14,Agatha06,3432,message,663,117,117,,,,49,linked,I hear that you have saved 坦蒂. That was the right thing to do. Your karma is strong. I have high hopes for your future.,
15,Agatha07,3478,message,663,118,118,,,,50,linked,I'm very sorry to hear about 坦蒂. She was such a bright young woman. She would have done good with her life.,
16,Agatha08,3518,reply,663,119,119,,,,,linked,Hello. You must be the stranger everyone is talking about. 【阿加莎 sighs.】 How can I help you?,
16,Agatha08,3552,intelligence_option,663,120,120,-3,17,Agatha09,50,linked,Hngh.,
16,Agatha08,3584,intelligence_option,663,121,121,4,18,Agatha10,50,linked,Who are you?,
16,Agatha08,3642,intelligence_option,663,122,122,5,21,Agatha13,50,linked,You look very tired. Is there anything wrong?,
16,Agatha08,3682,intelligence_option,663,123,123,7,21,Agatha13,50,linked,Why do you look so tired?,
16,Agatha08,3714,intelligence_option,663,124,124,4,17,Agatha09,51,linked,"Don't talk to me, old woman.",
17,Agatha09,3760,message,663,125,125,,,,50,linked,"You need more help than I can give you, child. May 达玛 be with you.",
18,Agatha10,3800,reply,663,126,126,,,,,linked,My name is 阿加莎. I am the storyteller of 沙荫镇. It is my job # to keep the history so that we may remember and never forget.,
18,Agatha10,3832,intelligence_option,663,127,127,4,19,Agatha11,50,linked,Tell me a story.,
18,Agatha10,3864,intelligence_option,663,128,128,4,29,AgathaEnd,50,linked,"Okay, whatever.",
18,Agatha10,3896,intelligence_option,663,129,129,6,20,Agatha12,49,linked,It is good not to forget.,
19,Agatha11,3942,message,663,130,130,,,,50,linked,"I'm sorry, child, I am tired right now. I need my rest. Please come # back later.",
20,Agatha12,4012,message,663,131,131,,,,50,linked,"How very true. 【阿加莎 stares at you for a moment.】 It is good for # the young to remember, but it is very hard to act within the flow of history. # Sometimes, the very course we take is determined by events long ago. May 达玛 # be with you. I must rest for a little while. Come back again, when I am stronger, # and we will speak again.",
21,Agatha13,4058,message,663,132,132,,,,50,linked,"Thank you for asking. I'm just old, that's all. I cannot sleep at night. # I close my eyes . . . 【阿加莎 pauses.】 But I get no rest. Please, it is # just my old tired bones . . .",
22,Agatha14,4098,reply,663,133,133,,,,,linked,"I'm sorry, I'm very tired. Could you please come back later?",
22,Agatha14,4132,intelligence_option,663,134,134,-3,29,AgathaEnd,50,linked,Baba.,
22,Agatha14,4164,intelligence_option,663,135,135,4,29,AgathaEnd,50,linked,Okay.,
22,Agatha14,4196,intelligence_option,663,136,136,6,23,Agatha15,50,linked,Why are you so tired?,
23,Agatha15,4242,message,663,137,137,,,,50,linked,"I don't sleep well at night, my child. It must be my age.",
24,Agatha16,4282,reply,663,138,138,,,,,linked,"Good day, my child. You look well. You remind me of my own baby.",
24,Agatha16,4316,intelligence_option,663,139,139,-3,25,Agatha17,50,linked,Hng.,
24,Agatha16,4348,intelligence_option,663,140,140,4,28,Agatha20,50,linked,"I want a story, then.",
24,Agatha16,4380,intelligence_option,663,141,141,6,26,Agatha18,50,linked,I'm glad you are feeling better.,
24,Agatha16,4412,intelligence_option,663,142,142,4,29,AgathaEnd,50,linked,Thank you. Goodbye.,
25,Agatha17,4458,message,663,143,143,,,,50,linked,"You definitely remind me of my baby. When she was just a few months # old, as a matter of fact.",
26,Agatha18,4498,reply,663,144,144,,,,,linked,Thank you. 达玛 always said that the farmer who plants politeness will # walk easy when the season is over.,
26,Agatha18,4530,intelligence_option,663,145,145,5,28,Agatha20,50,linked,Please tell me a story.,
26,Agatha18,4562,intelligence_option,663,146,146,5,27,Agatha19,51,linked,This 达玛 fellow sounds like an idiot.,
27,Agatha19,4656,message,663,147,147,,,,51,linked,You insult your elders. You should know better.,
41,Goodbyes,6330,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
