procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
8,Fire00,3056,reply,280,111,111,,,,,no-msg,,
8,Fire00,3090,intelligence_option,280,112,112,-3,9,Fire01,50,no-msg,,
8,Fire00,3122,intelligence_option,280,113,113,4,15,Fire07,50,no-msg,,
8,Fire00,3154,intelligence_option,280,114,114,6,19,Fire11,50,no-msg,,
8,Fire00,3186,intelligence_option,280,115,115,5,30,FireCombat,50,no-msg,,
8,Fire00,3218,intelligence_option,280,116,116,4,31,FireEnd,50,no-msg,,
8,Fire00,3250,intelligence_option,280,117,117,6,25,Fire17,50,no-msg,,
9,Fire01,3290,reply,280,118,118,,,,,no-msg,,
9,Fire01,3324,intelligence_option,280,119,119,-3,10,Fire02,50,no-msg,,
9,Fire01,3358,intelligence_option,280,120,120,-3,13,Fire05,50,no-msg,,
9,Fire01,3392,intelligence_option,280,121,121,-3,14,Fire06,50,no-msg,,
10,Fire02,3432,reply,280,122,122,,,,,no-msg,,
10,Fire02,3466,intelligence_option,280,123,123,-3,11,Fire03,50,no-msg,,
10,Fire02,3500,intelligence_option,280,124,124,-3,12,Fire04,50,no-msg,,
11,Fire03,3546,message,280,125,125,,,,50,no-msg,,
12,Fire04,3592,message,280,126,126,,,,50,no-msg,,
13,Fire05,3662,message,280,127,127,,,,50,no-msg,,
14,Fire06,3732,message,280,128,128,,,,50,no-msg,,
15,Fire07,3772,reply,280,129,129,,,,,no-msg,,
15,Fire07,3804,intelligence_option,280,130,130,4,31,FireEnd,50,no-msg,,
15,Fire07,3836,intelligence_option,280,131,131,4,16,Fire08,50,no-msg,,
15,Fire07,3868,intelligence_option,280,132,132,5,17,Fire09,50,no-msg,,
15,Fire07,3900,intelligence_option,280,133,133,7,18,Fire10,50,no-msg,,
16,Fire08,3946,message,280,134,134,,,,50,no-msg,,
17,Fire09,4010,reply,280,135,135,,,,,no-msg,,
17,Fire09,4042,intelligence_option,280,136,136,5,31,FireEnd,50,no-msg,,
17,Fire09,4074,intelligence_option,280,137,137,5,16,Fire08,50,no-msg,,
18,Fire10,4120,message,280,138,138,,,,50,no-msg,,
19,Fire11,4160,reply,280,139,139,,,,,no-msg,,
19,Fire11,4192,intelligence_option,280,140,140,6,20,Fire12,50,no-msg,,
19,Fire11,4224,intelligence_option,280,141,141,6,23,Fire15,50,no-msg,,
19,Fire11,4256,intelligence_option,280,142,142,6,24,Fire16,50,no-msg,,
20,Fire12,4296,reply,280,143,143,,,,,no-msg,,
20,Fire12,4328,intelligence_option,280,144,144,6,21,Fire13,50,no-msg,,
20,Fire12,4360,intelligence_option,280,145,145,6,22,Fire14,50,no-msg,,
21,Fire13,4406,message,280,146,146,,,,50,no-msg,,
22,Fire14,4452,message,280,147,147,,,,50,no-msg,,
23,Fire15,4522,message,280,148,148,,,,50,no-msg,,
24,Fire16,4568,message,280,149,149,,,,50,no-msg,,
25,Fire17,4638,message,280,150,150,,,,50,no-msg,,
26,Fire18,4708,message,280,151,151,,,,50,no-msg,,
27,Fire19,4772,message,280,152,152,,,,50,no-msg,,
28,Fire20,4818,message,280,153,153,,,,50,no-msg,,
29,Fire21,4864,message,280,154,154,,,,50,no-msg,,
33,show_true_name,5388,message_lookup,280,100,100,,,,,no-msg,,
33,show_true_name,5412,message_lookup,280,103,103,,,,,no-msg,,
34,show_false_name,5464,message_lookup,280,,"random(104, 110)",,,,,no-msg,,
