procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
7,look_at_p_proc,2018,message_lookup,767,100,100,,,,,linked,你看见深红商队的一名店员。,
8,caravan00,2060,reply,767,103,103,,,,,linked,你好，是找工作来的？,
8,caravan00,2092,intelligence_option,767,104,104,0,9,caravan01,50,linked,是。,
8,caravan00,2124,intelligence_option,767,105,105,0,10,caravan02,50,linked,不。,
9,caravan01,2164,reply,767,106,106,,,,,linked,很好，我们缺少一名护卫人员，有兴趣吗？,
9,caravan01,2196,intelligence_option,767,104,104,0,11,caravan03,50,linked,是。,
9,caravan01,2228,intelligence_option,767,105,105,0,10,caravan02,50,linked,不。,
10,caravan02,2274,message,767,107,107,,,,50,linked,好吧，如果你以后需要工作，来这里我们给你安排。,
11,caravan03,2314,reply,767,109,109,,,,,linked,太好了。我们有去往晒骨场、迦克镇、大墓地和钢铁兄弟会的商队，你喜欢走哪一路？,
11,caravan03,2346,intelligence_option,767,112,112,0,12,caravan03a,50,linked,晒骨场。,
11,caravan03,2378,intelligence_option,767,113,113,0,13,caravan03b,50,linked,迦克镇。,
11,caravan03,2410,intelligence_option,767,114,114,0,14,caravan03c,50,linked,钢铁兄弟会。,
11,caravan03,2442,intelligence_option,767,115,115,0,15,caravan03d,50,linked,大墓地。,
11,caravan03,2474,intelligence_option,767,116,116,0,16,caravan04,50,linked,算了。,
12,caravan03a,2526,message,767,117,117,,,,50,linked,太好了，我们现在就走。,
13,caravan03b,2786,message,767,117,117,,,,50,linked,太好了，我们现在就走。,
14,caravan03c,3046,message,767,117,117,,,,50,linked,太好了，我们现在就走。,
15,caravan03d,3306,message,767,117,117,,,,50,linked,太好了，我们现在就走。,
16,caravan04,3560,message,767,108,108,,,,50,linked,真可惜，再见。,
28,Goodbyes,5126,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
