procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
4,look_at_p_proc,2542,message_lookup,275,100,100,,,,,no-msg,,
6,ChdGuard0,2736,reply,275,101,101,,,,,no-msg,,
6,ChdGuard0,2770,intelligence_option,275,102,102,-3,7,ChdGuard1,50,no-msg,,
6,ChdGuard0,2802,intelligence_option,275,103,103,4,19,ChdGuard13,50,no-msg,,
6,ChdGuard0,2834,intelligence_option,275,104,104,4,32,ChdGuard25,50,no-msg,,
6,ChdGuard0,2866,intelligence_option,275,105,105,6,33,ChdGuard26,50,no-msg,,
6,ChdGuard0,2898,intelligence_option,275,106,106,6,34,ChdGuard27,50,no-msg,,
7,ChdGuard1,2938,reply,275,107,107,,,,,no-msg,,
7,ChdGuard1,2972,intelligence_option,275,108,108,-3,8,ChdGuard2,50,no-msg,,
7,ChdGuard1,3006,intelligence_option,275,109,109,-3,44,combat,50,no-msg,,
7,ChdGuard1,3040,intelligence_option,275,110,110,-3,15,ChdGuard9,50,no-msg,,
8,ChdGuard2,3080,reply,275,111,111,,,,,no-msg,,
8,ChdGuard2,3114,intelligence_option,275,112,112,-3,44,combat,50,no-msg,,
8,ChdGuard2,3148,intelligence_option,275,113,113,-3,9,ChdGuard3,50,no-msg,,
8,ChdGuard2,3182,intelligence_option,275,114,114,-3,10,ChdGuard4,50,no-msg,,
9,ChdGuard3,3228,message,275,115,115,,,,50,no-msg,,
10,ChdGuard4,3268,reply,275,116,116,,,,,no-msg,,
10,ChdGuard4,3302,intelligence_option,275,117,117,-3,11,ChdGuard5,50,no-msg,,
10,ChdGuard4,3336,intelligence_option,275,118,118,-3,44,combat,50,no-msg,,
10,ChdGuard4,3370,intelligence_option,275,119,119,-3,12,ChdGuard6,50,no-msg,,
11,ChdGuard5,3416,message,275,120,120,,,,50,no-msg,,
12,ChdGuard6,3456,reply,275,121,121,,,,,no-msg,,
12,ChdGuard6,3490,intelligence_option,275,122,122,-3,13,ChdGuard7,50,no-msg,,
12,ChdGuard6,3524,intelligence_option,275,123,123,-3,11,ChdGuard5,50,no-msg,,
12,ChdGuard6,3558,intelligence_option,275,124,124,-3,14,ChdGuard8,50,no-msg,,
13,ChdGuard7,3604,message,275,125,125,,,,50,no-msg,,
14,ChdGuard8,3650,message,275,126,126,,,,50,no-msg,,
15,ChdGuard9,3690,reply,275,127,127,,,,,no-msg,,
15,ChdGuard9,3724,intelligence_option,275,128,128,-3,16,ChdGuard10,50,no-msg,,
15,ChdGuard9,3758,intelligence_option,275,129,129,-3,18,ChdGuard12,50,no-msg,,
15,ChdGuard9,3792,intelligence_option,275,130,130,-3,43,ChdGuardend,50,no-msg,,
16,ChdGuard10,3832,reply,275,131,131,,,,,no-msg,,
16,ChdGuard10,3866,intelligence_option,275,132,132,-3,17,ChdGuard11,50,no-msg,,
16,ChdGuard10,3900,intelligence_option,275,133,133,-3,43,ChdGuardend,50,no-msg,,
17,ChdGuard11,3946,message,275,134,134,,,,50,no-msg,,
18,ChdGuard12,3986,reply,275,135,135,,,,,no-msg,,
18,ChdGuard12,4020,intelligence_option,275,136,136,-3,43,ChdGuardend,50,no-msg,,
19,ChdGuard13,4060,reply,275,137,137,,,,,no-msg,,
19,ChdGuard13,4092,intelligence_option,275,138,138,4,20,ChdGuard14,50,no-msg,,
