procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
7,look_at_p_proc,2868,message_lookup,560,100,100,,,,,linked,你看见柯里奥。,
8,Cleo00,2938,message_lookup,560,101,101,,,,,linked,不准后退，不准投降，弟兄们。,
8,Cleo00,2970,message_lookup,560,102,102,,,,,linked,不准后退，不准投降，姐妹们。,
9,Cleo01,3044,message_lookup,560,103,103,,,,,linked,你要走？滚吧！,
10,Cleo02,3092,reply,560,104,104,,,,,linked,你想干啥？,
10,Cleo02,3148,intelligence_option,560,106,106,4,13,Cleo05,50,linked,告诉我关于茉莉的事情。,
10,Cleo02,3204,intelligence_option,560,105,105,4,12,Cleo04,50,linked,告诉我洛克西里的事情。,
10,Cleo02,3236,intelligence_option,560,107,107,4,14,Cleo06,50,linked,告诉我关于地下圈的事情。,
10,Cleo02,3292,intelligence_option,560,108,108,4,15,Cleo07,50,linked,告诉我关于德克的事情。,
10,Cleo02,3348,intelligence_option,560,109,109,4,16,Cleo08,50,linked,告诉我关于失踪商队的事情。,
10,Cleo02,3380,intelligence_option,560,110,110,4,17,Cleo09,50,linked,嗨。,
10,Cleo02,3414,intelligence_option,560,111,111,-3,18,Cleo10,50,linked,嗯，吼！,
11,Cleo03,3454,reply,560,112,112,,,,,linked,嘿！怎么回事？,
11,Cleo03,3510,intelligence_option,560,113,113,4,19,Cleo11,50,linked,告诉我关于洛克西里的事情。,
11,Cleo03,3566,intelligence_option,560,114,114,4,13,Cleo05,50,linked,告诉我关于茉莉的事情。,
11,Cleo03,3598,intelligence_option,560,115,115,4,20,Cleo12,50,linked,告诉我关于地下圈的事情。,
11,Cleo03,3654,intelligence_option,560,116,116,4,21,Cleo13,50,linked,告诉我关于德克的事情。,
11,Cleo03,3710,intelligence_option,560,117,117,4,22,Cleo14,50,linked,告诉我关于失踪商队的事情。,
11,Cleo03,3742,intelligence_option,560,119,119,4,17,Cleo09,50,linked,嗨。,
11,Cleo03,3776,intelligence_option,560,120,120,-3,18,Cleo10,50,linked,嗯，吼！,
12,Cleo04,3816,reply,560,121,121,,,,,linked,他是我们老板，你还想知道什么？,
12,Cleo04,3872,intelligence_option,560,122,122,4,13,Cleo05,50,linked,告诉我关于茉莉的事情。,
12,Cleo04,3904,intelligence_option,560,123,123,4,14,Cleo06,50,linked,告诉我关于地下圈的事情。,
12,Cleo04,3960,intelligence_option,560,124,124,4,15,Cleo07,50,linked,告诉我关于德克的事情。,
12,Cleo04,4016,intelligence_option,560,125,125,4,16,Cleo08,50,linked,告诉我关于失踪商队的事情。,
12,Cleo04,4048,intelligence_option,560,126,126,4,17,Cleo09,50,linked,嗨！,
12,Cleo04,4082,intelligence_option,560,127,127,-3,18,Cleo10,50,linked,嗯，吼！,
13,Cleo05,4122,reply,560,128,128,,,,,linked,她是老板的助手。不错的妞。,
13,Cleo05,4178,intelligence_option,560,129,129,4,12,Cleo04,50,linked,告诉我关于洛克西里的事情。,
13,Cleo05,4210,intelligence_option,560,131,131,4,14,Cleo06,50,linked,告诉我关于地下圈的事情。,
13,Cleo05,4266,intelligence_option,560,132,132,4,15,Cleo07,50,linked,告诉我关于德克的事情。,
13,Cleo05,4322,intelligence_option,560,133,133,4,16,Cleo08,50,linked,告诉我关于失踪商队的事情。,
13,Cleo05,4354,intelligence_option,560,134,134,4,17,Cleo09,50,linked,嗨！,
13,Cleo05,4388,intelligence_option,560,135,135,-3,18,Cleo10,50,linked,嗯，吼！,
14,Cleo06,4428,reply,560,136,136,,,,,linked,幸运的话，你今天就可以成为我们的一员，在家里，做某个家具，你懂我意思吗？,
14,Cleo06,4484,intelligence_option,560,137,137,4,12,Cleo04,50,linked,告诉我有关洛克西里的事情。,
14,Cleo06,4540,intelligence_option,560,138,138,4,13,Cleo05,50,linked,告诉我有关茉莉的事情。,
14,Cleo06,4596,intelligence_option,560,139,139,4,15,Cleo07,50,linked,告诉我有关德克的事情。,
14,Cleo06,4652,intelligence_option,560,140,140,4,16,Cleo08,50,linked,告诉我有关失踪商队的事情。,
14,Cleo06,4684,intelligence_option,560,141,141,4,17,Cleo09,50,linked,嗨！,
14,Cleo06,4718,intelligence_option,560,142,142,-3,18,Cleo10,50,linked,嗯，吼！,
15,Cleo07,4758,reply,560,143,143,,,,,linked,我们从来不在正式场合谈德克先生。,
15,Cleo07,4814,intelligence_option,560,144,144,4,12,Cleo04,50,linked,告诉我有关洛克西里的事情。,
15,Cleo07,4870,intelligence_option,560,145,145,4,13,Cleo05,50,linked,告诉我有关茉莉的事情。,
15,Cleo07,4902,intelligence_option,560,146,146,4,14,Cleo06,50,linked,告诉我有关地下圈的事情。,
15,Cleo07,4958,intelligence_option,560,147,147,4,16,Cleo08,50,linked,告诉我有关失踪商队的事情。,
15,Cleo07,4990,intelligence_option,560,148,148,4,17,Cleo09,50,linked,嗨！,
15,Cleo07,5024,intelligence_option,560,149,149,-3,18,Cleo10,50,linked,嗯，吼！,
16,Cleo08,5064,reply,560,150,150,,,,,linked,我们和那个毫无瓜葛！,
16,Cleo08,5120,intelligence_option,560,151,151,4,12,Cleo04,50,linked,告诉我有关洛克西里的事情。,
16,Cleo08,5176,intelligence_option,560,152,152,4,13,Cleo05,50,linked,告诉我有关茉莉的事情。,
16,Cleo08,5208,intelligence_option,560,153,153,4,14,Cleo06,50,linked,告诉我有关地下圈的事情。,
16,Cleo08,5264,intelligence_option,560,154,154,4,15,Cleo07,50,linked,告诉我有关德克的事情。,
16,Cleo08,5296,intelligence_option,560,155,155,4,17,Cleo09,50,linked,嗨！,
16,Cleo08,5330,intelligence_option,560,156,156,-3,18,Cleo10,50,linked,嗯，吼！,
17,Cleo09,5376,message,560,157,157,,,,50,linked,谁跟你嗨。,
18,Cleo10,5422,message,560,158,158,,,,50,linked,你这样的白痴还和别人说话？,
19,Cleo11,5462,reply,560,159,159,,,,,linked,伟大的领袖。他把那些所谓的好人玩的团团转，是他团结了整个哈勃城……当然，他也收点钱的。,
19,Cleo11,5518,intelligence_option,560,160,160,4,13,Cleo05,50,linked,告诉我有关茉莉的事情。,
19,Cleo11,5550,intelligence_option,560,161,161,4,20,Cleo12,50,linked,告诉我有关地下圈的事情。,
19,Cleo11,5606,intelligence_option,560,162,162,4,21,Cleo13,50,linked,告诉我有关德克的事情。,
19,Cleo11,5650,message,560,4,4,,,,50,missing-number,,
19,Cleo11,5682,intelligence_option,560,165,165,4,17,Cleo09,50,linked,嗨！,
19,Cleo11,5716,intelligence_option,560,166,166,-3,18,Cleo10,50,linked,嗯，吼！,
20,Cleo12,5756,reply,560,167,167,,,,,linked,这是工作也是冒险。劫富济贫，浪荡生涯，脑袋别在裤腰带上拼命，和各种各样的混球打交道。这就是我们，都是棒小伙子！,
20,Cleo12,5812,intelligence_option,560,168,168,4,19,Cleo11,50,linked,告诉我有关洛克西里的事情。,
20,Cleo12,5868,intelligence_option,560,169,169,4,13,Cleo05,50,linked,告诉我有关茉莉的事情。,
20,Cleo12,5924,intelligence_option,560,170,170,4,21,Cleo13,50,linked,告诉我有关德克的事情。,
20,Cleo12,5980,intelligence_option,560,171,171,4,22,Cleo14,50,linked,告诉我有关失踪商队的事情。,
20,Cleo12,6012,intelligence_option,560,173,173,4,17,Cleo09,50,linked,嗨！,
20,Cleo12,6046,intelligence_option,560,174,174,-3,18,Cleo10,50,linked,嗯，吼！,
