procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,look_at_p_proc,2660,message_lookup,367,100,100,,,,,linked,你看到弗里普。,
5,look_at_p_proc,2684,message_lookup,367,101,101,,,,,linked,你看到一个巨大的变种人。,
9,Flip00,3118,message_lookup,367,102,102,,,,,linked,嗷！去死！！异教徒！！！,
10,Flip01,3214,message,367,103,103,,,,50,linked,你应该呆在控制室里，别在这晃悠。,
11,Flip02,3268,reply,367,104,104,,,,,linked,呦，是一个人类啊。真逗，你要么就和我一起去见中尉，要么就自己烂在这。,
11,Flip02,3300,intelligence_option,367,105,105,4,16,FlipCombat,50,linked,没门！,
11,Flip02,3332,intelligence_option,367,106,106,4,17,transit,50,linked,行，行。当我没说。我们走。,
11,Flip02,3366,intelligence_option,367,107,107,-3,16,FlipCombat,50,linked,砍！,
12,Flip03,3406,reply,367,108,108,,,,,linked,太好了，想活命就跟我来！,
12,Flip03,3438,intelligence_option,367,109,109,4,17,transit,50,linked,好！出发。,
12,Flip03,3470,intelligence_option,367,110,110,4,13,Flip03a,50,linked,请您先走。,
14,Flip04,3624,message,367,111,111,,,,50,linked,你认为象我这种块头的都是弱智？你真可悲。你犯了个会要你小命的错误，这我懂。,
15,Flip05,3694,message,367,112,112,,,,50,linked,又见面了？这回你可跑不了了！,
30,Goodbyes,5568,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
