procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
1,start,3636,message_lookup,137,100,100,,,,,linked,你看到伽尔，强盗的首领。,
2,do_dialogue,4436,message_lookup,137,208,208,,,,,linked,好吧，你赢了。带那女人离开这。,
5,garl00,5326,message,137,101,101,,,,50,linked,你以为你到这来会平安无事？这里，是你死敌的地盘！我们会欣赏你是怎么死去的，当着我的勇士们面，我会亲自把你的心脏挖出来来吃掉，,
6,garl01,5390,reply,137,102,102,,,,,linked,我已经杀掉你了！,
6,garl01,5424,intelligence_option,137,207,207,-3,23,garl09,50,linked,哇呀呀呀！,
6,garl01,5456,intelligence_option,137,103,103,4,7,garl01a,50,linked,这是怎么回事。,
6,garl01,5488,intelligence_option,137,104,104,5,8,garl01b,50,linked,没错。可现在，我又出现在你面前了。,
6,garl01,5520,intelligence_option,137,105,105,6,9,garl01c,50,linked,你不可能这么做。,
10,garl01d,5710,reply,137,106,106,,,,,linked,我已经宰掉你了！,
10,garl01d,5742,intelligence_option,137,107,107,4,11,garl02,50,linked,这是怎么回事。,
10,garl01d,5774,intelligence_option,137,108,108,5,12,garl03,50,linked,没错。可现在，我又出现在你面前了。,
10,garl01d,5806,intelligence_option,137,109,109,6,14,garl04,50,linked,你不可能这么做。,
11,garl02,5852,message,137,110,110,,,,50,linked,如果你是我爹，也许你能杀得了我。可你不是。虽然你看起来挺象他，可是行动可不象。他早不存在了。呆会儿你也就不存在了。,
12,garl03,5930,reply,137,111,111,,,,,linked,我不信！我不信！,
12,garl03,5962,intelligence_option,137,112,112,8,13,garl03a,50,linked,相信吧，伙计。你会跟我一起下地狱。,
14,garl04,6066,reply,137,113,113,,,,,linked,父亲，你别跟我说我当初该怎么做。现在我是可汗，你不过是滩烂肉。,
14,garl04,6098,intelligence_option,137,114,114,6,15,garl04a,50,linked,我还活着。,
14,garl04,6130,intelligence_option,137,115,115,6,16,garl04b,50,linked,你还是个孩子的时候我就该弄死你。,
17,garl04c,6270,reply,137,116,116,,,,,linked,父亲，你别跟我说我当初该怎么做。现在我是可汗，你不过是滩烂肉。,
17,garl04c,6302,intelligence_option,137,117,117,6,19,garl06,50,linked,我还活着。,
17,garl04c,6334,intelligence_option,137,118,118,6,18,garl05,50,linked,当初你刚生下来的时候我就该把你弄死。,
18,garl05,6380,message,137,119,119,,,,50,linked,的确是这样，现在才想起来已经太迟了。我已经是死亡之手伽尔，统领整个可汗帮的人。当初你就该进棺材了，现在也一样该死。,
19,garl06,6458,reply,137,120,120,,,,,linked,我不相信我居然还能看到你站在我面前。你想怎么样？,
19,garl06,6514,intelligence_option,137,121,121,6,20,garl06a,50,linked,我要你们放了那个女孩。马上！,
19,garl06,6546,intelligence_option,137,122,122,6,24,garl10,50,linked,我要你放弃头领的位子。,
19,garl06,6578,intelligence_option,137,123,123,6,24,garl10,50,linked,我要能带我进天堂的财宝。,
21,garl07,6752,message,137,124,124,,,,50,linked,你要发誓你马上就会回坟墓里去。,
21,garl07,6784,intelligence_option,137,125,125,6,22,garl08,50,linked,I swear that I will leave.,
22,garl08,6830,message,137,126,126,,,,50,linked,那就这样吧，放了那个沙荫镇的女人，护送这个人……离开……,
23,garl09,6914,message,137,127,127,,,,50,linked,在这你说了不算。你根本不属于这里。僵尸死人头！,
24,garl10,6984,message,137,128,128,,,,50,linked,决不！,
25,garl11,7106,message,137,129,129,,,,50,linked,我就喜欢这样。独立主动。但你不该没接到我的命令就杀了他们。我可不喜欢不太听话的人。,
26,garl12,7170,reply,137,130,130,,,,,linked,你想怎样？,
26,garl12,7226,intelligence_option,137,131,131,4,28,garl12b,50,linked,我要你放了那女孩。,
26,garl12,7258,intelligence_option,137,133,133,5,29,garl15,50,linked,我是来和平谈判怎么释放坦蒂的。,
26,garl12,7298,intelligence_option,137,200,200,5,27,garl12a,50,linked,我是来参加你们的。,
26,garl12,7330,intelligence_option,137,132,132,4,66,garlcbt,50,linked,我要你死。,
26,garl12,7364,intelligence_option,137,134,134,-3,32,garl17,50,linked,吼啊！,
27,garl12a,7410,message,137,201,201,,,,50,linked,那就再为我们找点酒跟女人。,
29,garl15,7578,reply,137,140,140,,,,,linked,恩，也好。那你拿什么来作为交换。,
29,garl15,7636,intelligence_option,137,141,141,6,30,garl15a,50,linked,你连我的威胁都听不懂？你当真想和我拼命？,
29,garl15,7668,intelligence_option,137,142,142,6,34,garl18,50,linked,我会给你等价交换。,
29,garl15,7700,intelligence_option,137,143,143,6,37,garl21,50,linked,这样能净化你的灵魂。,
29,garl15,7732,intelligence_option,137,203,203,5,44,garl28,50,linked,为了坦蒂，我跟你单挑。,
31,garl16,7906,message,137,145,145,,,,50,linked,哎……不知道为什么，我竟然相信你。你可以带那女孩走，别再回来了，除非你想拼命。,
32,garl17,7976,message,137,146,146,,,,50,linked,哈！你不该威胁比你强大的人。,
33,garl17a,8046,message,137,204,204,,,,50,linked,你根本不算什么可汗，也没什么荣耀可言。,
34,garl18,8164,message,137,147,147,,,,50,linked,那一定很值钱。给我看看。,
35,garl19,8230,message_lookup,137,148,148,,,,,linked,恩，我很满意。你可以带女孩走了，不准再回来。,
36,garl20,8330,message_lookup,137,149,149,,,,,linked,凭这么点儿就想买通我？杀了他！,
36,garl20,8362,message_lookup,137,205,205,,,,,linked,凭这点就想收买我。杀了她！,
37,garl21,8440,message,137,150,150,,,,50,linked,你觉得象我这样的人会相信鬼神吗？整个世界都要毁了，我做坏事还有什么好怕的！你不觉得你做这样的决定太不自量力了吗？,
38,garl22,8504,reply,137,151,151,,,,,linked,What do you want now?,
38,garl22,8536,intelligence_option,137,152,152,4,39,garl23,50,linked,没事,
38,garl22,8568,intelligence_option,137,153,153,4,40,garl24,50,linked,那个女孩。,
38,garl22,8602,intelligence_option,137,207,207,-3,32,garl17,50,linked,哇呀呀呀！,
39,garl23,8648,message,137,155,155,,,,50,linked,那就别烦我了，没事走开。,
40,garl24,8688,reply,137,156,156,,,,,linked,你可快把我们惹烦了。我们为什么要把手上最值钱的东西给你？,
40,garl24,8720,intelligence_option,137,157,157,4,41,garl25,50,linked,因为这样才是正确的。,
40,garl24,8752,intelligence_option,137,158,158,6,34,garl18,50,linked,我有一样值钱的东西。,
40,garl24,8784,intelligence_option,137,159,159,6,30,garl15a,50,linked,那样你才能被准许活下去。,
41,garl25,8824,reply,137,160,160,,,,,linked,正确？在这地盘上对不对我说了算。你要有麻烦了。,
41,garl25,8856,intelligence_option,137,161,161,4,42,garl26,50,linked,对不起。,
41,garl25,8888,intelligence_option,137,162,162,4,43,garl27,50,linked,我干嘛要在乎？我这就带女孩走。,
42,garl26,8934,message,137,163,163,,,,50,linked,哦，是吗？没骨气却还要吓人的家伙我是最不能忍的。对于我们不能忍的，我们就要毁了它。宰了他。,
43,garl27,8998,reply,137,164,164,,,,,linked,你愿意因为她跟我打架？,
43,garl27,9030,intelligence_option,137,165,165,4,42,garl26,50,linked,不，我是个有爱心的好人，不是个战士。,
43,garl27,9062,intelligence_option,137,166,166,4,44,garl28,50,linked,当然。就现在，单挑。,
43,garl27,9094,intelligence_option,137,167,167,6,45,garl29,50,linked,我要你和你的小跟班们一起上。,
44,garl28,9134,reply,137,168,168,,,,,linked,好。我们都别用武器。打倒我你就可以带这女人离开。如果我赢了你就得一个人滚。,
44,garl28,9166,intelligence_option,137,169,169,4,67,honorcbt,50,linked,好的。,
45,garl29,9206,reply,137,170,170,,,,,linked,虽然这挺有趣，不过也就是动动筋骨。很好，开始吧。,
45,garl29,9238,intelligence_option,137,171,171,4,66,garlcbt,50,linked,好。,
46,garl30,9284,message,137,172,172,,,,50,linked,哼，你比我想象的能打。上次这么挨打还是我父亲抽的我满屋飞的时候。这个沙荫镇的女人是你应得的。带她走吧。我不反悔。,
47,garl31,9354,message,137,173,173,,,,50,linked,你也别装了，快走吧。要是你再回来的话，可别怪我不客气。,
48,garl32,9394,reply,137,174,174,,,,,linked,你要干嘛？,
48,garl32,9426,intelligence_option,137,175,175,4,49,garl33,50,linked,我是个探险者。,
48,garl32,9458,intelligence_option,137,176,176,6,50,garl34,50,linked,我想入伙。,
48,garl32,9492,intelligence_option,137,154,154,-3,39,garl23,50,linked,哦恶。,
49,garl33,9564,message,137,177,177,,,,50,linked,我们不喜欢那种人。这里不该有这种人。杀了他。,
49,garl33,9592,message,137,206,206,,,,50,linked,我们不喜欢这种人。这里不允许他们出现。杀了她。,
50,garl34,9656,reply,137,178,178,,,,,linked,你？你想加入我们？为什么？,
50,garl34,9688,intelligence_option,137,179,179,6,51,garl35,50,linked,为了可以把人揍到鼻青脸肿。,
50,garl34,9720,intelligence_option,137,180,180,6,49,garl33,50,linked,我喜欢你们这种家伙。想跟你们混。,
51,garl35,9760,reply,137,181,181,,,,,linked,我们只接受最邪恶强壮的渣滓。你必须嗜血，暴力，极端。我可不认为你应付的来。,
51,garl35,9792,intelligence_option,137,182,182,4,53,garl37,50,linked,是的。,
51,garl35,9824,intelligence_option,137,183,183,4,52,garl36,50,linked,不。,
52,garl36,9870,message,137,184,184,,,,50,linked,Then you had better leave. I would not return.,
53,garl37,9910,reply,137,185,185,,,,,linked,我玩厌那些女人了，杀了她们。,
53,garl37,9942,intelligence_option,137,186,186,4,55,garl38,50,linked,不！,
53,garl37,9974,intelligence_option,137,187,187,4,54,garl37a,50,linked,好的。,
55,garl38,10132,message,137,188,188,,,,50,linked,你证明了我的话。只有强盗才有生存意志，你没有。杀了他。,
55,garl38,10160,message,137,189,189,,,,50,linked,你证明了我的话。只有歹徒才有生存意志，你没有。杀了她。,
56,garl38a,10266,message_lookup,137,188,188,,,,,linked,你证明了我的话。只有强盗才有生存意志，你没有。杀了他。,
56,garl38a,10298,message_lookup,137,189,189,,,,,linked,你证明了我的话。只有歹徒才有生存意志，你没有。杀了她。,
57,garl39,10376,message,137,190,190,,,,50,linked,人渣！你会付出代价的。,
59,garl40,10600,message_lookup,137,191,191,,,,,linked,哈，我喜欢你的调调。有点懒散，不过还会努力。你可以认为自己是强盗的朋友。现在快走吧。,
59,garl40,10636,message_lookup,238,100,100,,,,,different-message-list,,
59,garl40,10660,message_lookup,238,102,102,,,,,different-message-list,,
60,garl41,10754,reply,137,192,192,,,,,linked,现在又要怎样？,
60,garl41,10786,intelligence_option,137,193,193,4,39,garl23,50,linked,没什么。,
60,garl41,10818,intelligence_option,137,194,194,6,61,garl42,50,linked,我要武器和装备。,
60,garl41,10852,intelligence_option,137,195,195,-3,39,garl23,50,linked,哇。,
61,garl42,10898,message,137,196,196,,,,50,linked,你得自食其力。,
62,garl43,10970,message,137,197,197,,,,50,linked,你居然敢回来！杀了他！,
