procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
1,start,1428,message_lookup,72,100,100,,,,,linked,你看到一个僵尸守卫。,
5,ghoul00,2188,message,72,101,101,,,,50,linked,你现在要跟我们走，赛特要见你。,
6,ghoul01,2252,reply,72,102,102,,,,,linked,你不该在这里……,
6,ghoul01,2284,intelligence_option,72,103,103,6,7,ghoul01a,50,linked,盖瑞特告诉我它是好的，可以在赛特的房间找到一些。你知道它在哪里吗？,
6,ghoul01,2316,intelligence_option,72,104,104,3,3,ghoulend,50,linked,好的，我只是来告别的。,
6,ghoul01,2350,intelligence_option,72,105,105,-3,5,ghoul00,50,linked,啊？,
8,ghoul02,2498,reply,72,106,106,,,,,linked,那听起来不太正常，你继续说。,
8,ghoul02,2530,intelligence_option,72,107,107,3,4,ghoulcbt,50,linked,我不这么认为。,
8,ghoul02,2562,intelligence_option,72,108,108,5,3,ghoulend,50,linked,好的。,
9,ghoul03,2602,reply,72,109,109,,,,,linked,我想你不会愿意去那个房间。,
9,ghoul03,2634,intelligence_option,72,110,110,3,10,ghoul03a,50,linked,为什么不？,
9,ghoul03,2666,intelligence_option,72,111,111,3,11,ghoul04,50,linked,好吧，我不想去那个房间，现在做些什么呢？,
11,ghoul04,2820,message,72,112,112,,,,50,linked,我认为你最好离开。,
12,ghoul05,2884,reply,72,113,113,,,,,linked,我们在这里确保把那些不属于赛特的人拒之门外。当然，这不是为了赛特的安全，而是因为一些其他的事情。还有其他事吗？,
12,ghoul05,2916,intelligence_option,72,114,114,4,3,ghoulend,50,linked,是的，你的鞋带松了。,
13,ghoul06,2962,message,72,115,115,,,,50,linked,不了，谢谢。,
27,Goodbyes,5012,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
