procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,Term01,1446,reply,828,100,100,,,,,linked,系统：　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　主电力：离线　　　　　　　　　　　　　　　　　　　　　　　　紧急电力：在线,
5,Term01,1478,intelligence_option,828,101,101,4,6,Term02,50,linked,电力管理,
5,Term01,1512,intelligence_option,828,102,102,-3,17,Term10,50,linked,电＊＊理,
5,Term01,1544,intelligence_option,828,103,103,0,25,TermEnd,50,linked,退出,
6,Term02,1584,reply,828,104,104,,,,,linked,电力管理系统,
6,Term02,1616,intelligence_option,828,105,105,4,7,Term03,50,linked,主电力,
6,Term02,1648,intelligence_option,828,106,106,4,11,Term06,50,linked,紧急电力,
6,Term02,1680,intelligence_option,828,107,107,4,5,Term01,50,linked,返回,
7,Term03,1720,reply,828,108,108,,,,,linked,主电力管理：离线,
7,Term03,1752,intelligence_option,828,109,109,4,8,Term03a,50,linked,主电力复位,
7,Term03,1784,intelligence_option,828,110,110,4,6,Term02,50,linked,返回,
9,Term04,1920,reply,828,111,111,,,,,linked,主电力管理：　　　　　　　　　　　　　　　　　错误！错误！错误！　　　　　　　　　　　　　　　　　主系统初始化失败,
9,Term04,1952,intelligence_option,828,112,112,8,10,Term05,50,linked,诊断,
9,Term04,1984,intelligence_option,828,113,113,4,6,Term02,50,linked,返回,
10,Term05,2024,reply,828,114,114,,,,,linked,故障：发电机-级别-６　　　　　　　　　　　　　　　０供给返回：无法修复　　　　　　　　　　　　　　　　服务需求,
10,Term05,2056,intelligence_option,828,115,115,4,6,Term02,50,linked,返回,
11,Term06,2096,reply,828,116,116,,,,,linked,紧急电力管理：在线,
11,Term06,2128,intelligence_option,828,117,117,4,12,Term06a,50,linked,关闭紧急电力,
11,Term06,2160,intelligence_option,828,118,118,4,6,Term02,50,linked,返回,
13,Term07,2240,reply,828,119,119,,,,,linked,系统：　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　主电力：离线　　　　　　　　　　　　　　　　　　　　　　　　紧急电力：准备,
13,Term07,2272,intelligence_option,828,120,120,4,14,Term08,50,linked,电力管理,
13,Term07,2304,intelligence_option,828,121,121,0,25,TermEnd,50,linked,退出,
14,Term08,2344,reply,828,122,122,,,,,linked,主电力管理：在线,
14,Term08,2376,intelligence_option,828,123,123,4,16,Term09a,50,linked,关闭主电力,
14,Term08,2408,intelligence_option,828,124,124,4,13,Term07,50,linked,返回,
15,Term09,2448,reply,828,125,125,,,,,linked,系统：　　　　　　　　主电力：在线,
15,Term09,2482,intelligence_option,828,126,126,-3,16,Term09a,50,linked,＊闭主＊力,
15,Term09,2514,intelligence_option,828,127,127,4,16,Term09a,50,linked,关闭主电力,
15,Term09,2546,intelligence_option,828,128,128,0,25,TermEnd,50,linked,退出,
17,Term10,2626,reply,828,129,129,,,,,linked,＊力＊理系＊,
17,Term10,2660,intelligence_option,828,130,130,-3,18,Term11,50,linked,主＊力,
17,Term10,2694,intelligence_option,828,131,131,-3,21,Term13,50,linked,＊用电＊,
17,Term10,2728,intelligence_option,828,132,132,-3,5,Term01,50,linked,返回,
18,Term11,2768,reply,828,133,133,,,,,linked,主＊＊管＊,
18,Term11,2802,intelligence_option,828,134,134,-3,19,Term11a,50,linked,初＊化主＊＊,
18,Term11,2836,intelligence_option,828,135,135,-3,17,Term10,50,linked,返回,
20,Term12,2972,reply,828,136,136,,,,,linked,主电力管理：　　　　　　　　　　　　　　　　　＊误！错＊！错＊！　　　　　　　　　　　　　　　　　主＊＊初＊化失＊,
20,Term12,3006,intelligence_option,828,137,137,-3,17,Term10,50,linked,返回,
21,Term13,3046,reply,828,138,138,,,,,linked,＊急电＊管＊：在＊,
21,Term13,3080,intelligence_option,828,148,148,-3,12,Term06a,50,linked,＊闭主＊＊,
21,Term13,3114,intelligence_option,828,137,137,-3,17,Term10,50,linked,返回,
22,Term14,3154,reply,828,139,139,,,,,linked,系统：　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　主电力：离线　　　　　　　　　　　　　　　　　　　　　　　　紧急电力：离线,
22,Term14,3186,intelligence_option,828,140,140,4,23,Term14a,50,linked,启动紧急电力,
22,Term14,3220,intelligence_option,828,141,141,-3,24,Term15,50,linked,主＊力诊＊,
22,Term14,3254,intelligence_option,828,142,142,-3,24,Term15,50,linked,主电＊　＊v＊l＊＊t＊＊n,
22,Term14,3288,intelligence_option,828,143,143,-3,23,Term14a,50,linked,＊n＊bl＊　＊m＊rg＊nc＊　p＊w＊r,
22,Term14,3322,intelligence_option,828,144,144,-3,24,Term15,50,linked,＊力管＊　r＊s＊rc＊,
22,Term14,3354,intelligence_option,828,145,145,0,25,TermEnd,50,linked,退出,
24,Term15,3482,reply,828,146,146,,,,,linked,＊统＊误！　　　　　　　　　　　　　　　　　　　　　　　　　　　＊nv＊l＊d　＊s＊r.　n＊t＊f＊　＊dm＊n＊str＊t＊＊n.　　　　　　　　　　　　　　　　　　　　　　S＊st＊m　h＊lt＊d.,
24,Term15,3514,intelligence_option,828,147,147,0,25,TermEnd,50,linked,退出,
