procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,talk_p_proc,1608,message_lookup,618,101,101,,,,,linked,立正！新兵。,
5,talk_p_proc,1662,message_lookup,618,102,102,,,,,linked,看起来很不错，继续做这份很有前途的工作吧。,
5,talk_p_proc,1716,message_lookup,618,103,103,,,,,linked,你好新兵，这里情况一切正常。,
5,talk_p_proc,1770,message_lookup,618,104,104,,,,,linked,对不起，我不应该和任何人说话，你知道这个的。,
5,talk_p_proc,1824,message_lookup,618,105,105,,,,,linked,如果你想知道一些情况可以去找塔鲁斯或者马克松。,
5,talk_p_proc,1878,message_lookup,618,106,106,,,,,linked,如果你有技术上的问题，弗蕾白天都会在这图书馆里。,
5,talk_p_proc,1932,message_lookup,618,107,107,,,,,linked,隆伯斯是我的偶像。,
5,talk_p_proc,1986,message_lookup,618,108,108,,,,,linked,我真希望我现在已经受训完毕了，在这里干这个警卫工作实在是浪费时间。,
5,talk_p_proc,2040,message_lookup,618,110,110,,,,,linked,嗨！兄弟,
5,talk_p_proc,2068,message_lookup,618,111,111,,,,,linked,。,
7,look_at_p_proc,2492,message_lookup,618,100,100,,,,,linked,你看到一个钢铁兄弟会的警卫。,
19,Goodbyes,4116,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
