procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,talk_p_proc,2414,message_lookup,582,127,127,,,,,linked,卫兵！有刺客！,
5,talk_p_proc,2494,message_lookup,582,127,127,,,,,linked,卫兵！有刺客！,
5,talk_p_proc,2658,message_lookup,582,127,127,,,,,linked,卫兵！有刺客！,
7,look_at_p_proc,3130,message_lookup,582,100,100,,,,,linked,你看见达伦·海托。,
10,Daren01,3262,reply,582,101,101,,,,,linked,你是谁？？谁让你进来的？,
10,Daren01,3294,intelligence_option,582,102,102,4,11,Daren02,50,linked,我从朋友那儿带来了消息。,
10,Daren01,3350,intelligence_option,582,103,103,4,12,Daren03,50,linked,你的处境很危险，我得跟你谈谈。,
10,Daren01,3376,message_lookup,582,104,104,,,,,linked,我的名字叫,
10,Daren01,3404,message_lookup,582,105,105,,,,,linked,。是利昂让我进来的。,
10,Daren01,3420,intelligence_option,,,<unresolved>,,,,,dynamic-number,,
10,Daren01,3452,intelligence_option,582,106,106,4,17,Daren07,50,linked,我的名字？……死神！,
10,Daren01,3484,intelligence_option,582,107,107,4,16,Daren06,50,linked,我是让你撕心裂肺的噩梦。,
10,Daren01,3518,intelligence_option,582,108,108,-3,16,Daren06,50,linked,波波？,
11,Daren02,3558,reply,582,109,109,,,,,linked,我没有朋友。 你的消息是什么？,
11,Daren02,3614,intelligence_option,582,110,110,4,18,DarenCombat,51,linked,德克表示问候。,
11,Daren02,3646,intelligence_option,582,111,111,4,14,Daren05,50,linked,嗯……鲍勃让我……啊……他说你多付了100个瓶盖，让我把它给你。,
11,Daren02,3678,intelligence_option,582,112,112,4,16,Daren06,50,linked,其实没有什么消息，我正要换个话题。,
11,Daren02,3710,intelligence_option,582,113,113,4,16,Daren06,50,linked,我爱你。,
12,Daren03,3750,reply,582,114,114,,,,,linked,告诉我些我不了解的事情，你这个傻瓜！,
12,Daren03,3782,intelligence_option,582,115,115,4,16,Daren06,50,linked,谁是傻瓜？我正在帮你呢！你可以下地狱了。,
12,Daren03,3814,intelligence_option,582,116,116,4,17,Daren07,50,linked,德克想让你死，他雇了我来做掉你。,
12,Daren03,3846,intelligence_option,582,117,117,4,18,DarenCombat,51,linked,很显然你不知道你的小命就要玩完了！,
12,Daren03,3878,intelligence_option,582,118,118,4,16,Daren06,50,linked,别在意。我正在帮忙。,
13,Daren04,3924,message_lookup,582,119,119,,,,,linked,见到你很高兴,
13,Daren04,3952,message_lookup,582,120,120,,,,,linked,。现在我的助手利昂会送你走的。,
13,Daren04,3962,message,,,<unresolved>,,,,,dynamic-number,,
14,Daren05,4026,reply,582,121,121,,,,,linked,我不认识任何叫鲍勃的，但是我将收下这100个瓶盖，你可以离开了。,
14,Daren05,4058,intelligence_option,582,122,122,4,17,Daren07,50,linked,去死吧！,
14,Daren05,4110,intelligence_option,582,123,123,4,15,Daren05a,50,linked,好，给你。多谢奉陪。,
14,Daren05,4142,intelligence_option,582,124,124,4,16,Daren06,50,linked,呃……鲍勃那个下流东西没给我足够的瓶盖！我会为你凑够的，海托先生。我保证！,
15,Daren05a,4214,message,582,125,125,,,,51,linked,忘了它。陌生人来我家给我钱是我常享的福。利昂，送这个傻瓜走！你要是再回来我就让卫兵割下你的脑袋！,
16,Daren06,4284,message,582,126,126,,,,51,linked,利昂，送这个傻瓜走！你要是再回来我就让卫兵割下你的脑袋！,
17,Daren07,4354,message,582,127,127,,,,51,linked,卫兵！有刺客！,
31,Goodbyes,6090,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
