procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
8,look_at_p_proc,2712,message_lookup,697,169,169,,,,,no-msg,,
10,Dealer00,2784,message_lookup,697,202,202,,,,,no-msg,,
10,Dealer00,2804,message_lookup,697,203,203,,,,,no-msg,,
10,Dealer00,2830,reply,697,,fetch_global(3),,,,,no-msg,,
10,Dealer00,2862,intelligence_option,697,190,190,4,18,CheckMoney00,50,no-msg,,
10,Dealer00,2894,intelligence_option,697,191,191,4,19,CheckMoney01,50,no-msg,,
10,Dealer00,2926,intelligence_option,697,192,192,4,20,CheckMoney02,50,no-msg,,
10,Dealer00,2958,intelligence_option,697,193,193,4,21,CheckMoney03,50,no-msg,,
10,Dealer00,2990,intelligence_option,697,194,194,4,22,CheckMoney04,50,no-msg,,
10,Dealer00,3022,intelligence_option,697,195,195,4,23,DealerEnd,50,no-msg,,
10,Dealer00,3056,intelligence_option,697,107,107,-3,11,Dealer01,50,no-msg,,
11,Dealer01,3102,message_lookup,697,180,180,,,,,no-msg,,
11,Dealer01,3116,message_lookup,697,181,181,,,,,no-msg,,
11,Dealer01,3120,reply,697,,"add(message_str(697, 180), message_str(697, 181))",,,,,no-msg,,
12,Dealer02,3166,message_lookup,697,182,182,,,,,no-msg,,
12,Dealer02,3180,message_lookup,697,204,204,,,,,no-msg,,
12,Dealer02,3184,reply,697,,"add(message_str(697, 182), message_str(697, 204))",,,,,no-msg,,
13,Dealer03,3278,message_lookup,697,183,183,,,,,no-msg,,
13,Dealer03,3292,message_lookup,697,204,204,,,,,no-msg,,
13,Dealer03,3296,reply,697,,"add(message_str(697, 183), message_str(697, 204))",,,,,no-msg,,
14,Dealer04,3366,message_lookup,697,184,184,,,,,no-msg,,
14,Dealer04,3380,message_lookup,697,204,204,,,,,no-msg,,
14,Dealer04,3384,reply,697,,"add(message_str(697, 184), message_str(697, 204))",,,,,no-msg,,
15,Dealer05,3468,message_lookup,697,185,185,,,,,no-msg,,
15,Dealer05,3482,message_lookup,697,204,204,,,,,no-msg,,
15,Dealer05,3486,reply,697,,"add(message_str(697, 185), message_str(697, 204))",,,,,no-msg,,
16,Dealer06,3604,message,697,186,186,,,,50,no-msg,,
16,Dealer06,3632,message,697,187,187,,,,50,no-msg,,
17,Dealer07,3714,intelligence_option,697,114,114,4,10,Dealer00,50,no-msg,,
17,Dealer07,3746,intelligence_option,697,178,178,4,23,DealerEnd,50,no-msg,,
36,Goodbyes,6460,message_lookup,634,,"random(100, 105)",,,,,no-msg,,
