procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
2,critter_p_proc,1676,message_lookup,268,143,143,,,,,linked,走开。,
2,critter_p_proc,1766,message_lookup,268,144,144,,,,,linked,很难，一直都很难。,
4,look_at_p_proc,2266,message_lookup,268,100,100,,,,,linked,你看见末世论者信徒杰克。,
4,look_at_p_proc,2290,message_lookup,268,101,101,,,,,linked,你看见末世论者的一名信徒。,
8,timed_event_p_proc,2776,message_lookup,268,143,143,,,,,linked,走开。,
9,Jake00,2838,reply,268,102,102,,,,,linked,欢迎，我的朋友！你想要什么？,
9,Jake00,2872,intelligence_option,268,103,103,-3,10,Jake01,50,linked,我帮！我帮！,
9,Jake00,2904,intelligence_option,268,104,104,4,11,Jake02,50,linked,我听说你是个很好的战士，我来会会你。,
9,Jake00,2936,intelligence_option,268,105,105,4,21,Jake12,50,linked,听说你们需要帮忙。有什么麻烦事？,
9,Jake00,2968,intelligence_option,268,106,106,4,22,Jake13,50,linked,你能说说末世论者信徒的事情吗？,
9,Jake00,3044,intelligence_option,268,141,141,4,27,Jake18,50,linked,我从加布里尔那里给你带来一个包裹。,
10,Jake01,3090,message,268,107,107,,,,50,linked,你来帮忙？我觉得你还不够像样啊。和尼尔聊聊去吧。,
11,Jake02,3130,reply,268,108,108,,,,,linked,我也想和你来一架，但是我还要帮妮可尔做很多事情。,
11,Jake02,3162,intelligence_option,268,109,109,4,12,Jake03,50,linked,没错，你看起来就是一个垃圾啊。,
11,Jake02,3194,intelligence_option,268,110,110,4,29,JakeEnd,50,linked,随你了，再见。,
11,Jake02,3226,intelligence_option,268,111,111,4,13,Jake04,50,linked,你这样一个垃圾怎么能当了二把手呢？,
12,Jake03,3266,reply,268,112,112,,,,,linked,嘿，我不想和你打不代表我就怕了你，我现在没心情。,
12,Jake03,3298,intelligence_option,268,113,113,4,29,JakeEnd,50,linked,我说的没错，你就是垃圾。,
13,Jake04,3338,reply,268,114,114,,,,,linked,有时候动动脑子能走得更远。和平和思考能解决很多事情。,
13,Jake04,3370,intelligence_option,268,115,115,4,14,Jake05,50,linked,那你要什么时候来动你的脑子呢？,
13,Jake04,3402,intelligence_option,268,116,116,4,15,Jake06,50,linked,你说的对，对不起。,
14,Jake05,3448,message,268,117,117,,,,50,linked,算了，我不想和你说话了。,
15,Jake06,3502,reply,268,118,118,,,,,linked,这样就好。我现在要查一个间谍，你能帮我吗？,
15,Jake06,3534,intelligence_option,268,119,119,4,16,Jake07,50,linked,好，怎么回事？,
15,Jake06,3566,intelligence_option,268,120,120,4,20,Jake11,50,linked,如果你那么棒，你自己去办就是了。,
16,Jake07,3606,reply,268,121,121,,,,,linked,我说了，附近有一个间谍。可能是卫士，也可能是哨兵。和大教堂联络的就这两种人。,
16,Jake07,3638,intelligence_option,268,122,122,4,17,Jake08,50,linked,好吧，我去找出那个间谍干掉。,
16,Jake07,3670,intelligence_option,268,123,123,4,18,Jake09,50,linked,有什么线索吗？,
16,Jake07,3702,intelligence_option,268,124,124,4,19,Jake10,50,linked,算了，我不干了。,
17,Jake08,3762,message,268,125,125,,,,50,linked,那就多谢你了。走开！,
18,Jake09,3802,reply,268,126,126,,,,,linked,没什么线索。我只知道很多低层次的机密已经泄露给了教堂，这不是什么好事，希瑟认为不是尼尔就是彼得。,
18,Jake09,3834,intelligence_option,268,127,127,4,17,Jake08,50,linked,好，我去查。,
18,Jake09,3866,intelligence_option,268,128,128,4,19,Jake10,50,linked,算了，我帮不上你了。,
19,Jake10,3912,message,268,129,129,,,,50,linked,那我也不能让你走。,
20,Jake11,3982,message,268,130,130,,,,50,linked,那我就去办，再见。,
21,Jake12,4022,reply,268,131,131,,,,,linked,我们的机密被泄露给了教堂，有间谍。,
21,Jake12,4054,intelligence_option,268,132,132,4,16,Jake07,50,linked,好，有什么问题？,
21,Jake12,4086,intelligence_option,268,133,133,4,17,Jake08,50,linked,好，我去查间谍。,
21,Jake12,4118,intelligence_option,268,134,134,4,18,Jake09,50,linked,有线索了没？,
21,Jake12,4150,intelligence_option,268,135,135,4,19,Jake10,50,linked,算了，我帮不了你。,
22,Jake13,4196,message,268,136,136,,,,50,linked,目前，我还没什么发现。再见。,
23,Jake14,4242,message,268,137,137,,,,50,linked,我要睡觉，别吵我。,
24,Jake15,4288,message,268,138,138,,,,50,linked,快点，找到那个混蛋。,
25,Jake16,4334,message,268,139,139,,,,50,linked,我就知道是希瑟干的，她一开始就鬼头鬼脑的。我应该一开始就告诉其他人的。,
26,Jake17,4380,message,268,140,140,,,,50,linked,我从你这里什么也没学到，你的训练毫无用处。,
27,Jake18,4472,message,268,142,142,,,,50,linked,哦，知道了，多谢。,
