procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
3,look_at_p_proc,1696,message_lookup,434,100,100,,,,,linked,你看到一个巨大的变种人。,
8,krupper00,2294,message_lookup,434,101,101,,,,,linked,站住！你别想逃跑！,
9,krupper01,2400,reply,434,102,102,,,,,linked,这里禁止普通教徒进入，你不能进去！,
9,krupper01,2432,intelligence_option,434,103,103,4,11,krupper03,50,linked,为什么？这是什么地方？,
9,krupper01,2464,intelligence_option,434,104,104,4,13,kruppercombat,50,linked,我有个终极通行证——我的枪！,
9,krupper01,2498,intelligence_option,434,105,105,-3,10,krupper02,50,linked,吼。,
10,krupper02,2548,message,434,106,106,,,,50,linked,一个普通教徒可不会像你这么蠢，你一定是个入侵者！,
11,krupper03,2612,reply,434,107,107,,,,,linked,这里是牢房，囚犯在浸泡前都被关在这里。很好的地方吧，嗯？,
11,krupper03,2644,intelligence_option,434,108,108,4,10,krupper02,50,linked,什么是浸泡？,
11,krupper03,2676,intelligence_option,434,109,109,4,12,krupper04,50,linked,好的，谢谢。,
12,krupper04,2722,message,434,110,110,,,,50,linked,你得走了。,
25,Goodbyes,4402,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
