procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,talk_p_proc,3576,message_lookup,52,351,351,,,,,linked,你侦察北面区域。得到,
5,talk_p_proc,3600,message_lookup,52,352,352,,,,,linked,点经验值。,
7,look_at_p_proc,4058,message_lookup,52,100,100,,,,,linked,你看到马克松将军。,
8,Maxson01,4100,reply,52,106,106,,,,,linked,嘿，小伙子。卡波特说你想谈谈。你看，我现在，嗯……我现在太忙了，而且，至少要等你把嘴里的口香糖嚼完，我才能和你好好聊啊。你也知道，外面的人都喜欢这样，嚼口香糖……呵呵，有点象我，嗯？,Gen_1
8,Maxson01,4134,intelligence_option,52,333,333,-3,43,Maxson32,50,linked,呃？,
8,Maxson01,4190,intelligence_option,52,300,300,4,25,Maxson14,50,linked,也许你可以告诉我？每个人在这里似乎十分紧张。看上去你好像已经准备好了战斗，但是没人知道是跟谁。,
8,Maxson01,4246,intelligence_option,52,301,301,4,15,Maxson06,50,linked,你有没有关于商队失踪的线索？,
8,Maxson01,4278,intelligence_option,52,349,349,4,38,Maxson27,50,linked,我能问你一些问题吗？,
8,Maxson01,4310,intelligence_option,52,350,350,4,29,Maxson18,50,linked,谢谢。,
9,Maxson02,4350,reply,52,162,162,,,,,linked,现在你知道这些情况了。为了生存，我们需要像你这样了解外面的外来者。,Gen_17
9,Maxson02,4382,intelligence_option,52,302,302,4,12,Maxson04,50,linked,我将对北面区域进行侦察，并回来汇报我发现了什么。,
9,Maxson02,4414,intelligence_option,52,303,303,4,19,Maxson09,50,linked,500个瓶盖，我将检查一下那里发生了什么。,
9,Maxson02,4446,intelligence_option,52,304,304,4,10,Maxson02a,51,linked,1000个瓶盖，我将检查北面发生了什么。,
9,Maxson02,4478,intelligence_option,52,305,305,4,17,Maxson08,50,linked,我不肯定我现在想介入。,
12,Maxson04,4666,reply,52,133,133,,,,,linked,很好，还需要问些什么？,Gen_9
12,Maxson04,4698,intelligence_option,52,306,306,4,13,Maxson04a,50,linked,我能得到一些好的武器么？,
12,Maxson04,4730,intelligence_option,52,307,307,4,38,Maxson27,50,linked,首先问一些问题。,
12,Maxson04,4762,intelligence_option,52,308,308,4,47,MaxsonEnd,50,linked,不，在我检查那里发生了什么之后我再见你。,
14,Maxson05,4866,reply,52,276,276,,,,,linked,好吧，我建议你和我的助手马蒂雅谈谈那事。,Gen_87
14,Maxson05,4898,intelligence_option,52,309,309,4,47,MaxsonEnd,50,linked,好的，再见。,
15,Maxson06,4938,reply,52,122,122,,,,,linked,当我们听说了失踪商队的事情后，我们向东面和北面派出了一些侦察兵。北面的一去不复返。一个士兵从东面回来了。他谈到了二十个奇怪的生物，浑身肌肉，眼里放火。元老们无动于衷，我却立即开始准备起来。,Gen_5
15,Maxson06,4970,intelligence_option,52,310,310,4,16,Maxson07,50,linked,你怎么知道你的侦察兵没有开小差？,
15,Maxson06,5002,intelligence_option,52,311,311,4,9,Maxson02,50,linked,我相信我已经遇到过你描述的那些怪物了。他们是不可轻视的。,
16,Maxson07,5068,reply,52,355,355,,,,,linked,他们也许不是好的侦察兵，但是不要质疑我士兵的忠诚。我们可以随时吊销你的会籍。,Gen_6
16,Maxson07,5090,reply,52,356,356,,,,,linked,他们也许不是好的侦察兵，但是不要质疑我士兵的忠诚。我们可以随时吊销你的会籍。,Gen_6
16,Maxson07,5122,intelligence_option,52,312,312,4,25,Maxson14,50,linked,请原谅我的冒昧，你认为什么原因导致他们消失的呢？,
16,Maxson07,5154,intelligence_option,52,313,313,4,24,Maxson13,50,linked,去啊。去吊销我的会籍，看我介意不。,
17,Maxson08,5194,reply,52,184,184,,,,,linked,那么你需要学会肯定。如果你不肯定，将会使你被干掉。,Gen_26
17,Maxson08,5226,intelligence_option,52,314,314,4,29,Maxson18,50,linked,抱歉，我现在去那里太危险。,
17,Maxson08,5258,intelligence_option,52,315,315,4,13,Maxson04a,50,linked,好吧，我去，但是我能先拿一些好的武器吗？,
17,Maxson08,5290,intelligence_option,52,316,316,4,18,Maxson08a,50,linked,好吧，1000个瓶盖我就干。,
19,Maxson09,5440,reply,52,223,223,,,,,linked,你的原则和立场很有问题啊。,Gen_44
19,Maxson09,5472,intelligence_option,52,317,317,4,20,Maxson09a,51,linked,要么成，要么拉倒。,
19,Maxson09,5504,intelligence_option,52,318,318,4,29,Maxson18,50,linked,算了。,
19,Maxson09,5536,intelligence_option,52,319,319,4,47,MaxsonEnd,50,linked,好吧，好吧，我免费干。,
21,Maxson10,5758,reply,52,226,226,,,,,linked,我接受你的条件，我们需要信息来拯救性命。,Gen_44a
21,Maxson10,5790,intelligence_option,52,320,320,4,47,MaxsonEnd,51,linked,很好，回头见。,
22,Maxson11,5836,message,52,229,229,,,,51,linked,好吧，一毛不给你怎么样！警卫！让这个傻瓜滚蛋。上帝保佑！没有你的帮忙我们照样保卫兄弟会。,Gen_45
23,Maxson12,5896,message,52,229,229,,,,51,linked,好吧，一毛不给你怎么样！警卫！让这个傻瓜滚蛋。上帝保佑！没有你的帮忙我们照样保卫兄弟会。,Gen_45
24,Maxson13,5956,message,52,231,231,,,,51,linked,就这样！警卫，把这个傻瓜带走！,Gen_47
25,Maxson14,6010,reply,52,146,146,,,,,linked,哈勃城的商人们告诉我，商队在去北面的路上消失了。我认为在山里有股军队。但是，元老们认为除非我们有肯定的证据否则不会采取行动的。,Gen_13
25,Maxson14,6042,intelligence_option,52,321,321,4,9,Maxson02,50,linked,我发现了是一支军队导致商队失踪的证据。是变种人的军队。你有理由担心。他们看起来很强大。,
26,Maxson15,6082,reply,52,141,141,,,,,linked,我的直觉告诉我东面有一小股的军事力量而北面才是大规模的。因为没有侦察兵从北面回来，元老们什么信息都没有收集到。我只能眼巴巴的看着确做不了任何事。,Gen_12
26,Maxson15,6114,intelligence_option,52,322,322,4,9,Maxson02,50,linked,看来需要某人去那里侦察一下。,
26,Maxson15,6146,intelligence_option,52,323,323,4,27,Maxson16,50,linked,冒着生命危险去那里绝非仅需要勇气能实现的。,
27,Maxson16,6186,reply,52,223,223,,,,,linked,你的原则和立场很有问题啊。,Gen_44
27,Maxson16,6218,intelligence_option,52,324,324,4,28,Maxson17,50,linked,我认为我保命要紧。,
27,Maxson16,6250,intelligence_option,52,325,325,4,29,Maxson18,50,linked,我认为我不合适那个任务。,
27,Maxson16,6282,intelligence_option,52,326,326,4,28,Maxson17,50,linked,我只对我自己忠诚。,
28,Maxson17,6322,reply,52,168,168,,,,,linked,这是你的选择。别后悔。,Gen_19
28,Maxson17,6354,intelligence_option,52,327,327,4,47,MaxsonEnd,51,linked,我能。,
29,Maxson18,6400,message,52,222,222,,,,50,linked,现在，出去。我还有事情要做。,Gen_43
