procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
5,talk_p_proc,2130,message_lookup,651,,"random(134, 136)",,,,,dynamic-number,,
7,look_at_p_proc,2644,message_lookup,651,100,100,,,,,linked,你看见一个被狂扁过的男人。,
8,Brother00,2686,reply,651,101,101,,,,,linked,谢谢你陌生人！我已经不知道过了几个礼拜了，大概有一个月了，那些恶棍一直在囚禁我。对你的帮助我感激不尽，钢铁兄弟会也会同样感激你的。,
8,Brother00,2742,intelligence_option,651,102,102,4,9,Brother01,50,linked,钢铁兄弟会？,
8,Brother00,2806,intelligence_option,651,103,103,4,11,Brother03,50,linked,没关系，我很高兴我能帮上忙。,
8,Brother00,2838,intelligence_option,651,104,104,4,12,Brother04,50,linked,你还好吗？,
8,Brother00,2878,intelligence_option,651,105,105,4,10,Brother02,50,linked,我来自钢铁兄弟会。我一直在找你。,
8,Brother00,2910,intelligence_option,651,106,106,4,11,Brother03,50,linked,不客气，再见。,
8,Brother00,2944,intelligence_option,651,107,107,-3,21,BrotherEnd,50,linked,哦。,
9,Brother01,2998,reply,651,108,108,,,,,linked,你没有听说过我们？我真的感到很惊讶。你不能一直呆在哈勃城。你应该到处走走。我们在哈勃城的西南方向，西边的山脉上。,
10,Brother02,3100,reply,651,109,109,,,,,linked,我对你的帮助心存感激，但你不该骗我，你应该想到组织里的每个人我都认识。,
10,Brother02,3132,intelligence_option,651,110,110,4,13,Brother05,50,linked,塔鲁斯派我来的。,
10,Brother02,3164,intelligence_option,651,111,111,4,19,Brother11,50,linked,嗯，你之所以不认识我，是因为我刚刚加入钢铁兄弟会。,
10,Brother02,3196,intelligence_option,651,112,112,4,20,Brother12,50,linked,你明显不知道你自己在说什么。,
11,Brother03,3242,message,651,113,113,,,,50,linked,再次谢谢你！如果你到了钢铁兄弟会，请告诉塔鲁斯我现在很好。我知道他很担心。再见，路上小心。,
12,Brother04,3288,message,651,114,114,,,,50,linked,哦，我会好起来的，谢谢。我有一些朋友在这里，他们可以照顾我直到我完全恢复。我会试着捎口信到兄弟会告诉他们我现在很安全，谢谢你，再见。,
13,Brother05,3328,reply,651,115,115,,,,,linked,什么？哦，对不起。你应该通过了元老的“测试”。我都忘了。好吧，非常感谢你。很高兴你一直坚持不懈。我总是处在危险中。再迟一会我就会被他们打死。这个地方很大。你要处处小心。,
13,Brother05,3360,intelligence_option,651,116,116,4,15,Brother07,50,linked,嗯，你知道吗？我那仅仅是运气好。,
13,Brother05,3392,intelligence_option,651,117,117,4,14,Brother06,50,linked,实际上这很容易。塔鲁斯知道你去什么地方了。,
13,Brother05,3424,intelligence_option,651,118,118,4,18,Brother10,50,linked,我猜仅仅是运气好而已。,
13,Brother05,3456,intelligence_option,651,119,119,4,17,Brother09,50,linked,不用谢，我很高兴能找到你。,
14,Brother06,3496,reply,651,120,120,,,,,linked,哦？好吧，我仍然很感谢你。,
15,Brother07,3560,reply,651,121,121,,,,,linked,我想那对你来说是举手之劳。,
16,Brother08,3642,intelligence_option,651,122,122,4,11,Brother03,50,linked,我很高兴能帮上忙。,
16,Brother08,3674,intelligence_option,651,123,123,4,12,Brother04,50,linked,你还好吗？,
17,Brother09,3720,message,651,124,124,,,,50,linked,很好，再次感谢你。我要到我朋友那里休养一段时间，直到我恢复健康。顺便说一下，我以前在这里听人说过小偷公会。我猜我们离他们的地盘太近了。他们可能正在商量要搬到其它地方。再见。,
18,Brother10,3766,message,651,125,125,,,,50,linked,很好，我很高兴你能救我出去。我听说旧城区发生了一些不好的事情。那些人鬼鬼祟祟的，我想一定有什么事情发生。,
19,Brother11,3806,reply,651,126,126,,,,,linked,无论你怎么说。我非常感谢你让我获得自由。我不用再受折磨了。,
19,Brother11,3838,intelligence_option,651,127,127,4,13,Brother05,50,linked,不，我真的是塔鲁斯派来的。,
19,Brother11,3870,intelligence_option,651,128,128,4,11,Brother03,50,linked,我很高兴能帮上忙。,
19,Brother11,3902,intelligence_option,651,129,129,4,12,Brother04,50,linked,你还好吧？,
20,Brother12,3942,reply,651,130,130,,,,,linked,也许不是。我的记忆力好像有点问题了。我想他们大概给我吃了什么东西。,
20,Brother12,3974,intelligence_option,651,131,131,4,13,Brother05,50,linked,不，我真的是塔鲁斯派来的。,
20,Brother12,4006,intelligence_option,651,132,132,4,11,Brother03,50,linked,我很高兴能帮上忙。,
20,Brother12,4038,intelligence_option,651,133,133,4,12,Brother04,50,linked,你还好吗？,
33,Goodbyes,5686,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
