procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
4,look_at_p_proc,2120,message_lookup,667,101,101,,,,,linked,你看到帕特里克，一个凯尔特人。,
4,look_at_p_proc,2144,message_lookup,667,100,100,,,,,linked,你看到一个穿着皮革装甲的男人，盔甲上布满了奇怪的装饰品。,
6,talk_p_proc,2268,message_lookup,669,,"random(100, 105)",,,,,dynamic-number,,
8,Patrick01,2676,reply,667,102,102,,,,,linked,你好，旅行者。你大老远来有什么事？,
8,Patrick01,2708,intelligence_option,667,103,103,4,9,Patrick02,50,linked,闲逛而已。,
8,Patrick01,2740,intelligence_option,667,104,104,4,10,Patrick03,50,linked,嘿，你为什么总带一堆垃圾？,
8,Patrick01,2816,intelligence_option,667,105,105,4,11,Patrick04,50,linked,我需要找一个净水芯片。,
8,Patrick01,2928,intelligence_option,667,106,106,4,26,PatrickCombat,51,linked,我现在见人就杀。受死吧。,
8,Patrick01,2962,intelligence_option,667,107,107,-3,27,PatrickEnd,50,linked,哈！,
9,Patrick02,3002,reply,667,108,108,,,,,linked,明白了，和我差不多嘛。,
9,Patrick02,3034,intelligence_option,667,109,109,4,12,Patrick05,50,linked,哦？你不是附近的人？,
9,Patrick02,3066,intelligence_option,667,110,110,4,13,Patrick06,50,linked,你能指引我去附近的殖民地吗？,
9,Patrick02,3098,intelligence_option,667,111,111,4,12,Patrick05,50,linked,那么，讲讲你的故事。,
9,Patrick02,3130,intelligence_option,667,112,112,4,27,PatrickEnd,50,linked,好吧，再见。,
10,Patrick03,3170,reply,667,113,113,,,,,linked,这不是垃圾，这是交易的货物。,
10,Patrick03,3202,intelligence_option,667,114,114,4,27,PatrickEnd,50,linked,啊，好吧。再见。,
10,Patrick03,3234,intelligence_option,667,115,115,4,12,Patrick05,50,linked,啊哈。那么讲讲你的故事？,
11,Patrick04,3274,reply,667,116,116,,,,,linked,哈。我从来没见过。有问题？,
11,Patrick04,3332,intelligence_option,667,117,117,7,15,Patrick07,50,linked,这是控制我们避难所水处理系统的芯片。但是它坏了。,
11,Patrick04,3372,intelligence_option,667,118,118,4,15,Patrick07,50,linked,它坏掉了。,
12,Patrick05,3412,reply,667,119,119,,,,,linked,我从一处游荡到另一处，靠街头唱歌卖艺和打打零工维生。,
12,Patrick05,3444,intelligence_option,667,120,120,4,16,Patrick08,50,linked,你做什么样的工作？,
12,Patrick05,3476,intelligence_option,667,121,121,4,17,Patrick09,50,linked,你的歌是什么音乐风格？,
12,Patrick05,3508,intelligence_option,667,110,110,4,13,Patrick06,50,linked,你能指引我去附近的殖民地吗？,
12,Patrick05,3540,intelligence_option,667,122,122,4,27,PatrickEnd,50,linked,好的，见到你很高兴。再见。,
13,Patrick06,3580,reply,667,123,123,,,,,linked,以海岸线作为参考，你向内陆走大概1个星期到达沙荫镇，向南几天的功夫可以到迦克镇。再向南2天吧，你会到哈勃城。不要向东走，那里叫大墓地，没必要去找麻烦。,
14,Patrick06a,3814,intelligence_option,667,124,124,4,18,Patrick10,50,linked,你对沙荫镇知道点什么？,
14,Patrick06a,3846,intelligence_option,667,125,125,4,19,Patrick11,50,linked,你对迦克镇知道点什么？,
14,Patrick06a,3878,intelligence_option,667,126,126,4,20,Patrick12,50,linked,你知道哈勃城些什么？,
14,Patrick06a,3910,intelligence_option,667,127,127,4,21,Patrick13,50,linked,你知道大墓地些什么？,
14,Patrick06a,3942,intelligence_option,634,100,100,4,27,PatrickEnd,50,different-message-list,,
15,Patrick07,3982,reply,667,128,128,,,,,linked,我帮不了你。我从没有什么机会去学习战前避难所的技术。,
15,Patrick07,4014,intelligence_option,634,100,100,4,27,PatrickEnd,50,different-message-list,,
15,Patrick07,4046,intelligence_option,667,115,115,4,12,Patrick05,50,linked,啊哈。那么讲讲你的故事？,
16,Patrick08,4086,reply,667,129,129,,,,,linked,通常是电、机械方面的修理。例如迦克镇的照明啊，我让沙荫镇的人用上更好的炉子。,
16,Patrick08,4162,intelligence_option,667,130,130,4,15,Patrick07,50,linked,真的？你能修好水处理芯片吗？,
16,Patrick08,4194,intelligence_option,667,110,110,4,12,Patrick05,50,linked,你能指引我去附近的殖民地吗？,
16,Patrick08,4226,intelligence_option,667,112,112,4,27,PatrickEnd,50,linked,好吧，再见。,
17,Patrick09,4266,reply,667,131,131,,,,,linked,哦，都是些老民谣，还有一些凯尔特音乐。我对别的风格没什么兴趣。,
17,Patrick09,4324,intelligence_option,667,132,132,7,23,Patrick15,49,linked,你知道“Na Gheala Mbeadh”吗，应该是这么叫的吧。,
17,Patrick09,4356,intelligence_option,667,133,133,4,12,Patrick05,50,linked,明白了，你还做些什么？,
17,Patrick09,4388,intelligence_option,667,122,122,4,27,PatrickEnd,50,linked,好的，见到你很高兴。再见。,
18,Patrick10,4452,reply,667,141,141,,,,,linked,我最近听说到那里被一群变种人军队控制着。如果我是你，我就躲的远远的。,
18,Patrick10,4498,reply,667,135,135,,,,,linked,沙荫镇是个农业结构的社区。他们被一个叫亚拉德什的人领导着，不过我听说他已经不在了，太遗憾了。没有他，不知道这里能不能继续生存下去。,
18,Patrick10,4520,reply,667,134,134,,,,,linked,沙荫镇是个自给自足的小镇。亚拉德什是一个和蔼、强壮的领袖。他们平静、努力工作。这里可能真的机会产生新的文明吧。,
19,Patrick11,4608,reply,667,141,141,,,,,linked,我最近听说到那里被一群变种人军队控制着。如果我是你，我就躲的远远的。,
19,Patrick11,4662,reply,667,138,138,,,,,linked,迦克镇？一个小商业城市，很一般，没什么可以说的。,
19,Patrick11,4684,reply,667,137,137,,,,,linked,迦克镇？一个小商业城市，你要刚去可能会不习惯，那是个奇怪的地方。那里被吉斯莫控制着，一个无恶不作的赌徒。,
19,Patrick11,4706,reply,667,136,136,,,,,linked,迦克镇？一个小商业城市，你要刚去可能会不习惯，那是个奇怪的地方。他们的市长叫基利安，脾气不好但人不错。,
20,Patrick12,4794,reply,667,141,141,,,,,linked,我最近听说到那里被一群变种人军队控制着。如果我是你，我就躲的远远的。,
20,Patrick12,4816,reply,667,139,139,,,,,linked,哈勃城是主要的商业中心。你能找到所需要的一切东西，这里应该是个不错的选择。,
21,Patrick13,4904,reply,667,141,141,,,,,linked,我最近听说到那里被一群变种人军队控制着。如果我是你，我就躲的远远的。,
21,Patrick13,4926,reply,667,140,140,,,,,linked,大墓地是个死亡之城。那里住着僵尸，它们以前是一个避难所的人类的后代。后来听说那避难所出了点事，导致现在那里唯一的居民都是吃腐肉的怪物。,
21,Patrick13,4984,intelligence_option,667,142,142,6,22,Patrick14,50,linked,那个避难所里有可能还残存能用的零件吗？,
22,Patrick14,5056,reply,667,143,143,,,,,linked,可能吧，不过我才不会去冒险打扰那些僵尸呢。听说他们近来有了个强大的新领袖。,
23,Patrick15,5120,reply,667,144,144,,,,,linked,为什么不？你真想听吗？,
23,Patrick15,5152,intelligence_option,667,145,145,4,24,Patrick16,49,linked,当然。,
23,Patrick15,5184,intelligence_option,667,146,146,4,27,PatrickEnd,50,linked,不用，我就是客气下。,
24,Patrick16,5262,message,667,147,147,,,,49,linked,【帕特里克唱起了歌，你们两个都陷入了回忆中好久。你感觉受到了鼓舞。】,
25,Patrick17,5302,reply,667,148,148,,,,,linked,又见面了，我能帮你点什么？,
25,Patrick17,5334,intelligence_option,667,149,149,4,13,Patrick06,50,linked,是啊，能给我指点一些路么？,
25,Patrick17,5366,intelligence_option,667,150,150,4,27,PatrickEnd,50,linked,不，没关系，谢谢了。,
25,Patrick17,5400,intelligence_option,667,107,107,-3,27,PatrickEnd,50,linked,哈！,
