procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
2,talk_p_proc,1796,message_lookup,361,139,139,,,,,linked,你戏弄变种人卫队获得了1500点经验值。,
4,Radio01,2162,message,361,106,106,,,,0,linked,明白，巡逻兵。我们马上赶去支援。完毕。,
5,Radio02,2202,reply,361,107,107,,,,,linked,你是谁？你想干吗？,
5,Radio02,2234,intelligence_option,361,108,108,4,30,RadioAlert,0,linked,我要关闭这里的地狱之门。,
5,Radio02,2266,intelligence_option,361,109,109,5,9,Radio04,0,linked,我是，嗯，噢，这不重要。我仅仅是个想来杀死你的人。,
5,Radio02,2298,intelligence_option,361,110,110,4,6,Radio02a,0,linked,我是，呃，弗瑞德。我的任务是巡逻。我猜我是一个，嗯，有点头晕。,
7,Radio03,2446,reply,361,111,111,,,,,linked,明白，巡逻兵，报告你的坐标？,
7,Radio03,2478,intelligence_option,361,112,112,6,9,Radio04,0,linked,横坐标224纵坐标104。,
7,Radio03,2510,intelligence_option,361,113,113,6,10,Radio05,0,linked,四英里，南部西南方向。,
7,Radio03,2542,intelligence_option,361,114,114,6,8,Radio03a,0,linked,伽马地区，在欧米嘎区至德尔塔区至贝塔区。,
9,Radio04,2710,message,361,115,115,,,,0,linked,明白，巡逻兵。指挥部，通话结束。,
10,Radio05,2784,message,361,116,116,,,,0,linked,明白，巡逻兵。我们马上支援。,
11,Radio06,2858,message,361,117,117,,,,0,linked,啊，说清楚点，我们马上去增援！,
12,Radio07,2932,message,361,118,118,,,,0,linked,收到，巡逻兵。我们马上支援你！撑住！,
13,Radio08,2972,message_lookup,361,119,119,,,,,linked,这只有无线电的噪音。,
14,Radio10,3014,message_lookup,361,120,120,,,,,linked,你听到无线电传出了一些嘈杂声。你听了一会，但是没有听到任何关键的事情。,
15,Radio11,3062,message_lookup,361,121,121,,,,,linked,无线电的红灯闪了一下。你听到了一声刺耳的鸣叫。,
15,Radio11,3118,message_lookup,361,122,122,,,,,linked,它听上去像是音频密码。,
16,Radio12,3238,message_lookup,361,123,123,,,,,linked,你发出命令代码改变力场设定。,
17,Radio13,3280,message_lookup,361,124,124,,,,,linked,这里只有无线电频段发出的声音。,
18,Radio14,3400,message_lookup,361,125,125,,,,,linked,无线电没有在工作。,
18,Radio14,3458,message_lookup,361,126,126,,,,,linked,这个无线电很正常。问题在另一台无线电上。,
20,Radio22,3604,message_lookup,361,127,127,,,,,linked,无线电只发出刺耳的像数据密码的声音。,
21,Radio23,3646,reply,361,128,128,,,,,linked,【噪音－咝咝－嗤嗤】这里是指挥部，到前边巡逻。,
21,Radio23,3680,intelligence_option,361,129,129,-3,23,Radio24,0,linked,啊！,
21,Radio23,3712,intelligence_option,361,130,130,4,22,Radio23a,0,linked,嗯，对不起，指挥部。我按错按钮了。,
23,Radio24,3892,message,361,131,131,,,,0,linked,有入侵者进入基地！启动警报！,
24,Radio25,3952,message,361,132,132,,,,0,linked,收到，巡逻兵，指挥部通话完毕。,
25,Radio31,4052,message_lookup,361,123,123,,,,,linked,你发出命令代码改变力场设定。,
26,Radio36,4094,reply,361,133,133,,,,,linked,【你把无线电拨到安全控制频段】【咔哒】输入密码【咔哒】,
26,Radio36,4128,intelligence_option,361,134,134,-3,28,Radio37,0,linked,哼！,
26,Radio36,4160,intelligence_option,361,135,135,4,28,Radio37,0,linked,呃，69。,
26,Radio36,4208,intelligence_option,361,136,136,4,27,Radio36a,0,linked,5566534571,
26,Radio36,4240,intelligence_option,361,137,137,4,29,RadioEnd,0,linked,结束访问。,
28,Radio37,4326,message,361,138,138,,,,0,linked,自动化安全频段关闭。,
31,RadioEnt,4542,reply,361,101,101,,,,,linked,【一声刺耳的噪声，你听到一个低沉的声音从无线电里传来。】指挥官呼叫巡逻兵，指挥部呼叫巡逻兵。报告你的情况？完毕。,
31,RadioEnt,4576,intelligence_option,361,102,102,-3,4,Radio01,0,linked,呀！,
31,RadioEnt,4608,intelligence_option,361,103,103,4,5,Radio02,0,linked,嗯，这里没有异常情况。我们很好，嗯，你怎么样？,
31,RadioEnt,4640,intelligence_option,361,104,104,5,7,Radio03,0,linked,长官，我们遭到了一大群人类的攻击。请求支援。完毕。,
31,RadioEnt,4672,intelligence_option,361,105,105,6,12,Radio07,0,linked,救命！有人袭击！我们受了重伤！横坐标：10……啊！,
