procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
4,look_at_p_proc,2200,message_lookup,263,,local_var(0),,,,,no-msg,,
5,talk_p_proc,2280,message_lookup,669,,"random(100, 105)",,,,,no-msg,,
6,Scout0,2510,reply,263,110,110,,,,,no-msg,,
6,Scout0,2544,intelligence_option,263,111,111,-3,7,Scout1,50,no-msg,,
6,Scout0,2570,message_lookup,263,112,112,,,,,no-msg,,
6,Scout0,2598,message_lookup,263,113,113,,,,,no-msg,,
6,Scout0,2614,intelligence_option,,,<unresolved>,,,,,no-msg,,
6,Scout0,2640,message_lookup,263,114,114,,,,,no-msg,,
6,Scout0,2668,message_lookup,263,115,115,,,,,no-msg,,
6,Scout0,2684,intelligence_option,,,<unresolved>,,,,,no-msg,,
6,Scout0,2716,intelligence_option,263,116,116,6,17,Scout11,50,no-msg,,
7,Scout1,2756,reply,263,117,117,,,,,no-msg,,
7,Scout1,2784,message_lookup,263,118,118,,,,,no-msg,,
7,Scout1,2812,message_lookup,263,119,119,,,,,no-msg,,
7,Scout1,2828,intelligence_option,,,<unresolved>,,,,,no-msg,,
7,Scout1,2856,message_lookup,263,120,120,,,,,no-msg,,
7,Scout1,2884,message_lookup,263,121,121,,,,,no-msg,,
7,Scout1,2900,intelligence_option,,,<unresolved>,,,,,no-msg,,
7,Scout1,2928,message_lookup,263,122,122,,,,,no-msg,,
7,Scout1,2942,intelligence_option,263,,"message_str(263, 122)",-3,9,Scout3,50,no-msg,,
7,Scout1,2970,message_lookup,263,123,123,,,,,no-msg,,
7,Scout1,2998,message_lookup,263,124,124,,,,,no-msg,,
7,Scout1,3014,intelligence_option,,,<unresolved>,,,,,no-msg,,
8,Scout2,3060,message,263,125,125,,,,50,no-msg,,
9,Scout3,3106,message,263,126,126,,,,50,no-msg,,
10,Scout4,3146,reply,263,127,127,,,,,no-msg,,
10,Scout4,3178,intelligence_option,263,128,128,4,11,Scout5,50,no-msg,,
10,Scout4,3210,intelligence_option,263,129,129,4,31,combat,50,no-msg,,
10,Scout4,3242,intelligence_option,263,130,130,4,12,Scout6,50,no-msg,,
10,Scout4,3274,intelligence_option,263,131,131,4,16,Scout10,50,no-msg,,
11,Scout5,3320,message,263,132,132,,,,50,no-msg,,
12,Scout6,3360,reply,263,133,133,,,,,no-msg,,
12,Scout6,3392,intelligence_option,263,134,134,4,11,Scout5,50,no-msg,,
12,Scout6,3424,intelligence_option,263,135,135,4,13,Scout7,50,no-msg,,
12,Scout6,3456,intelligence_option,263,136,136,4,15,Scout9,50,no-msg,,
12,Scout6,3488,intelligence_option,263,137,137,4,14,Scout8,50,no-msg,,
13,Scout7,3528,reply,263,138,138,,,,,no-msg,,
13,Scout7,3560,intelligence_option,263,139,139,4,11,Scout5,50,no-msg,,
13,Scout7,3592,intelligence_option,263,140,140,4,14,Scout8,50,no-msg,,
14,Scout8,3638,message,263,141,141,,,,50,no-msg,,
15,Scout9,3678,reply,263,142,142,,,,,no-msg,,
15,Scout9,3710,intelligence_option,263,143,143,4,32,ScoutEnd,50,no-msg,,
16,Scout10,3750,reply,263,144,144,,,,,no-msg,,
16,Scout10,3782,intelligence_option,263,145,145,4,11,Scout5,50,no-msg,,
16,Scout10,3814,intelligence_option,263,146,146,4,14,Scout8,50,no-msg,,
16,Scout10,3846,intelligence_option,263,147,147,4,12,Scout6,50,no-msg,,
17,Scout11,3886,reply,263,148,148,,,,,no-msg,,
17,Scout11,3918,intelligence_option,263,149,149,6,32,ScoutEnd,50,no-msg,,
17,Scout11,3950,intelligence_option,263,150,150,6,18,Scout12,50,no-msg,,
17,Scout11,3982,intelligence_option,263,151,151,6,21,Scout15,50,no-msg,,
18,Scout12,4022,reply,263,152,152,,,,,no-msg,,
18,Scout12,4054,intelligence_option,263,153,153,6,32,ScoutEnd,50,no-msg,,
18,Scout12,4086,intelligence_option,263,154,154,6,19,Scout13,50,no-msg,,
18,Scout12,4118,intelligence_option,263,155,155,6,20,Scout14,50,no-msg,,
19,Scout13,4158,reply,263,156,156,,,,,no-msg,,
19,Scout13,4190,intelligence_option,263,157,157,6,32,ScoutEnd,50,no-msg,,
19,Scout13,4222,intelligence_option,263,158,158,6,31,combat,50,no-msg,,
20,Scout14,4268,message,263,159,159,,,,50,no-msg,,
21,Scout15,4308,reply,263,160,160,,,,,no-msg,,
21,Scout15,4340,intelligence_option,263,161,161,6,32,ScoutEnd,50,no-msg,,
22,Scout16,4380,reply,263,162,162,,,,,no-msg,,
22,Scout16,4412,intelligence_option,263,163,163,4,24,Scout17,50,no-msg,,
22,Scout16,4444,intelligence_option,263,164,164,4,26,Scout19,50,no-msg,,
22,Scout16,4476,intelligence_option,263,165,165,6,23,Scout16a,50,no-msg,,
24,Scout17,4626,reply,263,166,166,,,,,no-msg,,
24,Scout17,4658,intelligence_option,263,167,167,4,25,Scout18,50,no-msg,,
24,Scout17,4690,intelligence_option,263,168,168,4,32,ScoutEnd,50,no-msg,,
24,Scout17,4722,intelligence_option,263,169,169,4,31,combat,50,no-msg,,
25,Scout18,4762,reply,263,170,170,,,,,no-msg,,
