procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
2,dude_use_door,746,message_lookup,459,100,100,,,,,linked,安全门锁着。,
6,use_obj_on_p_proc,1038,message_lookup,459,101,101,,,,,linked,安全门没锁。,
6,use_obj_on_p_proc,1104,message_lookup,459,102,102,,,,,linked,你设法打开了安全门。,
6,use_obj_on_p_proc,1178,message_lookup,459,104,104,,,,,linked,在电子锁上施加压力，你触发了门上的被动警报器。做的好，真是妙不可言。,
6,use_obj_on_p_proc,1202,message_lookup,459,103,103,,,,,linked,你没能打开安全门。,
7,use_skill_on_p_proc,1338,message_lookup,459,101,101,,,,,linked,安全门没锁。,
7,use_skill_on_p_proc,1406,message_lookup,459,102,102,,,,,linked,你设法打开了安全门。,
7,use_skill_on_p_proc,1480,message_lookup,459,104,104,,,,,linked,在电子锁上施加压力，你触发了门上的被动警报器。做的好，真是妙不可言。,
7,use_skill_on_p_proc,1504,message_lookup,459,103,103,,,,,linked,你没能打开安全门。,
8,give_exps,1630,message_lookup,459,105,105,,,,,linked,由于撬开了锁，你获得25点经验值。,
