procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
8,look_at_p_proc,3148,message_lookup,862,100,100,,,,,linked,你看到斯塔布雷顿夫人，图书馆管理员。,
9,Staple00,3190,reply,862,102,102,,,,,linked,嗨，欢迎来到图书馆。我不认为我在这里见过你。你要寻找哪方面的知识呢？,
10,Staple01,3254,reply,862,103,103,,,,,linked,很高兴再次见到你，今天你要找什么呢？,
11,Staple02,3336,intelligence_option,862,104,104,4,12,Staple03,50,linked,你这里都有哪方面的知识？,
11,Staple02,3410,intelligence_option,862,105,105,4,13,Staple04,50,linked,我在找一个净水芯片。,
11,Staple02,3466,intelligence_option,862,130,130,4,27,Staple15,50,linked,你有整套的化学杂志吗？内城区的麦尔斯说你可能有。,
11,Staple02,3498,intelligence_option,862,106,106,4,31,StapleEnd,50,linked,没事，谢谢。,
11,Staple02,3532,intelligence_option,862,125,125,-3,26,Staple14,50,linked,啦呵？,
12,Staple03,3578,message,862,107,107,,,,50,linked,来看看我的精选书籍吧。,
12,Staple03,3602,reply,862,127,127,,,,,linked,再见。,
12,Staple03,3634,intelligence_option,862,128,128,4,31,StapleEnd,50,linked,谢谢。,
12,Staple03,3668,intelligence_option,862,129,129,-3,31,StapleEnd,50,linked,呃。,
13,Staple04,3708,reply,862,108,108,,,,,linked,我在研究中读到过一些提及这种东西的文章。我有一个磁盘，其中有大量你会觉得有用的信息。,
13,Staple04,3740,intelligence_option,862,109,109,4,14,Staple05,50,linked,磁盘？那是什么？,
13,Staple04,3772,intelligence_option,862,110,110,4,15,Staple06,50,linked,我能看看那个磁盘吗？,
14,Staple05,3812,reply,862,111,111,,,,,linked,磁盘可以存储信息，但必须要有相应的电子设备才能阅读。我看到你有一个哔哔小子，你可以用它来阅读并且存储磁盘上的信息。,
14,Staple05,3844,intelligence_option,862,112,112,4,15,Staple06,50,linked,听起来很不错！我能看看那个磁盘吗？,
15,Staple06,3884,reply,862,113,113,,,,,linked,如今信息可是非常难得的哦。我需要你用750块哈勃币交换磁盘。,
15,Staple06,3916,intelligence_option,862,114,114,4,16,Staple06a,50,linked,听起来还可以。给你钱。,
15,Staple06,3948,intelligence_option,862,115,115,4,17,Staple06b,50,linked,就是那个磁盘吗？我靠，我从来没见过这么破的磁盘。我只能给你500块。,
15,Staple06,3980,intelligence_option,862,116,116,4,18,Staple06c,50,linked,那我把整个地方用火焰喷射器给你装修一番如何啊？女士？！,
15,Staple06,4012,intelligence_option,862,117,117,4,31,StapleEnd,50,linked,对不起，我钱不够。,
19,Staple07,4448,message,862,118,118,,,,50,linked,很抱歉，我没拿到足够的钱是不会把磁盘交给你的。等你有了钱再来找我吧。,
20,Staple08,4508,message,862,119,119,,,,51,linked,很抱歉，不过我想你必须收起你那副纵火狂的嘴脸。请你离开。,
21,Staple09,4580,message,862,120,120,,,,50,linked,【斯塔布雷顿夫人拿走了你的钱。】,
22,Staple10,4676,message,862,121,121,,,,50,linked,你说得对，这个磁盘的确应该有更好些的样子。因此我决定接受500块的价格。【斯塔布雷顿夫人拿走了你的钱。】,
23,Staple11,4760,message,862,122,122,,,,51,linked,通常我不会害怕这种威胁，但为了保护我的收藏，我会给你磁盘。作为交换，我要求你今后不许回到这里。,
24,Staple12,4898,message,862,123,123,,,,50,linked,我也许说过，你必须要通过你的哔哔小子来阅读这个。【斯塔布雷顿夫人将磁盘交给你】,
25,Staple13,4940,message_lookup,862,124,124,,,,,linked,请原谅，我还要做研究。,
26,Staple14,4994,message,862,126,126,,,,50,linked,对不起，我不明白你说的话。不过我有一个英语学习的磁盘。如果你是外国人，也许会对你有用的。,
27,Staple15,5034,reply,862,131,131,,,,,linked,我听说过麦尔斯，我正好有他要找的东西。不过你需要付750个瓶盖才能拿走。,
27,Staple15,5066,intelligence_option,862,114,114,4,28,Staple15a,50,linked,听起来还可以。给你钱。,
27,Staple15,5098,intelligence_option,862,117,117,4,31,StapleEnd,50,linked,对不起，我钱不够。,
29,Staple16,5340,message,862,132,132,,,,50,linked,这里你的东西，先生。替我向麦尔斯问好。,
30,Staple17,5386,message,862,133,133,,,,50,linked,我很抱歉，但你的钱不够。等有钱再回来吧。,
45,Goodbyes,7824,message_lookup,634,,"random(100, 105)",,,,,dynamic-number,,
