procedure_index,procedure_name,instruction_offset,call,message_list_id,message_number,message_expression,intelligence,target_procedure_index,target_procedure_name,reaction,link_status,msg_text,msg_audio
8,GenSupr00,3544,message_lookup,433,,"random(101, 103)",,,,,no-msg,,
9,GenSupr03,3614,reply,433,,"random(104, 106)",,,,,no-msg,,
9,GenSupr03,3648,intelligence_option,433,107,107,-3,12,GenSupr04,0,no-msg,,
9,GenSupr03,3680,intelligence_option,433,108,108,4,12,GenSupr04,0,no-msg,,
9,GenSupr03,3712,intelligence_option,433,109,109,5,13,GenSupr05,0,no-msg,,
9,GenSupr03,3744,intelligence_option,433,110,110,6,10,GenSupr03a,0,no-msg,,
9,GenSupr03,3804,intelligence_option,433,111,111,6,11,GenSupr03b,0,no-msg,,
12,GenSupr04,4088,message,433,,"random(112, 114)",,,,0,no-msg,,
13,GenSupr05,4128,reply,433,115,115,,,,,no-msg,,
13,GenSupr05,4160,intelligence_option,433,116,116,5,18,GenSuprxx,0,no-msg,,
13,GenSupr05,4192,intelligence_option,433,117,117,5,17,GenSuprAlert,0,no-msg,,
14,GenSupr06,4260,message,433,,"random(118, 120)",,,,0,no-msg,,
15,GenSupr07,4328,message,433,,"random(121, 123)",,,,0,no-msg,,
16,GenSupr08,4378,message_lookup,433,,"random(124, 127)",,,,,no-msg,,
31,Goodbyes,6358,message_lookup,634,,"random(100, 105)",,,,,no-msg,,
