occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Abel.,You see Abel.,4,4,1,2,False
4,100,100,100,,,你看见阿贝尔。,你看见阿贝尔。,5,5,2,2,True
5,101,101,101,,,You see a large mutant.,You see a large mutant.,6,6,1,2,False
6,101,101,101,,,你看见一个大型变种人。,你看见一个大型变种人。,7,7,2,2,True
7,102,102,102,,,You are not supposed to be here.,You are not supposed to be here.,8,8,1,2,False
8,102,102,102,,,你不应该在这里出现。,你不应该在这里出现。,9,9,2,2,True
9,103,103,103,,,Hng.,Hng.,10,10,1,2,False
10,103,103,103,,,哼哼。,哼哼。,11,11,2,2,True
11,104,104,104,,,Of course not. I'm here to kill you!,Of course not. I'm here to kill you!,12,12,1,2,False
12,104,104,104,,,当然不。我来这儿是要宰了你！,当然不。我来这儿是要宰了你！,13,13,2,2,True
13,105,105,105,,,Why do you say that?,Why do you say that?,15,15,1,2,False
14,105,105,105,,,你为什么这么说？,你为什么这么说？,16,16,2,2,True
15,106,106,106,,,"Oh, yeah? Your momma!","Oh, yeah? Your momma!",18,18,1,2,False
16,106,106,106,,,哦，是吗？滚你妈！,哦，是吗？滚你妈！,19,19,2,2,True
17,107,107,107,,,Pik!,Pik!,21,21,1,2,False
18,107,107,107,,,呸！,呸！,22,22,2,2,True
19,108,108,108,,,I'm gonna kick yer ass if you say that again!,I'm gonna kick yer ass if you say that again!,24,24,1,2,False
20,108,108,108,,,要是你再这么说，我就给你点颜色看看！,要是你再这么说，我就给你点颜色看看！,25,25,2,2,True
21,109,109,109,,,Pik! Pik!,Pik! Pik!,27,27,1,2,False
22,109,109,109,,,呸呸！,呸呸！,28,28,2,2,True
23,110,110,110,,,"Oh, you gonna get it now!","Oh, you gonna get it now!",30,30,1,2,False
24,110,110,110,,,"哦, 你现在就去死吧！","哦, 你现在就去死吧！",31,31,2,2,True
25,111,111,111,,,You human. Me mutant. Mutant kill human.,You human. Me mutant. Mutant kill human.,33,33,1,2,False
26,111,111,111,,,你是人类。我是变种人。变种人要杀人类。,你是人类。我是变种人。变种人要杀人类。,34,34,2,2,True
27,112,112,112,,,How can you do that? What about the force field?,How can you do that? What about the force field?,36,36,1,2,False
28,112,112,112,,,你怎么杀？有力场你怎么过来？,你怎么杀？有力场你怎么过来？,37,37,2,2,True
29,113,113,113,,,Abel take care of that. Then Abel kick yer ass!,Abel take care of that. Then Abel kick yer ass!,39,39,1,2,False
30,113,113,113,,,阿贝尔会弄掉它的，再来揍你！,阿贝尔会弄掉它的，再来揍你！,40,40,2,2,True
31,114,114,114,,,Children are not allowed here. This mutant place. Go away.,Children are not allowed here. This mutant place. Go away.,42,42,1,2,False
32,114,114,114,,,大教堂教徒不准来这里。这里是变种人的地盘。走开。,大教堂教徒不准来这里。这里是变种人的地盘。走开。,43,43,2,2,True
33,115,115,115,,,Hng!,Hng!,45,45,1,2,False
34,115,115,115,,,哼！,哼！,46,46,2,2,True
35,116,116,116,,,I have to get through this force field. Please lower it.,I have to get through this force field. Please lower it.,48,48,1,2,False
36,116,116,116,,,我必须通过这个力场。请关掉它。,我必须通过这个力场。请关掉它。,49,49,2,2,True
37,117,117,117,,,No.,No.,51,51,1,2,False
38,117,117,117,,,不。,不。,52,52,2,2,True
39,118,118,118,,,You again. Abel kick yer ass!,You again. Abel kick yer ass!,54,54,1,2,False
40,118,118,118,,,又是你。阿贝尔会揍你！,又是你。阿贝尔会揍你！,55,55,2,2,True
41,970,970,970,,,Me Abel.,Me Abel.,58,58,1,2,False
42,970,970,970,,,我是阿贝尔。,我是阿贝尔。,59,59,2,2,True
43,980,980,980,,,Hng.,Hng.,62,62,1,2,False
44,980,980,980,,,哼。,哼。,63,63,2,2,True
45,981,981,981,,,Why do you say that?,Why do you say that?,65,65,1,2,False
46,981,981,981,,,你为什么这么说？,你为什么这么说？,66,66,2,2,True
