occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Mitch of the All-N-One store.,You see Mitch of the All-N-One store.,4,4,1,2,False
4,100,100,100,,,你看见杂货店的米奇。,你看见杂货店的米奇。,5,5,2,2,True
5,101,101,101,,,How may I help you today?,How may I help you today?,7,7,1,2,False
6,101,101,101,,,今天我有什么能为你效劳吗？,今天我有什么能为你效劳吗？,8,8,2,2,True
7,102,102,102,,,I'd like to buy something.,I'd like to buy something.,10,10,1,2,False
8,102,102,102,,,我想买点东西。,我想买点东西。,11,11,2,2,True
9,103,103,103,,,I'd like to sell something.,I'd like to sell something.,13,13,1,2,False
10,103,103,103,,,我想卖点东西。,我想卖点东西。,14,14,2,2,True
11,104,104,104,,,Nothing. Thanks.,Nothing. Thanks.,16,16,1,2,False
12,104,104,104,,,没什么事。谢谢。,没什么事。谢谢。,17,17,2,2,True
13,105,105,105,,,Runk.,Runk.,19,19,1,2,False
14,105,105,105,,,转转。,转转。,20,20,2,2,True
15,106,106,106,,,Great. Here's what I have.,Great. Here's what I have.,22,22,1,2,False
16,106,106,106,,,好，这是我的货。,好，这是我的货。,23,23,2,2,True
17,107,107,107,,,"Great, always looking for new things.","Great, always looking for new things.",25,25,1,2,False
18,107,107,107,,,很好，我总爱寻求新东西。,很好，我总爱寻求新东西。,26,26,2,2,True
19,108,108,108,,,"Sorry, I can't understand you. Come back when you get more of a brain.","Sorry, I can't understand you. Come back when you get more of a brain.",28,28,1,2,False
20,108,108,108,,,抱歉，我听不明白。当你变聪明点再回来吧。,抱歉，我听不明白。当你变聪明点再回来吧。,29,29,2,2,True
21,109,109,109,,,Thanks. Come again.,Thanks. Come again.,31,31,1,2,False
22,109,109,109,,,谢谢。下次再来。,谢谢。下次再来。,32,32,2,2,True
23,110,110,110,,,You see Jake the Arms Dealer.,You see Jake the Arms Dealer.,34,34,1,2,False
24,110,110,110,,,你看见武器商杰克。,你看见武器商杰克。,35,35,2,2,True
