occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,你看见艾丽娅，一个沙漠强盗。,你看见艾丽娅，一个沙漠强盗。,3,3,1,1,True
4,101,101,101,,,我是可汗的艾丽娅。我有什么能帮你？,我是可汗的艾丽娅。我有什么能帮你？,4,4,1,1,True
5,102,102,102,,,我在找一个叫坦蒂的女孩。你见过她吗？,我在找一个叫坦蒂的女孩。你见过她吗？,5,5,1,1,True
6,103,103,103,,,吻你一下如何？,吻你一下如何？,6,6,1,1,True
7,104,104,104,,,为什么你们这些强盗攻击沙荫镇？,为什么你们这些强盗攻击沙荫镇？,7,7,1,1,True
8,105,105,105,,,不，谢了。,不，谢了。,8,8,1,1,True
9,106,106,106,,,呼哟！,呼哟！,9,9,1,1,True
10,107,107,107,,,如果她是其中一个从沙荫镇捉来的女人，可能你应该在那里看看。现在走开，我还要把我这些刀磨锋利。,如果她是其中一个从沙荫镇捉来的女人，可能你应该在那里看看。现在走开，我还要把我这些刀磨锋利。,10,10,1,1,True
11,108,108,108,,,亲亲这个！,亲亲这个！,11,11,1,1,True
12,109,109,109,,,我们没攻击沙荫镇的人。我们和他们来自同一个地方。也只有这样才能让他们和我们分享粮食！,我们没攻击沙荫镇的人。我们和他们来自同一个地方。也只有这样才能让他们和我们分享粮食！,12,12,1,1,True
13,110,110,110,,,但是你们伤害他们的家畜还威胁他们。,但是你们伤害他们的家畜还威胁他们。,13,13,1,1,True
14,111,111,111,,,我感觉很公平。,我感觉很公平。,14,14,1,1,True
15,112,112,112,,,嗯，是啊。我想我该走了。,嗯，是啊。我想我该走了。,15,15,1,1,True
16,113,113,113,,,听起来你和他们一样窝囊。听着，如果他们有了饥荒的麻烦，那么是他们自己没预先计划的错。想想我们是用自己的能耐和他们做买卖。,听起来你和他们一样窝囊。听着，如果他们有了饥荒的麻烦，那么是他们自己没预先计划的错。想想我们是用自己的能耐和他们做买卖。,16,16,1,1,True
17,114,114,114,,,用能耐做买卖？！？这怎么会是用能耐来买卖？你们没有给他们任何东西。,用能耐做买卖？！？这怎么会是用能耐来买卖？你们没有给他们任何东西。,17,17,1,1,True
18,115,115,115,,,嗯，没错，如果鸡也会有三条腿的话。,嗯，没错，如果鸡也会有三条腿的话。,18,18,1,1,True
19,116,116,116,,,嗯，好吧。我想现在我该走了。,嗯，好吧。我想现在我该走了。,19,19,1,1,True
20,117,117,117,,,我很抱歉，但是我听不懂你在说什么。我正在磨锋利这些刀，而且我不喜欢被打搅。,我很抱歉，但是我听不懂你在说什么。我正在磨锋利这些刀，而且我不喜欢被打搅。,20,20,1,1,True
21,118,118,118,,,我给他们的可能是最重要的东西。我们给他们枯燥的生活添加刺激。,我给他们的可能是最重要的东西。我们给他们枯燥的生活添加刺激。,21,21,1,1,True
22,119,119,119,,,我不认为他们想要你们这种刺激。,我不认为他们想要你们这种刺激。,22,22,1,1,True
23,120,120,120,,,我想我会重新让他们过得无聊。我要打你开始！,我想我会重新让他们过得无聊。我要打你开始！,23,23,1,1,True
24,121,121,121,,,嗯，是啊。我想我现在该走了。,嗯，是啊。我想我现在该走了。,24,24,1,1,True
25,122,122,122,,,我没有要求他们要。不过既然你肯定不懂什么叫找乐子。我想先了结你。,我没有要求他们要。不过既然你肯定不懂什么叫找乐子。我想先了结你。,25,25,1,1,True
26,123,123,123,,,嘲笑我对你可不是好兆头。最后一句，离我远点。,嘲笑我对你可不是好兆头。最后一句，离我远点。,26,26,1,1,True
27,124,124,124,,,该死的这当然公平。现在从我眼前滚开。,该死的这当然公平。现在从我眼前滚开。,27,27,1,1,True
28,125,125,125,,,我现在正忙着准备我们下次进攻。,我现在正忙着准备我们下次进攻。,28,28,1,1,True
