occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a teenager.,You see a teenager.,3,3,1,2,False
4,100,100,100,,,你看见一名少年。,你看见一名少年。,4,4,2,2,True
5,101,101,101,,,You! You did it! When I grow up I'm gonna get you!# I'm gonna hunt you down and kill you! You killed them# all! Aaaaaalllll! 【Uncontrolled sobbing】.,"You! You did it! When I grow up I'm gonna get you!
# I'm gonna hunt you down and kill you! You killed them
# all! Aaaaaalllll! 【Uncontrolled sobbing】.",5,7,1,2,False
6,101,101,101,,,你！是你干的！我长大后要杀了你！我会找到你，杀掉你！你居然把他们都杀了！啊啊啊啊啊啊啊！【难以自制的哭泣】,你！是你干的！我长大后要杀了你！我会找到你，杀掉你！你居然把他们都杀了！啊啊啊啊啊啊啊！【难以自制的哭泣】,8,8,2,2,True
7,102,102,102,,,It was the only way. The only way to stop them.,It was the only way. The only way to stop them.,9,9,1,2,False
8,102,102,102,,,这是唯一的办法，唯一阻止他们的办法。,这是唯一的办法，唯一阻止他们的办法。,10,10,2,2,True
9,103,103,103,,,How in Hell did you survive the nuke?,How in Hell did you survive the nuke?,11,11,1,2,False
10,103,103,103,,,你到底是怎么躲过核爆的？,你到底是怎么躲过核爆的？,12,12,2,2,True
11,104,104,104,,,"It's a lie, kid. I didn't do it!","It's a lie, kid. I didn't do it!",13,13,1,2,False
12,104,104,104,,,胡说，小鬼，不是我干的！,胡说，小鬼，不是我干的！,14,14,2,2,True
13,105,105,105,,,"You'd better go find a doctor, kid. You've got radiation sickness.","You'd better go find a doctor, kid. You've got radiation sickness.",15,15,1,2,False
14,105,105,105,,,你得看看医生了，孩子，你辐射得不轻啊。,你得看看医生了，孩子，你辐射得不轻啊。,16,16,2,2,True
15,106,106,106,,,"You know kid, I don't need some tough guy trying to take me out twenty years down the road. Say good-night, brat.","You know kid, I don't need some tough guy trying to take me out twenty years down the road. Say good-night, brat.",17,17,1,2,False
16,106,106,106,,,老弟，我不想看到你追着我20年都杀不了我，洗洗睡吧。,老弟，我不想看到你追着我20年都杀不了我，洗洗睡吧。,18,18,2,2,True
17,107,107,107,,,I heard about you. You run around the Wastes killing kids! Help! Nightkin!,I heard about you. You run around the Wastes killing kids! Help! Nightkin!,19,19,1,2,False
18,107,107,107,,,我听说过你，你在废土上到处杀小孩！救命啊，夜行团！,我听说过你，你在废土上到处杀小孩！救命啊，夜行团！,20,20,2,2,True
19,108,108,108,,,"You're mistaken, child. I'm a good man.","You're mistaken, child. I'm a good man.",21,21,1,2,False
20,108,108,108,,,你搞错了，小鬼，我是好人，是好人。,你搞错了，小鬼，我是好人，是好人。,22,22,2,2,True
21,109,109,109,,,"Yeah, and if you don't shut up, you won't live long enough to have nightmares.","Yeah, and if you don't shut up, you won't live long enough to have nightmares.",23,23,1,2,False
22,109,109,109,,,是我又怎么样，如果你不把嘴闭上，你连做噩梦的机会都没有了。,是我又怎么样，如果你不把嘴闭上，你连做噩梦的机会都没有了。,24,24,2,2,True
23,110,110,110,,,"I ain't here to bother you kid, so just be quiet.","I ain't here to bother you kid, so just be quiet.",25,25,1,2,False
24,110,110,110,,,我来着没碍你什么事情吧，闭嘴。,我来着没碍你什么事情吧，闭嘴。,26,26,2,2,True
25,111,111,111,,,I do what? They not just small guys?,I do what? They not just small guys?,27,27,1,2,False
26,111,111,111,,,我做了什么？我杀的人不能算无辜小孩了吧？,我做了什么？我杀的人不能算无辜小孩了吧？,28,28,2,2,True
27,112,112,112,,,Okay. I'll be quiet. But I hope the Nightkin get you!,Okay. I'll be quiet. But I hope the Nightkin get you!,29,29,1,2,False
28,112,112,112,,,好，我不说。但我希望夜行团干掉你！,好，我不说。但我希望夜行团干掉你！,30,30,2,2,True
29,113,113,113,,,Nightkin! Nightkin!,Nightkin! Nightkin!,31,31,1,2,False
30,113,113,113,,,夜行团！夜行团！,夜行团！夜行团！,32,32,2,2,True
31,114,114,114,,,"Maybe it was someone else. But if it was you, I'll find you one day when I get older, and I'll make you pay!","Maybe it was someone else. But if it was you, I'll find you one day when I get older, and I'll make you pay!",33,33,1,2,False
32,114,114,114,,,也许我认错了，但如果真是你，我长大后会找到你，血债血偿！,也许我认错了，但如果真是你，我长大后会找到你，血债血偿！,34,34,2,2,True
33,115,115,115,,,"Hello, sir. Do you need a meditation flower?","Hello, sir. Do you need a meditation flower?",35,35,1,2,False
34,115,115,115,,,你好，先生，你需要一朵冥想用的花么？,你好，先生，你需要一朵冥想用的花么？,36,36,2,2,True
35,116,116,116,,,"Hello, ma'am. Do you need a meditation flower?","Hello, ma'am. Do you need a meditation flower?",37,37,1,2,False
36,116,116,116,,,你好，姐姐，你需要一朵冥想用的花么？,你好，姐姐，你需要一朵冥想用的花么？,38,38,2,2,True
37,117,117,117,,,"Child, has anything interesting happened here lately?","Child, has anything interesting happened here lately?",39,39,1,2,False
38,117,117,117,,,孩子，最近这里有什么有趣的事情么？,孩子，最近这里有什么有趣的事情么？,40,40,2,2,True
39,118,118,118,,,"Of course, child.","Of course, child.",41,41,1,2,False
40,118,118,118,,,当然，孩子。,当然，孩子。,42,42,2,2,True
41,119,119,119,,,Not right now.,Not right now.,43,43,1,2,False
