occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,134,134,134,,,"Thanks, see you later.","Thanks, see you later.",6,6,1,2,False
4,135,135,135,,,"We have all sorts of special items to remember your trip to the Cathedral.# These memories can't be bought cheaply, you understand.","We have all sorts of special items to remember your trip to the Cathedral.
# These memories can't be bought cheaply, you understand.",7,8,1,2,False
5,136,136,136,,,Thanks...,Thanks...,9,9,1,2,False
6,137,137,137,,,You're welcome. Have pleasant days for the rest of your life.,You're welcome. Have pleasant days for the rest of your life.,10,10,1,2,False
7,100,100,100,,,You see a shopkeeper.,You see a shopkeeper.,15,15,1,2,False
8,101,101,101,,,The Holy Flame does not appreciate thieves and scoundrels in his house of worship.  You will be punished!,The Holy Flame does not appreciate thieves and scoundrels in his house of worship.  You will be punished!,16,16,1,2,False
9,102,102,102,,,Hng!,Hng!,17,17,1,2,False
10,103,103,103,,,"I wasn't stealing from you, honest!","I wasn't stealing from you, honest!",18,18,1,2,False
11,104,104,104,,,Why don't you tell the Holy Flame when you see him after your 'punishment.',Why don't you tell the Holy Flame when you see him after your 'punishment.',19,19,1,2,False
12,105,105,105,,,"I care not for your lies, neither shall the Master.","I care not for your lies, neither shall the Master.",20,20,1,2,False
13,106,106,106,,,I'm sorry the shop is closed.,I'm sorry the shop is closed.,21,21,1,2,False
14,107,107,107,,,Nugga.,Nugga.,22,22,1,2,False
15,108,108,108,,,Thanks for nothing.,Thanks for nothing.,23,23,1,2,False
16,109,109,109,,,Why is that?,Why is that?,24,24,1,2,False
17,110,110,110,,,Don't mention it.,Don't mention it.,25,25,1,2,False
18,111,111,111,,,The Children do not have to deal with your kind.  And you've been# causing us a serious problem. I would like you to go away before I# have to call in reinforcements.,"The Children do not have to deal with your kind.  And you've been
# causing us a serious problem. I would like you to go away before I
# have to call in reinforcements.",26,28,1,2,False
19,112,112,112,,,You don't have to do that. I'm your friend.,You don't have to do that. I'm your friend.,29,29,1,2,False
20,100,100,100,,,你看见一位店主。,你看见一位店主。,30,30,2,2,True
21,101,101,101,,,圣火不会纵容在他的殿堂之中存在小偷和恶棍。你会受到惩罚的！,圣火不会纵容在他的殿堂之中存在小偷和恶棍。你会受到惩罚的！,31,31,2,2,True
22,102,102,102,,,哼！,哼！,32,32,2,2,True
23,103,103,103,,,我没偷东西，真的！,我没偷东西，真的！,33,33,2,2,True
24,104,104,104,,,在你的“惩罚”之后上西天见你的狗屁圣火吧！,在你的“惩罚”之后上西天见你的狗屁圣火吧！,34,34,2,2,True
25,105,105,105,,,我不会相信你的谎言的，主教也不会。,我不会相信你的谎言的，主教也不会。,35,35,2,2,True
26,106,106,106,,,对不起，店铺打烊了。,对不起，店铺打烊了。,36,36,2,2,True
27,107,107,107,,,啊，啥？,啊，啥？,37,37,2,2,True
28,108,108,108,,,没事，多谢。,没事，多谢。,38,38,2,2,True
29,109,109,109,,,为什么？,为什么？,39,39,2,2,True
30,110,110,110,,,不客气。,不客气。,40,40,2,2,True
31,111,111,111,,,我们教徒不想和你这样的人打交道，你给我们造成了很大的麻烦，快走开，要不我就喊人了。,我们教徒不想和你这样的人打交道，你给我们造成了很大的麻烦，快走开，要不我就喊人了。,41,41,2,2,True
32,112,112,112,,,别啊，我是你的朋友。,别啊，我是你的朋友。,42,42,2,2,True
33,113,113,113,,,那就算了。,那就算了。,43,43,1,2,False
34,114,114,114,,,我不会和那些用枪说话的人做买卖。我们教徒可不是被枪吓大的。,我不会和那些用枪说话的人做买卖。我们教徒可不是被枪吓大的。,44,44,1,2,False
35,115,115,115,,,枪支管理？法西斯疯子！,枪支管理？法西斯疯子！,45,45,1,2,False
36,116,116,116,,,那我就收起来，我们和平买卖。,那我就收起来，我们和平买卖。,46,46,1,2,False
37,117,117,117,,,好，这样才好，那我很乐意和你交易。,好，这样才好，那我很乐意和你交易。,47,47,1,2,False
38,113,113,113,,,Whatever.,Whatever.,48,48,2,2,True
39,114,114,114,,,I refuse to deal with those that use weapons to make demands.  We# Children have grown beyond the simple use of guns and weapons.,"I refuse to deal with those that use weapons to make demands.  We
# Children have grown beyond the simple use of guns and weapons.",49,50,2,2,True
40,115,115,115,,,Gun control fascist nut!,Gun control fascist nut!,51,51,2,2,True
41,116,116,116,,,Let me holster it and we can barter in peace.,Let me holster it and we can barter in peace.,52,52,2,2,True
42,117,117,117,,,"Good, I'd like that. I'd be happy to do business with you.","Good, I'd like that. I'd be happy to do business with you.",53,53,2,2,True
43,118,118,118,,,"Greetings, my fellow Child.  How can I help you?","Greetings, my fellow Child.  How can I help you?",54,54,1,2,False
44,119,119,119,,,Lugga!?,Lugga!?,55,55,1,2,False
45,120,120,120,,,What do you have to trade?,What do you have to trade?,56,56,1,2,False
46,121,121,121,,,"Thanks. See you later, alligator.","Thanks. See you later, alligator.",57,57,1,2,False
47,122,122,122,,,I'm sorry. Perhaps we can just make a deal.,I'm sorry. Perhaps we can just make a deal.,58,58,1,2,False
48,123,123,123,,,Brye!,Brye!,59,59,1,2,False
49,124,124,124,,,"After a while, crocodile. I can't believe I just said that.","After a while, crocodile. I can't believe I just said that.",60,60,1,2,False
