occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a Chanter of the Children.,You see a Chanter of the Children.,4,4,1,2,False
4,101,101,101,,,The Master will forgive your sins! Join us and be free! Praise to# the Master and his mercy!,"The Master will forgive your sins! Join us and be free! Praise to
# the Master and his mercy!",5,6,1,2,False
5,102,102,102,,,"Hello, friend! The Master's vision has made me truly alive for the# first time. May I share my wonderful story with you?","Hello, friend! The Master's vision has made me truly alive for the
# first time. May I share my wonderful story with you?",7,8,1,2,False
6,103,103,103,,,Where might I meet this Master?,Where might I meet this Master?,9,9,1,2,False
7,104,104,104,,,Go ahead.,Go ahead.,10,10,1,2,False
8,105,105,105,,,Who's in charge here?,Who's in charge here?,11,11,1,2,False
9,106,106,106,,,Master's Vision? Is it better than Rad Scorpion Juice?,Master's Vision? Is it better than Rad Scorpion Juice?,12,12,1,2,False
10,107,107,107,,,"Does it end in death? If not, I can change that!","Does it end in death? If not, I can change that!",13,13,1,2,False
11,108,108,108,,,Me like story!,Me like story!,14,14,1,2,False
12,109,109,109,,,The Master looks above! The Master sits below! Watch the Peace and# the Unity grow!,"The Master looks above! The Master sits below! Watch the Peace and
# the Unity grow!",15,16,1,2,False
13,110,110,110,,,There was once a man who was so full of hate that he nearly died.# But now . . . Praise the Master! Praise the Holy Flame! Praise the Vineyard# of Life! Whee!,"There was once a man who was so full of hate that he nearly died.
# But now . . . Praise the Master! Praise the Holy Flame! Praise the Vineyard
# of Life! Whee!",17,19,1,2,False
14,111,111,111,,,"You are in charge, friend, but the Master is your guide. Praise# the Master! Praise the Holy Flame that lights our way!","You are in charge, friend, but the Master is your guide. Praise
# the Master! Praise the Holy Flame that lights our way!",20,21,1,2,False
15,112,112,112,,,"The Master's vision is much better than any drink, or even sex!# Ohhhh! He transcends both vice and virtue! Ahhhh! The Master is both# father and lover to us all!","The Master's vision is much better than any drink, or even sex!
# Ohhhh! He transcends both vice and virtue! Ahhhh! The Master is both
# father and lover to us all!",22,24,1,2,False
16,113,113,113,,,"No story ends in death, as long as the Master is here to protect us!","No story ends in death, as long as the Master is here to protect us!",25,25,1,2,False
17,114,114,114,,,"But I must praise the Master! Farewell, my friend! I'll tell# the story later!","But I must praise the Master! Farewell, my friend! I'll tell
# the story later!",34,35,1,2,False
18,115,115,115,,,"But I must praise the Master! Farewell, my friend! I'll tell# the story later!","But I must praise the Master! Farewell, my friend! I'll tell
# the story later!",36,37,1,2,False
19,100,100,100,,,你看见大教堂一名牧师。,你看见大教堂一名牧师。,39,39,2,2,True
20,101,101,101,,,主教会宽恕你的罪行！加入我们吧，获得自由吧！赞美主教！赞美他的宽容！,主教会宽恕你的罪行！加入我们吧，获得自由吧！赞美主教！赞美他的宽容！,40,40,2,2,True
21,102,102,102,,,你好，朋友！主教的天眼使我第一次感到存在的意义。我可以和你聊聊我的故事吗？,你好，朋友！主教的天眼使我第一次感到存在的意义。我可以和你聊聊我的故事吗？,41,41,2,2,True
22,103,103,103,,,你说的主教在哪里？,你说的主教在哪里？,42,42,2,2,True
23,104,104,104,,,说啊。,说啊。,43,43,2,2,True
24,105,105,105,,,这里谁管事？,这里谁管事？,44,44,2,2,True
25,106,106,106,,,主教的天眼？比蝎子酒也要好？,主教的天眼？比蝎子酒也要好？,45,45,2,2,True
26,107,107,107,,,他的天眼预见到了死亡没有？如果不是的话，我帮他开开天眼。,他的天眼预见到了死亡没有？如果不是的话，我帮他开开天眼。,46,46,2,2,True
27,108,108,108,,,我，我喜欢故事！,我，我喜欢故事！,47,47,2,2,True
28,109,109,109,,,主教仰看苍天！主教端坐世间！和平与统一的力量与日弥新！,主教仰看苍天！主教端坐世间！和平与统一的力量与日弥新！,48,48,2,2,True
29,110,110,110,,,曾经有一个人因为充满仇恨而几乎死去，但是现在他，我……赞美主教！赞美圣火！赞美生命的家园！当当当！,曾经有一个人因为充满仇恨而几乎死去，但是现在他，我……赞美主教！赞美圣火！赞美生命的家园！当当当！,49,49,2,2,True
30,111,111,111,,,你掌管自己的一切，朋友，但是主教是你的导师。赞美主教！赞美照耀前程的伟大圣火！,你掌管自己的一切，朋友，但是主教是你的导师。赞美主教！赞美照耀前程的伟大圣火！,50,50,2,2,True
31,112,112,112,,,主教的天眼教诲比什么酒都好！比他妈的做爱都好！哦！哦！他超越了世间的善恶！啊！啊！主教是我们的严父！主教是我们的爱人！,主教的天眼教诲比什么酒都好！比他妈的做爱都好！哦！哦！他超越了世间的善恶！啊！啊！主教是我们的严父！主教是我们的爱人！,51,51,2,2,True
32,113,113,113,,,永远没有死亡，只要有主教保护我们！,永远没有死亡，只要有主教保护我们！,52,52,2,2,True
33,114,114,114,,,但是我必须赞美主教！再见，我的朋友！咱们以后再聊！,但是我必须赞美主教！再见，我的朋友！咱们以后再聊！,61,61,2,2,True
34,115,115,115,,,但是我必须赞美主教！再见，我的朋友！咱们以后再聊！,但是我必须赞美主教！再见，我的朋友！咱们以后再聊！,62,62,2,2,True
