occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Dead bodies . . .,Dead bodies . . .,2,2,1,2,False
2,100,100,100,,,死尸……,死尸……,3,3,2,2,True
3,101,101,101,,,They were recently killed by some sort of animal.,They were recently killed by some sort of animal.,4,4,1,2,False
4,101,101,101,,,他们被某种动物杀死没多长时间。,他们被某种动物杀死没多长时间。,5,5,2,2,True
5,102,102,102,,,They were recently killed.,They were recently killed.,6,6,1,2,False
6,102,102,102,,,他们被杀死没多长时间。,他们被杀死没多长时间。,7,7,2,2,True
7,103,103,103,,,They might be sleeping.,They might be sleeping.,8,8,1,2,False
8,103,103,103,,,他们也许在睡觉。,他们也许在睡觉。,9,9,2,2,True
9,104,104,104,,,They're dead.,They're dead.,10,10,1,2,False
10,104,104,104,,,他们死了。,他们死了。,11,11,2,2,True
