occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Demetre.,You see Demetre.,4,4,1,2,False
4,100,100,100,,,你看见戴米德。,你看见戴米德。,5,5,2,2,True
5,101,101,101,,,"Hey there! How are you doin'? The name's Demetre, Demetre Romara, head of the best damn caravan in the wastes. Are you lookin' for a job?","Hey there! How are you doin'? The name's Demetre, Demetre Romara, head of the best damn caravan in the wastes. Are you lookin' for a job?",6,6,1,2,False
6,101,101,101,,,嗨！你好啊！我是戴米德，戴米德·罗玛拉，废土上最他妈好商队的首领。你想找活干吗？,嗨！你好啊！我是戴米德，戴米德·罗玛拉，废土上最他妈好商队的首领。你想找活干吗？,7,7,2,2,True
7,102,102,102,,,"Hmmm, you don't look very strong at all, but... you MUST be great with guns then to have survived the outside! Hell, you're probably one mean fighter when the time comes!","Hmmm, you don't look very strong at all, but... you MUST be great with guns then to have survived the outside! Hell, you're probably one mean fighter when the time comes!",8,8,1,2,False
8,102,102,102,,,唔，你毕竟看起来不是很强壮，但……为了在野外生存下去你一定对用枪很在行！是啊，到时候你也许会是个优秀的战士！,唔，你毕竟看起来不是很强壮，但……为了在野外生存下去你一定对用枪很在行！是啊，到时候你也许会是个优秀的战士！,9,9,2,2,True
9,103,103,103,,,You look pretty fit.,You look pretty fit.,10,10,1,2,False
10,103,103,103,,,你看起来很健康。,你看起来很健康。,11,11,2,2,True
11,104,104,104,,,You look pretty strong.,You look pretty strong.,12,12,1,2,False
12,104,104,104,,,你看起来很强壮。,你看起来很强壮。,13,13,2,2,True
13,105,105,105,,,"Damn, you look strong!","Damn, you look strong!",14,14,1,2,False
14,105,105,105,,,天，你看起来真壮！,天，你看起来真壮！,15,15,2,2,True
15,106,106,106,,,Damn! You look like you could lift a mountain!,Damn! You look like you could lift a mountain!,16,16,1,2,False
16,106,106,106,,,天哪！看起来你可以举起一座山峰！,天哪！看起来你可以举起一座山峰！,17,17,2,2,True
17,107,107,107,,,"Yeah, so?","Yeah, so?",18,18,1,2,False
18,107,107,107,,,是吗，那么？,是吗，那么？,19,19,2,2,True
19,108,108,108,,,What's it to you?,What's it to you?,20,20,1,2,False
20,108,108,108,,,对你来说意味着什么？,对你来说意味着什么？,21,21,2,2,True
21,109,109,109,,,Huh?,Huh?,22,22,1,2,False
22,109,109,109,,,哈?,哈?,23,23,2,2,True
23,110,110,110,,,"That's just what we're lookin' for! You like the thrill and excitement of battle don't you?!  Bullets flying everywhere, whippin' by your head, blowin' your enemy in two, seein' the fear in their eyes! Ahhhh, that's the life! You look like the kind of person that could serve us well, and we pay well!  Oh yes, we do! We've just had a few new openin's, if you are interested; but of course you are, right?!","That's just what we're lookin' for! You like the thrill and excitement of battle don't you?!  Bullets flying everywhere, whippin' by your head, blowin' your enemy in two, seein' the fear in their eyes! Ahhhh, that's the life! You look like the kind of person that could serve us well, and we pay well!  Oh yes, we do! We've just had a few new openin's, if you are interested; but of course you are, right?!",24,24,1,2,False
24,110,110,110,,,这正是我们要的！你沉迷于战斗带来的刺激与兴奋中，不是吗？子弹横飞，掠过你的面颊，把你的对手打个稀烂！而你可以在他们的眼中看到无尽的恐惧！哈哈！这就是你存在的意义！你就是我们需要的那种人，我们会给你很好的报酬的，我们会谈得更坦诚一些，前提是你对此感兴趣；但我想你会的，对吗？,这正是我们要的！你沉迷于战斗带来的刺激与兴奋中，不是吗？子弹横飞，掠过你的面颊，把你的对手打个稀烂！而你可以在他们的眼中看到无尽的恐惧！哈哈！这就是你存在的意义！你就是我们需要的那种人，我们会给你很好的报酬的，我们会谈得更坦诚一些，前提是你对此感兴趣；但我想你会的，对吗？,25,25,2,2,True
25,111,111,111,,,What's the pay?,What's the pay?,26,26,1,2,False
26,111,111,111,,,报酬是什么？,报酬是什么？,27,27,2,2,True
27,112,112,112,,,I'll kill anything that gets in our way!,I'll kill anything that gets in our way!,28,28,1,2,False
28,112,112,112,,,谁敢挡我的道，我就干掉谁！,谁敢挡我的道，我就干掉谁！,29,29,2,2,True
29,113,113,113,,,No thanks.,No thanks.,30,30,1,2,False
30,113,113,113,,,不，谢了。,不，谢了。,31,31,2,2,True
31,114,114,114,,,I need a water chip.,I need a water chip.,32,32,1,2,False
32,114,114,114,,,我需要一块净水芯片。,我需要一块净水芯片。,33,33,2,2,True
33,115,115,115,,,What do you know about the missing caravans?,What do you know about the missing caravans?,34,34,1,2,False
34,115,115,115,,,对于失踪的商队你知道些什么吗？,对于失踪的商队你知道些什么吗？,35,35,2,2,True
35,116,116,116,,,I've got to go.,I've got to go.,36,36,1,2,False
36,116,116,116,,,我得走了。,我得走了。,37,37,2,2,True
37,117,117,117,,,Ugggg uggg!,Ugggg uggg!,38,38,1,2,False
38,117,117,117,,,哇！啊！,哇！啊！,39,39,2,2,True
39,118,118,118,,,"We pay 600 hub bucks a job! That's each way! Hell, people say we take all the dangerous routes but I say they're the most excitin'! You need a little excitement in your life, am I right? Of course I am!","We pay 600 hub bucks a job! That's each way! Hell, people say we take all the dangerous routes but I say they're the most excitin'! You need a little excitement in your life, am I right? Of course I am!",40,40,1,2,False
