occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see the Fargo Traders Caravan Driver.,You see the Fargo Traders Caravan Driver.,4,4,1,2,False
4,101,101,101,,,"Hi, if you're wantin' a job on a caravan, you should talk to Rutger.  He's just over there.","Hi, if you're wantin' a job on a caravan, you should talk to Rutger.  He's just over there.",5,5,1,2,False
5,102,102,102,,,You're gonna need to talk to Rutger.,You're gonna need to talk to Rutger.,6,6,1,2,False
6,103,103,103,,,"So you signed up.  Good to hear it.  So ya know, we leave just about every ten days. That's the 8th, 18th, and 28th of each month.  Right now we're making runs to The Brotherhood, Junktown and the LA Boneyard.","So you signed up.  Good to hear it.  So ya know, we leave just about every ten days. That's the 8th, 18th, and 28th of each month.  Right now we're making runs to The Brotherhood, Junktown and the LA Boneyard.",7,7,1,2,False
7,104,104,104,,,So what's the pay?,So what's the pay?,8,8,1,2,False
8,105,105,105,,,Um.,Um.,9,9,1,2,False
9,106,106,106,,,"You'll get 400 hubbucks. You might be sayin' that it ain't that much, but we go out often and you ain't gonna lose your life that easy.  But you get that pay going each way, not that you have to go each way, but you'll get a total of 800 if you do. ","You'll get 400 hubbucks. You might be sayin' that it ain't that much, but we go out often and you ain't gonna lose your life that easy.  But you get that pay going each way, not that you have to go each way, but you'll get a total of 800 if you do. ",10,10,1,2,False
10,107,107,107,,, We're headin' out today.  You interested?, We're headin' out today.  You interested?,11,11,1,2,False
11,108,108,108,,, We take off on , We take off on ,12,12,1,2,False
12,109,109,109,,,Empty,Empty,13,13,1,2,False
13,110,110,110,,,,,14,14,1,2,False
14,111,111,111,,,. You interested?,. You interested?,15,15,1,2,False
15,112,112,112,,,"I'll still give you a job, even though... never mind.  Are you interested?","I'll still give you a job, even though... never mind.  Are you interested?",16,16,1,2,False
16,113,113,113,,,Sure. ,Sure. ,17,17,1,2,False
17,114,114,114,,,No.,No.,18,18,1,2,False
18,115,115,115,,,Maybe.,Maybe.,19,19,1,2,False
19,116,116,116,,,Yaya.,Yaya.,20,20,1,2,False
20,117,117,117,,,Tae?,Tae?,21,21,1,2,False
21,100,100,100,,,你看到一个远行商会的车夫。,你看到一个远行商会的车夫。,22,22,2,2,True
22,101,101,101,,,嗨，如果你想找工作就去找罗格尔。他正好就在那边。,嗨，如果你想找工作就去找罗格尔。他正好就在那边。,23,23,2,2,True
23,102,102,102,,,你有什么需要就去找罗格尔。,你有什么需要就去找罗格尔。,24,24,2,2,True
24,103,103,103,,,你被录用了。听好了，你要知道，我们每隔10天离开一次。也就是每个月的8日、18日和28日。现在我们要动身去钢铁兄弟会，迦克镇，还有洛杉矶的晒骨场。,你被录用了。听好了，你要知道，我们每隔10天离开一次。也就是每个月的8日、18日和28日。现在我们要动身去钢铁兄弟会，迦克镇，还有洛杉矶的晒骨场。,25,25,2,2,True
25,104,104,104,,,那么报酬是什么？,那么报酬是什么？,26,26,2,2,True
26,105,105,105,,,嗯。,嗯。,27,27,2,2,True
27,106,106,106,,,你能得到400个瓶盖。你也许会说那不是很多，但是我们经常出发，你也不会那么容易挂掉。还有，你可以自己选择走哪条路线，不是你必须每条路都走一趟。交差后你一共会得800个瓶盖。,你能得到400个瓶盖。你也许会说那不是很多，但是我们经常出发，你也不会那么容易挂掉。还有，你可以自己选择走哪条路线，不是你必须每条路都走一趟。交差后你一共会得800个瓶盖。,28,28,2,2,True
28,107,107,107,,, 我们今天就要上路。你有兴趣吗？, 我们今天就要上路。你有兴趣吗？,29,29,2,2,True
29,108,108,108,,,我们出发,我们出发,30,30,2,2,True
30,109,109,109,,,空的,空的,31,31,2,2,True
31,110,110,110,,,,,32,32,2,2,True
32,111,111,111,,,。你感兴趣吗？,。你感兴趣吗？,33,33,2,2,True
33,112,112,112,,,我这一直都有活做，甚至……没关系。你感兴趣吗？,我这一直都有活做，甚至……没关系。你感兴趣吗？,34,34,2,2,True
34,113,113,113,,,当然。,当然。,35,35,2,2,True
35,114,114,114,,,不。,不。,36,36,2,2,True
36,115,115,115,,,也许吧。,也许吧。,37,37,2,2,True
37,116,116,116,,,耶耶。,耶耶。,38,38,2,2,True
38,117,117,117,,,恩？,恩？,39,39,2,2,True
39,118,118,118,,,好吧。没问题。如果你改变主意了就再来找我吧。,好吧。没问题。如果你改变主意了就再来找我吧。,40,40,1,2,False
40,118,118,118,,,Alrighty.  Not a problem.  Just let me know if you change your mind.,Alrighty.  Not a problem.  Just let me know if you change your mind.,41,41,2,2,True
41,119,119,119,,,Would you just make up your mind?,Would you just make up your mind?,42,42,1,2,False
42,120,120,120,,,"Come back by if you end up looking for something to do.  That's the 8st, 18th, and 28th. Bye.","Come back by if you end up looking for something to do.  That's the 8st, 18th, and 28th. Bye.",43,43,1,2,False
43,121,121,121,,,"Uh, it ain't gonna work if you can't tell your right foot from your left.  Sorry big guy.","Uh, it ain't gonna work if you can't tell your right foot from your left.  Sorry big guy.",44,44,1,2,False
44,122,122,122,,,Head on back when your feeling better.,Head on back when your feeling better.,45,45,1,2,False
45,123,123,123,,,"Man, you don't seem to be doing well.   You should get something in your stomach, just stay clar of Bob's.","Man, you don't seem to be doing well.   You should get something in your stomach, just stay clar of Bob's.",46,46,1,2,False
