occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a ghoul guard.,You see a ghoul guard.,4,4,1,2,False
4,101,101,101,,,Go away! You're not wanted here.,Go away! You're not wanted here.,5,5,1,2,False
5,102,102,102,,,"OK. Nice meeting you, too.","OK. Nice meeting you, too.",6,6,1,2,False
6,103,103,103,,,Huh?,Huh?,7,7,1,2,False
7,104,104,104,,,"I'm on duty. If you want to see Set, you gotta do it inside.","I'm on duty. If you want to see Set, you gotta do it inside.",8,8,1,2,False
8,105,105,105,,,The door is locked. You'll have to come back later when it's dark.,The door is locked. You'll have to come back later when it's dark.,9,9,1,2,False
9,106,106,106,,,Thanks.,Thanks.,10,10,1,2,False
10,107,107,107,,,Huh?,Huh?,11,11,1,2,False
11,108,108,108,,,I told you to leave. Your kind is not wanted here.,I told you to leave. Your kind is not wanted here.,12,12,1,2,False
12,109,109,109,,,Right.,Right.,13,13,1,2,False
13,110,110,110,,,Myuh!,Myuh!,14,14,1,2,False
14,111,111,111,,,The doors don't open until dark.,The doors don't open until dark.,15,15,1,2,False
15,112,112,112,,,I need to get in there. Is there any way you can help me?,I need to get in there. Is there any way you can help me?,16,16,1,2,False
16,113,113,113,,,"Hmm, OK.","Hmm, OK.",17,17,1,2,False
17,114,114,114,,,Ugh!,Ugh!,18,18,1,2,False
18,115,115,115,,,"Well, I guess it can't hurt.","Well, I guess it can't hurt.",19,19,1,2,False
19,116,116,116,,,"I wish I could help you, but Set would tan my ass if I did. You know how it is . . . always gotta do what the big guy says.","I wish I could help you, but Set would tan my ass if I did. You know how it is . . . always gotta do what the big guy says.",20,20,1,2,False
20,117,117,117,,,"Yeah, I understand. Thanks.","Yeah, I understand. Thanks.",21,21,1,2,False
21,100,100,100,,,你看到一个僵尸警卫。,你看到一个僵尸警卫。,22,22,2,2,True
22,101,101,101,,,离开那！你不能靠近那里。,离开那！你不能靠近那里。,23,23,2,2,True
23,102,102,102,,,好的，见到你我也很高兴。,好的，见到你我也很高兴。,24,24,2,2,True
24,103,103,103,,,啊？,啊？,25,25,2,2,True
25,104,104,104,,,我是个看守，你要见赛特就到里面找他。,我是个看守，你要见赛特就到里面找他。,26,26,2,2,True
26,105,105,105,,,这扇门是锁着的。你要在天黑的时候再回来看看。,这扇门是锁着的。你要在天黑的时候再回来看看。,27,27,2,2,True
27,106,106,106,,,多谢。,多谢。,28,28,2,2,True
28,107,107,107,,,啊？,啊？,29,29,2,2,True
29,108,108,108,,,我说过让你离开了，你在这里不受欢迎。,我说过让你离开了，你在这里不受欢迎。,30,30,2,2,True
30,109,109,109,,,正确。,正确。,31,31,2,2,True
31,110,110,110,,,噢！,噢！,32,32,2,2,True
32,111,111,111,,,黑夜之前这门不会开了。,黑夜之前这门不会开了。,33,33,2,2,True
33,112,112,112,,,我想进去，你有什么办法帮我吗？,我想进去，你有什么办法帮我吗？,34,34,2,2,True
34,113,113,113,,,嗯，好吧。,嗯，好吧。,35,35,2,2,True
35,114,114,114,,,啊！,啊！,36,36,2,2,True
36,115,115,115,,,好吧，我猜那没什么大不了吧。,好吧，我猜那没什么大不了吧。,37,37,2,2,True
37,116,116,116,,,我很想帮你，但是如果我帮了，赛特会踢烂我的屁股，你知道那会是什么样的……必须服从他的命令。,我很想帮你，但是如果我帮了，赛特会踢烂我的屁股，你知道那会是什么样的……必须服从他的命令。,38,38,2,2,True
38,117,117,117,,,是的，我了解，谢谢。,是的，我了解，谢谢。,39,39,2,2,True
