occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,The door is already unlocked.,The door is already unlocked.,4,4,1,2,False
4,101,101,101,,,You manage to pick the lock.,You manage to pick the lock.,5,5,1,2,False
5,102,102,102,,,You can't seem to pick the lock.,You can't seem to pick the lock.,6,6,1,2,False
6,103,103,103,,,The electronic security system shocks you!,The electronic security system shocks you!,7,7,1,2,False
7,104,104,104,,,You have tripped an alarm on the supply doors.,You have tripped an alarm on the supply doors.,8,8,1,2,False
8,105,105,105,,,The door has a physical lock that will need to be picked.,The door has a physical lock that will need to be picked.,9,9,1,2,False
9,106,106,106,,,The electronic security is already disarmed.,The electronic security is already disarmed.,10,10,1,2,False
10,107,107,107,,,You disarm the electronic security.,You disarm the electronic security.,11,11,1,2,False
11,100,100,100,,,这门没有上锁。,这门没有上锁。,12,12,2,2,True
12,101,101,101,,,你设法解开门锁。,你设法解开门锁。,13,13,2,2,True
13,102,102,102,,,你似乎没法解锁。,你似乎没法解锁。,14,14,2,2,True
14,103,103,103,,,你被安全系统电击了一下。,你被安全系统电击了一下。,15,15,2,2,True
15,104,104,104,,,你使门上的警报系统失效了。,你使门上的警报系统失效了。,16,16,2,2,True
16,105,105,105,,,这个门上有机械锁，要解开才行。,这个门上有机械锁，要解开才行。,17,17,2,2,True
17,106,106,106,,,电子安全锁已经被解除。,电子安全锁已经被解除。,18,18,2,2,True
18,107,107,107,,,你解除了电子保安系统。,你解除了电子保安系统。,19,19,2,2,True
