occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a glowing creature.,You see a glowing creature.,4,4,1,2,False
4,101,101,101,,,Mmmm . . .,Mmmm . . .,5,5,1,2,False
5,102,102,102,,,Ahhh . . .,Ahhh . . .,6,6,1,2,False
6,103,103,103,,,The glowing one mumbles something and is then silent. He is drooling uncontrollably,The glowing one mumbles something and is then silent. He is drooling uncontrollably,7,7,1,2,False
7,104,104,104,,,There is no response.,There is no response.,8,8,1,2,False
8,100,100,100,,,你看到一个发光的生物。,你看到一个发光的生物。,9,9,2,2,True
9,101,101,101,,,呣呣呣……,呣呣呣……,10,10,2,2,True
10,102,102,102,,,啊啊啊……,啊啊啊……,11,11,2,2,True
11,103,103,103,,,这个发光生物不知叨咕了些什么之后安静下来。它正不停的流着口水。,这个发光生物不知叨咕了些什么之后安静下来。它正不停的流着口水。,12,12,2,2,True
12,104,104,104,,,没有反应。,没有反应。,13,13,2,2,True
