occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,5,5,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,6,6,1,1,True
3,100,100,100,,,You see a farmer.,You see a farmer.,8,8,1,2,False
4,101,101,101,,,I need better soil.,I need better soil.,9,9,1,2,False
5,102,102,102,,,I'm not hiring.,I'm not hiring.,10,10,1,2,False
6,103,103,103,,,"I don't need more water, please leave.","I don't need more water, please leave.",11,11,1,2,False
7,104,104,104,,,This soil is too hard.,This soil is too hard.,12,12,1,2,False
8,105,105,105,,,These stupid plants aren't going to survive.,These stupid plants aren't going to survive.,13,13,1,2,False
9,106,106,106,,,Why did I become a farmer?,Why did I become a farmer?,14,14,1,2,False
10,107,107,107,,,Those mutts better not be pissing on my crops.,Those mutts better not be pissing on my crops.,15,15,1,2,False
11,100,100,100,,,你见到一个农民。,你见到一个农民。,16,16,2,2,True
12,101,101,101,,,我需要一块肥沃点的土地。,我需要一块肥沃点的土地。,17,17,2,2,True
13,102,102,102,,,我不出租。,我不出租。,18,18,2,2,True
14,103,103,103,,,我不需要更多的水，再见。,我不需要更多的水，再见。,19,19,2,2,True
15,104,104,104,,,这的土地太硬了。,这的土地太硬了。,20,20,2,2,True
16,105,105,105,,,这些植物能够适应这种环境。,这些植物能够适应这种环境。,21,21,2,2,True
17,106,106,106,,,我怎么会变成一个农民？,我怎么会变成一个农民？,22,22,2,2,True
18,107,107,107,,,那些混蛋们最好别在我的作物上撒尿！,那些混蛋们最好别在我的作物上撒尿！,23,23,2,2,True
19,108,108,108,,,I hate dogs!,I hate dogs!,26,26,1,2,False
20,109,109,109,,,"I hate dogs! Uh, except yours.","I hate dogs! Uh, except yours.",27,27,1,2,False
21,110,110,110,,,This isn't your home.,This isn't your home.,28,28,1,2,False
22,111,111,111,,,What? Do you go around bothering everyone?,What? Do you go around bothering everyone?,29,29,1,2,False
23,112,112,112,,,What a day. I'm exhausted.,What a day. I'm exhausted.,30,30,1,2,False
24,113,113,113,,,I'll call the police.,I'll call the police.,31,31,1,2,False
25,114,114,114,,,I'm tired. Please leave.,I'm tired. Please leave.,32,32,1,2,False
26,108,108,108,,,我讨厌狗！,我讨厌狗！,33,33,2,2,True
27,109,109,109,,,我讨厌狗！哦当然，你的狗是好狗。,我讨厌狗！哦当然，你的狗是好狗。,34,34,2,2,True
28,110,110,110,,,这里不是你的家。,这里不是你的家。,35,35,2,2,True
29,111,111,111,,,什么？你到处骚扰人们？,什么？你到处骚扰人们？,36,36,2,2,True
30,112,112,112,,,真的，我很累。,真的，我很累。,37,37,2,2,True
31,113,113,113,,,我要叫警察了。,我要叫警察了。,38,38,2,2,True
32,114,114,114,,,我很累，请你走吧。,我很累，请你走吧。,39,39,2,2,True
