occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,The door is locked.,The door is locked.,2,2,1,2,False
2,101,101,101,,,You pick the lock.,You pick the lock.,3,3,1,2,False
3,102,102,102,,,"You attempt to pick the lock, but fail.","You attempt to pick the lock, but fail.",4,4,1,2,False
4,103,103,103,,,"While picking the lock, you manage to tweak the tumblers and jam it.","While picking the lock, you manage to tweak the tumblers and jam it.",5,5,1,2,False
5,104,104,104,,,The door isn't locked.,The door isn't locked.,6,6,1,2,False
6,100,100,100,,,这扇门是锁着的。,这扇门是锁着的。,7,7,2,2,True
7,101,101,101,,,你解开这把锁。,你解开这把锁。,8,8,2,2,True
8,102,102,102,,,你试着开锁，但失败了。,你试着开锁，但失败了。,9,9,2,2,True
9,103,103,103,,,你想尽办法打开这把锁，但是你把锁眼给堵了。,你想尽办法打开这把锁，但是你把锁眼给堵了。,10,10,2,2,True
10,104,104,104,,,这扇门没上锁。,这扇门没上锁。,11,11,2,2,True
