occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Laura.,You see Laura.,1,1,1,2,False
2,100,100,100,,,你看到劳拉。,你看到劳拉。,2,2,2,2,True
3,102,102,102,laura0m,laura0m,"Hello, my brother. May I be of service this glorious day?","Hello, my brother. May I be of service this glorious day?",4,4,1,2,False
4,102,102,102,laura0m,laura0m,嗨，兄弟。在这美好的一天需要我的服务吗？,嗨，兄弟。在这美好的一天需要我的服务吗？,5,5,2,2,True
5,104,104,104,laura0f,laura0f,"Hello, my sister. May I be of service this glorious day?","Hello, my sister. May I be of service this glorious day?",7,7,1,2,False
6,104,104,104,laura0f,laura0f,嗨，姐妹。在这美好的一天需要我的服务吗？,嗨，姐妹。在这美好的一天需要我的服务吗？,8,8,2,2,True
7,105,105,105,,,Are you Laura?,Are you Laura?,10,10,1,2,False
8,105,105,105,,,你是劳拉吗？,你是劳拉吗？,11,11,2,2,True
9,106,106,106,,,Can I ask you a few questions about the Children?,Can I ask you a few questions about the Children?,13,13,1,2,False
10,106,106,106,,,我能问你一点关于大教堂教徒的问题吗？,我能问你一点关于大教堂教徒的问题吗？,14,14,2,2,True
11,107,107,107,,,"What kind of ""services"" do you offer?","What kind of ""services"" do you offer?",16,16,1,2,False
12,107,107,107,,,你能提供什么样的“服务”？,你能提供什么样的“服务”？,17,17,2,2,True
13,108,108,108,,,Mom?,Mom?,19,19,1,2,False
14,108,108,108,,,妈妈？,妈妈？,20,20,2,2,True
15,110,110,110,laura01a,laura01a,"That's very sweet of you, but no, I'm not.# I'm sure you can find her somewhere else.","That's very sweet of you, but no, I'm not.
# I'm sure you can find her somewhere else.",22,23,1,2,False
16,110,110,110,laura01a,laura01a,你真的很可爱，但我不是你的妈妈哦。我相信你一定能在别的地方找到她。,你真的很可爱，但我不是你的妈妈哦。我相信你一定能在别的地方找到她。,24,24,2,2,True
