occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Marcelles.,You see Marcelles.,4,4,1,2,False
4,100,100,100,,,你看到玛塞尔。,你看到玛塞尔。,5,5,2,2,True
5,101,101,101,,,You see a tough-looking woman.,You see a tough-looking woman.,7,7,1,2,False
6,101,101,101,,,你看到一个貌似很强硬的女人。,你看到一个貌似很强硬的女人。,8,8,2,2,True
7,102,102,102,,,Thank god you're here! Some crazy guy has Sinthia held hostage. He's threatening to kill her! You've got to help.,Thank god you're here! Some crazy guy has Sinthia held hostage. He's threatening to kill her! You've got to help.,10,10,1,2,False
8,102,102,102,,,感谢上帝，你在这儿！有疯子抓住辛西娅当成人质。他威胁说要杀了她！你应该去帮帮她。,感谢上帝，你在这儿！有疯子抓住辛西娅当成人质。他威胁说要杀了她！你应该去帮帮她。,11,11,2,2,True
9,103,103,103,,,"Nah, don't bother me.","Nah, don't bother me.",13,13,1,2,False
10,103,103,103,,,不，别烦我。,不，别烦我。,14,14,2,2,True
11,104,104,104,,,Hmm. I'll check it out.,Hmm. I'll check it out.,16,16,1,2,False
12,104,104,104,,,唔。我会去看看的。,唔。我会去看看的。,17,17,2,2,True
13,105,105,105,,,Dung!,Dung!,19,19,1,2,False
14,105,105,105,,,妈的！,妈的！,20,20,2,2,True
15,106,106,106,,,"Oh, geez, I hope you can do it. He's in her room. Help her!","Oh, geez, I hope you can do it. He's in her room. Help her!",22,22,1,2,False
16,106,106,106,,,喔，见鬼，我希望你能搞定这件事。他就在她的房间里。帮帮她！,喔，见鬼，我希望你能搞定这件事。他就在她的房间里。帮帮她！,23,23,2,2,True
17,107,107,107,,,You are an incredibly cold person. She could die without your help.,You are an incredibly cold person. She could die without your help.,25,25,1,2,False
18,107,107,107,,,你的冷酷真是令人难以置信。没有你的帮助她会死的。,你的冷酷真是令人难以置信。没有你的帮助她会死的。,26,26,2,2,True
19,108,108,108,,,Tough. That's life.,Tough. That's life.,28,28,1,2,False
20,108,108,108,,,忍耐吧。这就是生活。,忍耐吧。这就是生活。,29,29,2,2,True
21,109,109,109,,,"All right, don't harp on me. I'll look into it.","All right, don't harp on me. I'll look into it.",31,31,1,2,False
22,109,109,109,,,行了，别对着我唠唠叨叨。我去帮忙就是了。,行了，别对着我唠唠叨叨。我去帮忙就是了。,32,32,2,2,True
23,110,110,110,,,Help Sinthia. She's in trouble.,Help Sinthia. She's in trouble.,34,34,1,2,False
24,110,110,110,,,帮帮辛西娅吧。她有麻烦了。,帮帮辛西娅吧。她有麻烦了。,35,35,2,2,True
25,111,111,111,,,Thank you for helping Sinthia. She's usually not a problem. You deserve a good night's sleep. On me. But don't ask for another freebie.,Thank you for helping Sinthia. She's usually not a problem. You deserve a good night's sleep. On me. But don't ask for another freebie.,37,37,1,2,False
26,111,111,111,,,谢谢你帮了辛西娅一把。她很少惹麻烦的。加你额外的一宿当作谢礼。算我的。不过没什么其他的了。,谢谢你帮了辛西娅一把。她很少惹麻烦的。加你额外的一宿当作谢礼。算我的。不过没什么其他的了。,38,38,2,2,True
27,112,112,112,,,Hnn. Thug.,Hnn. Thug.,40,40,1,2,False
28,112,112,112,,,嗯嗯。呵呵。,嗯嗯。呵呵。,41,41,2,2,True
29,113,113,113,,,Thanks.,Thanks.,43,43,1,2,False
30,113,113,113,,,谢谢。,谢谢。,44,44,2,2,True
31,114,114,114,,,No problem. Room #1. Follow me.,No problem. Room #1. Follow me.,46,46,1,2,False
32,114,114,114,,,没问题。一号房间。跟我来。,没问题。一号房间。跟我来。,47,47,2,2,True
33,115,115,115,,,Enjoy your stay. Don't be a pain.,Enjoy your stay. Don't be a pain.,49,49,1,2,False
34,115,115,115,,,住的愉快。别惹麻烦。,住的愉快。别惹麻烦。,50,50,2,2,True
35,116,116,116,,,You should have saved Sinthia. It's your fault she died. I hope you are happy with yourself.,You should have saved Sinthia. It's your fault she died. I hope you are happy with yourself.,52,52,1,2,False
36,116,116,116,,,你本应救下辛西娅的。现在她死了，这都怪你。现在你开心了？,你本应救下辛西娅的。现在她死了，这都怪你。现在你开心了？,53,53,2,2,True
37,117,117,117,,,"Yeah, whatever.","Yeah, whatever.",55,55,1,2,False
38,117,117,117,,,无所谓，随你怎么说。,无所谓，随你怎么说。,56,56,2,2,True
39,118,118,118,,,Hnnn.,Hnnn.,58,58,1,2,False
40,118,118,118,,,嗯……,嗯……,59,59,2,2,True
41,119,119,119,,,"Welcome to the Crash House. How can I help you, stranger?","Welcome to the Crash House. How can I help you, stranger?",61,61,1,2,False
42,119,119,119,,,欢迎光临“躺躺屋”。需要点什么，陌生人？,欢迎光临“躺躺屋”。需要点什么，陌生人？,62,62,2,2,True
43,120,120,120,,,I'm looking for some water.,I'm looking for some water.,64,64,1,2,False
44,120,120,120,,,我在找水。,我在找水。,65,65,2,2,True
45,121,121,121,,,I need a good night's sleep.,I need a good night's sleep.,67,67,1,2,False
46,121,121,121,,,我需要好好睡一晚上。,我需要好好睡一晚上。,68,68,2,2,True
47,122,122,122,,,I'm looking for some info.,I'm looking for some info.,70,70,1,2,False
48,122,122,122,,,我在打听消息。,我在打听消息。,71,71,2,2,True
49,123,123,123,,,Hnnn.,Hnnn.,73,73,1,2,False
