occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Morpheus.,You see Morpheus.,1,1,1,2,False
2,100,100,100,,,你看见墨菲斯。,你看见墨菲斯。,2,2,2,2,True
3,101,101,101,MORP02,MORP02,I don't remember inviting anyone to my room?  And yet I have a visitor. Why?,I don't remember inviting anyone to my room?  And yet I have a visitor. Why?,4,4,1,2,False
4,101,101,101,MORP02,MORP02,我不记得请过谁到我的房间来？但有人来拜访我，怎么回事？,我不记得请过谁到我的房间来？但有人来拜访我，怎么回事？,5,5,2,2,True
5,102,102,102,,,"Oh, I'm sorry. I seem to be lost.","Oh, I'm sorry. I seem to be lost.",7,7,1,2,False
6,102,102,102,,,哦，抱歉。看来我是走错地方了。,哦，抱歉。看来我是走错地方了。,8,8,2,2,True
7,103,103,103,,,Because I have such a deal for you...,Because I have such a deal for you...,10,10,1,2,False
8,103,103,103,,,因为我有某一桩买卖跟你谈……,因为我有某一桩买卖跟你谈……,11,11,2,2,True
9,104,104,104,,,I'm ,I'm ,13,13,1,2,False
10,104,104,104,,,我是,我是,14,14,2,2,True
11,105,105,105,,,. What's yours?,. What's yours?,16,16,1,2,False
12,105,105,105,,,。你的什么？,。你的什么？,17,17,2,2,True
13,106,106,106,,,One of the Brothers sent me up here.,One of the Brothers sent me up here.,19,19,1,2,False
14,106,106,106,,,一个教友派我上这里来的。,一个教友派我上这里来的。,20,20,2,2,True
15,107,107,107,,,Mom?,Mom?,22,22,1,2,False
16,107,107,107,,,妈？,妈？,23,23,2,2,True
17,108,108,108,MORP02A,MORP02A,No.  I'm Father Death...,No.  I'm Father Death...,25,25,1,2,False
18,108,108,108,MORP02A,MORP02A,不。我是死神老爸……,不。我是死神老爸……,26,26,2,2,True
19,109,109,109,MORP03,MORP03,"Well, my child, it's quite dangerous to explore places where you do not belong.  Where were you heading that you ended up in my private chambers?","Well, my child, it's quite dangerous to explore places where you do not belong.  Where were you heading that you ended up in my private chambers?",28,28,1,2,False
20,109,109,109,MORP03,MORP03,嗯，我的孩子，窥探不属于你的地方是十分危险的。你去哪里？怎么会跑到我这里来？,嗯，我的孩子，窥探不属于你的地方是十分危险的。你去哪里？怎么会跑到我这里来？,29,29,2,2,True
21,110,110,110,,,"I'm new, and I was looking for the bathroom. One of the other High Priests sent me up here.","I'm new, and I was looking for the bathroom. One of the other High Priests sent me up here.",31,31,1,2,False
22,110,110,110,,,我是新来的，我在找茅厕。另外一个高级牧师派我上这里来的。,我是新来的，我在找茅厕。另外一个高级牧师派我上这里来的。,32,32,2,2,True
23,111,111,111,,,"I was looking for the confessional, and one of the High Priests sent me up here. I'm really sorry I ended up here!","I was looking for the confessional, and one of the High Priests sent me up here. I'm really sorry I ended up here!",34,34,1,2,False
24,111,111,111,,,我在找忏悔室，一个高级牧师派来上这里来的。我误入你的房间，真是抱歉！,我在找忏悔室，一个高级牧师派来上这里来的。我误入你的房间，真是抱歉！,35,35,2,2,True
25,112,112,112,,,"Well, I'm not really lost.","Well, I'm not really lost.",37,37,1,2,False
26,112,112,112,,,嗯，我不是真迷路了。,嗯，我不是真迷路了。,38,38,2,2,True
27,113,113,113,,,I was heading up here to kill you.,I was heading up here to kill you.,40,40,1,2,False
28,113,113,113,,,我到这里来取你的狗命。,我到这里来取你的狗命。,41,41,2,2,True
