occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a Master Merchant,You see a Master Merchant,4,4,1,2,False
4,101,101,101,,,Arrest this thief!,Arrest this thief!,5,5,1,2,False
5,102,102,102,,,"...I don't care what they say.  We need new parts... Oh, yes.  Sorry. What #can I do for you?","...I don't care what they say.  We need new parts... Oh, yes.  Sorry. What #can I do for you?",6,6,1,2,False
6,103,103,103,,,I want a job.,I want a job.,7,7,1,2,False
7,104,104,104,,,Do you have a water chip?,Do you have a water chip?,8,8,1,2,False
8,105,105,105,,,"Nothing, bye.","Nothing, bye.",9,9,1,2,False
9,106,106,106,,,Shek.,Shek.,10,10,1,2,False
10,107,107,107,,,"Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard #right?  Yeah, sure. You can work for us.  You look okay.  Anything else?","Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard #right?  Yeah, sure. You can work for us.  You look okay.  Anything else?",11,11,1,2,False
11,108,108,108,,,Nope.,Nope.,12,12,1,2,False
12,109,109,109,,,"Yes, do you have a water chip?","Yes, do you have a water chip?",13,13,1,2,False
13,110,110,110,,,Veh?,Veh?,14,14,1,2,False
14,111,111,111,,,"Sorry, no time for nonsense!","Sorry, no time for nonsense!",15,15,1,2,False
15,112,112,112,,,"Water chip... hmm.  Oh, those old Vault purifying control chips.  Well, I'm #sure I speak for the entire town when I say# you won't find one here.  Without the proper equipment they're worthless.  Only #a Vault, or maybe Necropolis would have any# use for one.  Why do you ask?","Water chip... hmm.  Oh, those old Vault purifying control chips.  Well, I'm #sure I speak for the entire town when I say
# you won't find one here.  Without the proper equipment they're worthless.  Only #a Vault, or maybe Necropolis would have any
# use for one.  Why do you ask?",16,18,1,2,False
16,113,113,113,,,Necropolis?  Why would they need one?,Necropolis?  Why would they need one?,19,19,1,2,False
17,114,114,114,,,My vault's chip broke and I'm looking for a replacement.,My vault's chip broke and I'm looking for a replacement.,20,20,1,2,False
18,115,115,115,,,Just curious.,Just curious.,21,21,1,2,False
19,116,116,116,,,I can't say.,I can't say.,22,22,1,2,False
20,117,117,117,,,"Really? Well as you probably have heard, we supply a great deal of water #throughout the area.  I am sure we could# arrange to send a caravan up to your Vault for a fee.","Really? Well as you probably have heard, we supply a great deal of water #throughout the area.  I am sure we could
# arrange to send a caravan up to your Vault for a fee.",23,24,1,2,False
21,118,118,118,,,How much are we talking about?,How much are we talking about?,25,25,1,2,False
22,119,119,119,,,I don't know if I can trust you.,I don't know if I can trust you.,26,26,1,2,False
23,120,120,120,,,No thanks.,No thanks.,27,27,1,2,False
24,121,121,121,,,"Yeah, if you say so.","Yeah, if you say so.",28,28,1,2,False
25,122,122,122,,,"Then I'm sorry, I don't think I can help.","Then I'm sorry, I don't think I can help.",29,29,1,2,False
26,123,123,123,,,Can't trust me?!?  I'm routinely trusted to deliver water to people far more #paranoid than yourself!  What do you# think we are?  Terrorists?,"Can't trust me?!?  I'm routinely trusted to deliver water to people far more #paranoid than yourself!  What do you
# think we are?  Terrorists?",30,31,1,2,False
27,124,124,124,,,Okay fine.  How much money do you want to start the Caravans.,Okay fine.  How much money do you want to start the Caravans.,32,32,1,2,False
28,125,125,125,,,"I'm sorry.  I didn't mean to imply anything, but I can't take the risk.","I'm sorry.  I didn't mean to imply anything, but I can't take the risk.",33,33,1,2,False
29,126,126,126,,,"Well, if you change your mind let me know. I'm very curious now.","Well, if you change your mind let me know. I'm very curious now.",34,34,1,2,False
30,127,127,127,,,Hello again.,Hello again.,35,35,1,2,False
31,128,128,128,,,I need a water chip.,I need a water chip.,36,36,1,2,False
32,129,129,129,,,I'm still looking for a water chip.,I'm still looking for a water chip.,37,37,1,2,False
33,130,130,130,,,I want a job.,I want a job.,38,38,1,2,False
34,131,131,131,,,Bye.,Bye.,39,39,1,2,False
35,132,132,132,,,"Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard #right?  Yeah, sure.  You can work for us.  You look okay.","Sure, great.  You're hired.  Wait.  What position?  Oh, caravan guard #right?  Yeah, sure.  You can work for us.  You look okay.",40,40,1,2,False
36,133,133,133,,,We already went through this.  Are you willing to pay the price to have the #water caravans start?,We already went through this.  Are you willing to pay the price to have the #water caravans start?,41,41,1,2,False
37,134,134,134,,,Earlier you mentioned that Necropolis might have a water chip.  Why would #they need one?,Earlier you mentioned that Necropolis might have a water chip.  Why would #they need one?,42,42,1,2,False
38,135,135,135,,,How much are we talking about?,How much are we talking about?,43,43,1,2,False
39,136,136,136,,,"No, not yet.","No, not yet.",44,44,1,2,False
40,137,137,137,,,"Well, it's just a guess really.  We tried to start a caravan route to #Necropolis once, but they refused to trade with us.#  Nobody in their right mind refuses water these days unless they have a reliable #supply.  I figure they must have their own# purifier or they would have died out a long time ago.  So are you looking to have #us go up to your Vault?","Well, it's just a guess really.  We tried to start a caravan route to #Necropolis once, but they refused to trade with us.
#  Nobody in their right mind refuses water these days unless they have a reliable #supply.  I figure they must have their own
# purifier or they would have died out a long time ago.  So are you looking to have #us go up to your Vault?",45,47,1,2,False
41,138,138,138,,,"Yes, how much is it going to cost me?","Yes, how much is it going to cost me?",48,48,1,2,False
42,139,139,139,,,No thanks.,No thanks.,49,49,1,2,False
