occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,"You see Neal, the bartender.","You see Neal, the bartender.",4,4,1,2,False
4,100,100,100,,,你看到酒保尼尔。,你看到酒保尼尔。,5,5,2,2,True
5,101,101,101,,,You see a bartender.,You see a bartender.,7,7,1,2,False
6,101,101,101,,,你看到酒保。,你看到酒保。,8,8,2,2,True
7,102,102,102,,,He looks overworked.,He looks overworked.,10,10,1,2,False
8,102,102,102,,,他看起来太忙了。,他看起来太忙了。,11,11,2,2,True
9,103,103,103,,,"Hey! Don't think you're going to get away with that, thief!","Hey! Don't think you're going to get away with that, thief!",13,13,1,2,False
10,103,103,103,,,嘿！你以为我没有看到你在干什么？！小偷！,嘿！你以为我没有看到你在干什么？！小偷！,14,14,2,2,True
11,104,104,104,,,We're closed. Come back around four o'clock.,We're closed. Come back around four o'clock.,16,16,1,2,False
12,104,104,104,,,酒吧关门了。四点左右再来。,酒吧关门了。四点左右再来。,17,17,2,2,True
13,105,105,105,,,Zzzz,Zzzz,19,19,1,2,False
14,105,105,105,,,Zzzz,Zzzz,20,20,2,2,True
15,106,106,106,,,Welcome to the Skum Pitt. What can I do ya for?,Welcome to the Skum Pitt. What can I do ya for?,22,22,1,2,False
16,106,106,106,,,欢迎来到斯卡姆·匹特。我能为你做些什么？,欢迎来到斯卡姆·匹特。我能为你做些什么？,23,23,2,2,True
17,107,107,107,,,"Uh, I'll have a drink.","Uh, I'll have a drink.",25,25,1,2,False
18,107,107,107,,,呃，我要来一杯。,呃，我要来一杯。,26,26,2,2,True
19,108,108,108,,,I'm looking for information.,I'm looking for information.,28,28,1,2,False
20,108,108,108,,,我想打听点事儿。,我想打听点事儿。,29,29,2,2,True
21,109,109,109,,,My name's ,My name's ,31,31,1,2,False
22,109,109,109,,,我叫,我叫,32,32,2,2,True
23,110,110,110,,,. What is this place?,. What is this place?,34,34,1,2,False
24,110,110,110,,,。这是什么地方？,。这是什么地方？,35,35,2,2,True
25,111,111,111,,,Gaa hnnngh!,Gaa hnnngh!,37,37,1,2,False
26,111,111,111,,,嘎啊啊啊啊！,嘎啊啊啊啊！,38,38,2,2,True
27,112,112,112,,,Great. Whaddya want?,Great. Whaddya want?,40,40,1,2,False
28,112,112,112,,,好得很。你想要什么？,好得很。你想要什么？,41,41,2,2,True
29,113,113,113,,,"Nuka-cola, 3 caps.","Nuka-cola, 3 caps.",43,43,1,2,False
30,113,113,113,,,核子可乐，3个瓶盖。,核子可乐，3个瓶盖。,44,44,2,2,True
31,114,114,114,,,"Beer, 5 caps.","Beer, 5 caps.",46,46,1,2,False
32,114,114,114,,,啤酒，5个瓶盖。,啤酒，5个瓶盖。,47,47,2,2,True
33,115,115,115,,,"The hard stuff, 20 caps.","The hard stuff, 20 caps.",49,49,1,2,False
34,115,115,115,,,烈性酒，20个瓶盖。,烈性酒，20个瓶盖。,50,50,2,2,True
35,116,116,116,,,"Okay, so whaddya wanna know?","Okay, so whaddya wanna know?",52,52,1,2,False
36,116,116,116,,,好吧，那么你想知道些什么？,好吧，那么你想知道些什么？,53,53,2,2,True
37,117,117,117,,,What's the scoop on this town?,What's the scoop on this town?,55,55,1,2,False
38,117,117,117,,,镇子里有没有有趣的事？,镇子里有没有有趣的事？,56,56,2,2,True
39,118,118,118,,,Who's the dangerous-looking stranger in the corner?,Who's the dangerous-looking stranger in the corner?,58,58,1,2,False
40,118,118,118,,,那角落里凶神恶煞的人是谁？,那角落里凶神恶煞的人是谁？,59,59,2,2,True
41,119,119,119,,,Who're the jerks?,Who're the jerks?,61,61,1,2,False
42,119,119,119,,,这帮孙子是谁？,这帮孙子是谁？,62,62,2,2,True
43,120,120,120,,,"【Neal looks at you quizzically for a moment.】 Haven't you ever seen a bar# before, stranger? This is my place, the Skum Pitt. You buy drinks here. And you# tip me.","【Neal looks at you quizzically for a moment.】 Haven't you ever seen a bar
# before, stranger? This is my place, the Skum Pitt. You buy drinks here. And you
# tip me.",64,66,1,2,False
44,120,120,120,,,【尼尔上下打量了你一阵子。】你从没来过酒吧吗，我没见过你？这是我的地盘，斯卡·匹特。买饮料的话，要收小费。,【尼尔上下打量了你一阵子。】你从没来过酒吧吗，我没见过你？这是我的地盘，斯卡·匹特。买饮料的话，要收小费。,67,67,2,2,True
45,121,121,121,,,"Uh, right. I knew that. So, can I get a drink?","Uh, right. I knew that. So, can I get a drink?",69,69,1,2,False
46,121,121,121,,,啊，好的。我知道了。那么，给我来一杯？,啊，好的。我知道了。那么，给我来一杯？,70,70,2,2,True
47,122,122,122,,,"Yeah. Um, can I get some other information?","Yeah. Um, can I get some other information?",72,72,1,2,False
48,122,122,122,,,耶，恩，我能问些其他的消息吗？,耶，恩，我能问些其他的消息吗？,73,73,2,2,True
49,123,123,123,,,Oh. Thanks.,Oh. Thanks.,75,75,1,2,False
50,123,123,123,,,哦，谢了。,哦，谢了。,76,76,2,2,True
51,124,124,124,,,"Yeah, same to you, buddy.","Yeah, same to you, buddy.",78,78,1,2,False
52,124,124,124,,,是的，你也是，老兄。,是的，你也是，老兄。,79,79,2,2,True
53,125,125,125,,,What's that trophy on the shelf?,What's that trophy on the shelf?,81,81,1,2,False
