occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a dejected prisoner of the Raiders.,You see a dejected prisoner of the Raiders.,4,4,1,2,False
4,101,101,101,,,"Hey, you! Get me out of here!","Hey, you! Get me out of here!",5,5,1,2,False
5,102,102,102,,,"Be quiet, you're gonna alert the guards!","Be quiet, you're gonna alert the guards!",6,6,1,2,False
6,103,103,103,,,Shh! Who are you?,Shh! Who are you?,7,7,1,2,False
7,104,104,104,,,Goop,Goop,8,8,1,2,False
8,105,105,105,,,I don't care. Get me out of here please!,I don't care. Get me out of here please!,9,9,1,2,False
9,106,106,106,,,My name is Jack. I'm from Junktown. These monsters killed the rest of my caravan and put me here.,My name is Jack. I'm from Junktown. These monsters killed the rest of my caravan and put me here.,10,10,1,2,False
10,107,107,107,,,Ok. I'll see what I can do.,Ok. I'll see what I can do.,11,11,1,2,False
11,108,108,108,,,What a bummer. Enjoy your stay.,What a bummer. Enjoy your stay.,12,12,1,2,False
12,109,109,109,,,"Please, just help me out.","Please, just help me out.",13,13,1,2,False
13,110,110,110,,,Ow! My leg. It's hurt. I think it might be broken. Please help me!,Ow! My leg. It's hurt. I think it might be broken. Please help me!,14,14,1,2,False
14,100,100,100,,,你看到一个被歹徒关起来的囚犯，很沮丧的样子。,你看到一个被歹徒关起来的囚犯，很沮丧的样子。,15,15,2,2,True
15,101,101,101,,,嘿，你！把我从这里弄出去！,嘿，你！把我从这里弄出去！,16,16,2,2,True
16,102,102,102,,,小心点，你要把守卫惊动哇！！,小心点，你要把守卫惊动哇！！,17,17,2,2,True
17,103,103,103,,,嘘，你是谁？,嘘，你是谁？,18,18,2,2,True
18,104,104,104,,,咕。,咕。,19,19,2,2,True
19,105,105,105,,,我不喜欢这样，请把我从这里弄出去！,我不喜欢这样，请把我从这里弄出去！,20,20,2,2,True
20,106,106,106,,,我叫杰克。我来自迦克镇。这些怪物杀了我商队的其他人并把我关在这里。,我叫杰克。我来自迦克镇。这些怪物杀了我商队的其他人并把我关在这里。,21,21,2,2,True
21,107,107,107,,,好的，我看看我能做些什么。,好的，我看看我能做些什么。,22,22,2,2,True
22,108,108,108,,,真是个废物，继续待在这吧。,真是个废物，继续待在这吧。,23,23,2,2,True
23,109,109,109,,,拜托！请帮我离开。,拜托！请帮我离开。,24,24,2,2,True
24,110,110,110,,,啊！我的腿受伤了，我想它断了，请帮帮我！,啊！我的腿受伤了，我想它断了，请帮帮我！,25,25,2,2,True
