occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,"You see Kathy, owner of this shop.","You see Kathy, owner of this shop.",4,4,1,2,False
4,101,101,101,,,"Sorry, I don't have much today.","Sorry, I don't have much today.",5,5,1,2,False
5,102,102,102,,,What're you looking for today?,What're you looking for today?,6,6,1,2,False
6,103,103,103,,,Yes? Can I help you?,Yes? Can I help you?,7,7,1,2,False
7,104,104,104,,,"Sorry, still no new inventory.","Sorry, still no new inventory.",8,8,1,2,False
8,105,105,105,,,Do you have any armor to sell?,Do you have any armor to sell?,9,9,1,2,False
9,106,106,106,,,Greetings.,Greetings.,10,10,1,2,False
10,107,107,107,,,Good day.,Good day.,11,11,1,2,False
11,108,108,108,,,See anything you like?,See anything you like?,12,12,1,2,False
12,109,109,109,,,Thanks for stopping by.,Thanks for stopping by.,13,13,1,2,False
13,110,110,110,,,Nice to see you.,Nice to see you.,14,14,1,2,False
14,111,111,111,,,Come again.,Come again.,15,15,1,2,False
15,112,112,112,,,See you again soon.,See you again soon.,16,16,1,2,False
16,113,113,113,,,Bye.,Bye.,17,17,1,2,False
17,114,114,114,,,"Sorry, I'll try to get more inventory soon.","Sorry, I'll try to get more inventory soon.",18,18,1,2,False
18,115,115,115,,,I think I might need to diversify.,I think I might need to diversify.,19,19,1,2,False
19,116,116,116,,,Thanks.,Thanks.,20,20,1,2,False
20,117,117,117,,,Thank you for stopping by.,Thank you for stopping by.,21,21,1,2,False
21,118,118,118,,,Sorry if I didn't have what you needed.,Sorry if I didn't have what you needed.,22,22,1,2,False
22,119,119,119,,,Have a good day.,Have a good day.,23,23,1,2,False
23,100,100,100,,,你看到凯西，这家商店的老板。,你看到凯西，这家商店的老板。,25,25,2,2,True
24,101,101,101,,,对不起，我今天东西不多。,对不起，我今天东西不多。,26,26,2,2,True
25,102,102,102,,,你今天要找什么？,你今天要找什么？,27,27,2,2,True
26,103,103,103,,,是的？有什么我能帮忙的？,是的？有什么我能帮忙的？,28,28,2,2,True
27,104,104,104,,,对不起，仍然没有新鲜货。,对不起，仍然没有新鲜货。,29,29,2,2,True
28,105,105,105,,,你有什么护甲卖吗？,你有什么护甲卖吗？,30,30,2,2,True
29,106,106,106,,,问候。,问候。,31,31,2,2,True
30,107,107,107,,,再见。,再见。,32,32,2,2,True
31,108,108,108,,,有没有看到你喜欢的东西？,有没有看到你喜欢的东西？,33,33,2,2,True
32,109,109,109,,,谢谢光顾。,谢谢光顾。,34,34,2,2,True
33,110,110,110,,,很高兴看到你。,很高兴看到你。,35,35,2,2,True
34,111,111,111,,,再来啊。,再来啊。,36,36,2,2,True
35,112,112,112,,,希望不久再次看到你。,希望不久再次看到你。,37,37,2,2,True
36,113,113,113,,,再见。,再见。,38,38,2,2,True
37,114,114,114,,,对不起，我尽快进更多货的。,对不起，我尽快进更多货的。,39,39,2,2,True
38,115,115,115,,,我想我可能需要进点新鲜货色了。,我想我可能需要进点新鲜货色了。,40,40,2,2,True
39,116,116,116,,,谢谢。,谢谢。,41,41,2,2,True
40,117,117,117,,,谢谢你的光顾。,谢谢你的光顾。,42,42,2,2,True
41,118,118,118,,,对不起，我没有你需要的东西。,对不起，我没有你需要的东西。,43,43,2,2,True
42,119,119,119,,,再见。,再见。,44,44,2,2,True
