occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a drunk.,You see a drunk.,2,2,1,2,False
2,101,101,101,,,You see a customer.,You see a customer.,3,3,1,2,False
3,102,102,102,,,You see a very pretty lady.,You see a very pretty lady.,4,4,1,2,False
4,103,103,103,,,You see a strange looking man.,You see a strange looking man.,5,5,1,2,False
5,104,104,104,,,You see a gambler.,You see a gambler.,6,6,1,2,False
6,105,105,105,,,"You see a woman, see seems to be busy.","You see a woman, see seems to be busy.",7,7,1,2,False
7,106,106,106,,,You see a woman.,You see a woman.,8,8,1,2,False
8,107,107,107,,,You see a man.,You see a man.,9,9,1,2,False
9,108,108,108,,,You see a very upset gambler.,You see a very upset gambler.,10,10,1,2,False
10,109,109,109,,,You see a mercenary.,You see a mercenary.,11,11,1,2,False
11,110,110,110,,,Leave me to my sorrows.,Leave me to my sorrows.,12,12,1,2,False
12,111,111,111,,,Yer my bestest friend.,Yer my bestest friend.,13,13,1,2,False
13,112,112,112,,,Why you're . . . (hic) where am I?,Why you're . . . (hic) where am I?,14,14,1,2,False
14,113,113,113,,,Who are you?,Who are you?,15,15,1,2,False
15,114,114,114,,,Do I know you?,Do I know you?,16,16,1,2,False
16,115,115,115,,,I feel a little queasy.,I feel a little queasy.,17,17,1,2,False
17,116,116,116,,,"Drinks are on me, I mean you.","Drinks are on me, I mean you.",18,18,1,2,False
18,117,117,117,,,Why are there two of you?,Why are there two of you?,19,19,1,2,False
19,118,118,118,,,Stand still laddy!,Stand still laddy!,20,20,1,2,False
20,119,119,119,,,Stand still girl!,Stand still girl!,21,21,1,2,False
21,120,120,120,,,Beat it skag!,Beat it skag!,22,22,1,2,False
22,121,121,121,,,Yer droppin' the class of this joint.,Yer droppin' the class of this joint.,23,23,1,2,False
23,122,122,122,,,"Get away, you'll jinx me!","Get away, you'll jinx me!",24,24,1,2,False
24,123,123,123,,,Don't break my concentration.,Don't break my concentration.,25,25,1,2,False
25,124,124,124,,,I'll beat this damn game yet!,I'll beat this damn game yet!,26,26,1,2,False
26,125,125,125,,,You any good at this?,You any good at this?,27,27,1,2,False
27,126,126,126,,,Did you see that? That was impossible!,Did you see that? That was impossible!,28,28,1,2,False
28,127,127,127,,,I think they're cheating.,I think they're cheating.,29,29,1,2,False
29,128,128,128,,,Now those are good odds.,Now those are good odds.,30,30,1,2,False
30,129,129,129,,,It's a sure thing.,It's a sure thing.,31,31,1,2,False
31,130,130,130,,,What? How could I have lost?,What? How could I have lost?,32,32,1,2,False
32,131,131,131,,,This table's jinxed!,This table's jinxed!,33,33,1,2,False
33,132,132,132,,,I'm busy.,I'm busy.,34,34,1,2,False
34,133,133,133,,,Can't you see I'm playing a game here?,Can't you see I'm playing a game here?,35,35,1,2,False
35,134,134,134,,,Bet it or beat it.,Bet it or beat it.,36,36,1,2,False
36,135,135,135,,,Leave us alone or I'll call the guards.,Leave us alone or I'll call the guards.,37,37,1,2,False
37,136,136,136,,,"Watch it, I'm a close friend of Deputy Fry.","Watch it, I'm a close friend of Deputy Fry.",38,38,1,2,False
38,137,137,137,,,Do you mind?,Do you mind?,39,39,1,2,False
39,138,138,138,,,No peep shows!,No peep shows!,40,40,1,2,False
