occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,radio,radio,4,4,1,2,False
4,100,100,100,,,无线电,无线电,5,5,2,2,True
5,101,101,101,,,"【There is a squeal of static, then you hear a deep voice over the# radio.】 Command to patrol, command to patrol. What is your status?# Over.","【There is a squeal of static, then you hear a deep voice over the
# radio.】 Command to patrol, command to patrol. What is your status?
# Over.",6,8,1,2,False
6,101,101,101,,,【一声刺耳的噪声，你听到一个低沉的声音从无线电里传来。】指挥官呼叫巡逻兵，指挥部呼叫巡逻兵。报告你的情况？完毕。,【一声刺耳的噪声，你听到一个低沉的声音从无线电里传来。】指挥官呼叫巡逻兵，指挥部呼叫巡逻兵。报告你的情况？完毕。,9,9,2,2,True
7,102,102,102,,,Eek!,Eek!,11,11,1,2,False
8,102,102,102,,,呀！,呀！,12,12,2,2,True
9,103,103,103,,,"Uh, nothing is wrong here. We're fine, uh, how are you?","Uh, nothing is wrong here. We're fine, uh, how are you?",14,14,1,2,False
10,103,103,103,,,嗯，这里没有异常情况。我们很好，嗯，你怎么样？,嗯，这里没有异常情况。我们很好，嗯，你怎么样？,15,15,2,2,True
11,104,104,104,,,"Command, we are under attack by a large group of armed# humans. Request assistance. Over.","Command, we are under attack by a large group of armed
# humans. Request assistance. Over.",17,18,1,2,False
12,104,104,104,,,长官，我们遭到了一大群人类的攻击。请求支援。完毕。,长官，我们遭到了一大群人类的攻击。请求支援。完毕。,19,19,2,2,True
13,105,105,105,,,Help! Unknown attackers! Heavy damage! Coordinates follow: 10 . . . Argh!,Help! Unknown attackers! Heavy damage! Coordinates follow: 10 . . . Argh!,21,21,1,2,False
14,105,105,105,,,救命！有人袭击！我们受了重伤！横坐标：10……啊！,救命！有人袭击！我们受了重伤！横坐标：10……啊！,22,22,2,2,True
15,106,106,106,,,"Understood, patrol. We are sending assistance now. Over.","Understood, patrol. We are sending assistance now. Over.",24,24,1,2,False
16,106,106,106,,,明白，巡逻兵。我们马上赶去支援。完毕。,明白，巡逻兵。我们马上赶去支援。完毕。,25,25,2,2,True
17,107,107,107,,,Who is this? What is your purpose?,Who is this? What is your purpose?,27,27,1,2,False
18,107,107,107,,,你是谁？你想干吗？,你是谁？你想干吗？,28,28,2,2,True
19,108,108,108,,,My purpose is to shut the hell up.,My purpose is to shut the hell up.,30,30,1,2,False
20,108,108,108,,,我要关闭这里的地狱之门。,我要关闭这里的地狱之门。,31,31,2,2,True
21,109,109,109,,,"I'm, uh, oh, never mind. I'm just going to kill you all anyways.","I'm, uh, oh, never mind. I'm just going to kill you all anyways.",33,33,1,2,False
22,109,109,109,,,我是，嗯，噢，这不重要。我仅仅是个想来杀死你的人。,我是，嗯，噢，这不重要。我仅仅是个想来杀死你的人。,34,34,2,2,True
23,110,110,110,,,"This is, hmm, Fred. My purpose is patrol. I guess I'm a, uh,# little dazed after that fall.","This is, hmm, Fred. My purpose is patrol. I guess I'm a, uh,
# little dazed after that fall.",36,37,1,2,False
24,110,110,110,,,我是，呃，弗瑞德。我的任务是巡逻。我猜我是一个，嗯，有点头晕。,我是，呃，弗瑞德。我的任务是巡逻。我猜我是一个，嗯，有点头晕。,38,38,2,2,True
25,111,111,111,,,"Understood, patrol. What are your coordinates?","Understood, patrol. What are your coordinates?",40,40,1,2,False
26,111,111,111,,,明白，巡逻兵，报告你的坐标？,明白，巡逻兵，报告你的坐标？,41,41,2,2,True
27,112,112,112,,,224 by 104.,224 by 104.,43,43,1,2,False
28,112,112,112,,,横坐标224纵坐标104。,横坐标224纵坐标104。,44,44,2,2,True
29,113,113,113,,,"Four miles, south-southwest.","Four miles, south-southwest.",46,46,1,2,False
30,113,113,113,,,四英里，南部西南方向。,四英里，南部西南方向。,47,47,2,2,True
31,114,114,114,,,"Gamma sector, at Omicron-Delta-Beta.","Gamma sector, at Omicron-Delta-Beta.",49,49,1,2,False
32,114,114,114,,,伽马地区，在欧米嘎区至德尔塔区至贝塔区。,伽马地区，在欧米嘎区至德尔塔区至贝塔区。,50,50,2,2,True
33,115,115,115,,,"Understood, patrol. Command, out.","Understood, patrol. Command, out.",52,52,1,2,False
34,115,115,115,,,明白，巡逻兵。指挥部，通话结束。,明白，巡逻兵。指挥部，通话结束。,53,53,2,2,True
35,116,116,116,,,"Understood, patrol. We are sending reinforcements.","Understood, patrol. We are sending reinforcements.",55,55,1,2,False
36,116,116,116,,,明白，巡逻兵。我们马上支援。,明白，巡逻兵。我们马上支援。,56,56,2,2,True
37,117,117,117,,,"Ah, that explains it. We are sending help now.","Ah, that explains it. We are sending help now.",58,58,1,2,False
38,117,117,117,,,啊，说清楚点，我们马上去增援！,啊，说清楚点，我们马上去增援！,59,59,2,2,True
39,118,118,118,,,"Roger, patrol. We're sending help now! Hold on!","Roger, patrol. We're sending help now! Hold on!",61,61,1,2,False
40,118,118,118,,,收到，巡逻兵。我们马上支援你！撑住！,收到，巡逻兵。我们马上支援你！撑住！,62,62,2,2,True
41,119,119,119,,,There is only static on the radio.,There is only static on the radio.,64,64,1,2,False
42,119,119,119,,,这只有无线电的噪音。,这只有无线电的噪音。,65,65,2,2,True
