occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Sally.,You see Sally.,1,1,1,2,False
2,101,101,101,,,Why does everyone talk to me funny??,Why does everyone talk to me funny??,2,2,1,2,False
3,102,102,102,,,The mutant ignores you.,The mutant ignores you.,3,3,1,2,False
4,100,100,100,,,你看到赛莉。,你看到赛莉。,4,4,2,2,True
5,101,101,101,,,为什么大家都笑话我？？,为什么大家都笑话我？？,5,5,2,2,True
6,102,102,102,,,这个变种人不理你。,这个变种人不理你。,6,6,2,2,True
7,1099,1099,1099,,,?,?,8,8,1,1,True
8,1199,1199,1199,,,我可以告诉你：Chip-芯片、Necropolis-大墓地城、Set-赛特、Watershed-水处理房、Hall-大厅、Lou-老副、Ghouls-僵尸、Normals-正常人。,我可以告诉你：Chip-芯片、Necropolis-大墓地城、Set-赛特、Watershed-水处理房、Hall-大厅、Lou-老副、Ghouls-僵尸、Normals-正常人。,9,9,1,1,True
9,1000,1000,1000,,,Chip,Chip,11,11,1,1,True
10,1001,1001,1001,,,Necropolis,Necropolis,12,12,1,1,True
11,1002,1002,1002,,,Set,Set,13,13,1,1,True
12,1003,1003,1003,,,Watershed,Watershed,14,14,1,1,True
13,1004,1004,1004,,,Hall,Hall,15,15,1,1,True
14,1005,1005,1005,,,Lou,Lou,16,16,1,1,True
15,1006,1006,1006,,,Ghouls,Ghouls,17,17,1,1,True
16,1007,1007,1007,,,Normals,Normals,18,18,1,1,True
17,1100,1100,1100,,,I dunno.,I dunno.,19,19,1,2,False
18,1101,1101,1101,,,Yer standin in it.,Yer standin in it.,20,20,1,2,False
19,1102,1102,1102,,,He's a wus. We should just wipe out him and his ghouls.,He's a wus. We should just wipe out him and his ghouls.,21,21,1,2,False
20,1103,1103,1103,,,That's here.,That's here.,22,22,1,2,False
21,1104,1104,1104,,,I dunno.,I dunno.,23,23,1,2,False
22,1105,1105,1105,,,He Harry's boss.,He Harry's boss.,24,24,1,2,False
23,1106,1106,1106,,,Wimpy things.,Wimpy things.,25,25,1,2,False
24,1107,1107,1107,,,Wimpier than ghouls.,Wimpier than ghouls.,26,26,1,2,False
25,1100,1100,1100,,,我不知道。,我不知道。,27,27,2,2,True
26,1101,1101,1101,,,是，你就在这里。,是，你就在这里。,28,28,2,2,True
27,1102,1102,1102,,,他是大便，我们应该把他和他的僵尸们都杀死。,他是大便，我们应该把他和他的僵尸们都杀死。,29,29,2,2,True
28,1103,1103,1103,,,这里就是。,这里就是。,30,30,2,2,True
29,1104,1104,1104,,,我不知道。,我不知道。,31,31,2,2,True
30,1105,1105,1105,,,他是哈里的老板。,他是哈里的老板。,32,32,2,2,True
31,1106,1106,1106,,,孬种。,孬种。,33,33,2,2,True
32,1107,1107,1107,,,比僵尸还没用。,比僵尸还没用。,34,34,2,2,True
