occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,"You see Sammael, one of the Scavs from Adytum.","You see Sammael, one of the Scavs from Adytum.",4,4,1,2,False
4,100,100,100,,,你看见山谬，内城区中拾荒者的一员。,你看见山谬，内城区中拾荒者的一员。,5,5,2,2,True
5,101,101,101,,,You see a grungy man in dark blue clothes.,You see a grungy man in dark blue clothes.,7,7,1,2,False
6,101,101,101,,,你看见一个穿着暗蓝色衣服的邋遢男人。,你看见一个穿着暗蓝色衣服的邋遢男人。,8,8,2,2,True
7,102,102,102,,,"Hey, I don't believe we've met. You are?","Hey, I don't believe we've met. You are?",10,10,1,2,False
8,102,102,102,,,嘿，我不认为我见过你。你是？,嘿，我不认为我见过你。你是？,11,11,2,2,True
9,103,103,103,,,I'm ,I'm ,13,13,1,2,False
10,103,103,103,,,我是,我是,14,14,2,2,True
11,104,104,104,,,.,.,16,16,1,2,False
12,104,104,104,,,。,。,17,17,2,2,True
13,105,105,105,,,Who's asking?,Who's asking?,19,19,1,2,False
14,105,105,105,,,你是谁？,你是谁？,20,20,2,2,True
15,106,106,106,,,Eruh?,Eruh?,22,22,1,2,False
16,106,106,106,,,呃？,呃？,23,23,2,2,True
17,107,107,107,,,The pleasure's mine. I'm called Sammael.,The pleasure's mine. I'm called Sammael.,25,25,1,2,False
18,107,107,107,,,很高兴见到你。我叫做山谬。,很高兴见到你。我叫做山谬。,26,26,2,2,True
19,108,108,108,,,What do you do here?,What do you do here?,28,28,1,2,False
20,108,108,108,,,你在这里做什么？,你在这里做什么？,29,29,2,2,True
21,109,109,109,,,Nice talking to you.,Nice talking to you.,31,31,1,2,False
22,109,109,109,,,很高兴见到你。,很高兴见到你。,32,32,2,2,True
23,110,110,110,,,Nobody special. Never mind.,Nobody special. Never mind.,34,34,1,2,False
24,110,110,110,,,我不是什么重要的人。不要在意。,我不是什么重要的人。不要在意。,35,35,2,2,True
25,111,111,111,,,I'm a Scav -- a scavenger. My job is to search out all of# the Boneyard for useful items and information. Dangerous work.,"I'm a Scav -- a scavenger. My job is to search out all of
# the Boneyard for useful items and information. Dangerous work.",37,38,1,2,False
26,111,111,111,,,我是一个拾荒者——一个捡垃圾的。我的工作是找出晒骨场中那些还利用价值的东西。这是很危险的工作。,我是一个拾荒者——一个捡垃圾的。我的工作是找出晒骨场中那些还利用价值的东西。这是很危险的工作。,39,39,2,2,True
27,112,112,112,,,Why is it dangerous?,Why is it dangerous?,41,41,1,2,False
28,112,112,112,,,为什么危险？,为什么危险？,42,42,2,2,True
29,113,113,113,,,How do you avoid the Deathclaws?,How do you avoid the Deathclaws?,44,44,1,2,False
30,113,113,113,,,你怎么躲开死亡爪？,你怎么躲开死亡爪？,45,45,2,2,True
31,114,114,114,,,Have you scouted out any of the other areas?,Have you scouted out any of the other areas?,47,47,1,2,False
32,114,114,114,,,你侦查过其他的区域吗？,你侦查过其他的区域吗？,48,48,2,2,True
33,115,115,115,,,"Thanks, bye.","Thanks, bye.",50,50,1,2,False
34,115,115,115,,,谢谢你，再见。,谢谢你，再见。,51,51,2,2,True
35,116,116,116,,,See you around. If you see me. Heh.,See you around. If you see me. Heh.,53,53,1,2,False
36,116,116,116,,,再见，如果你能见到我的话。呵呵。,再见，如果你能见到我的话。呵呵。,54,54,2,2,True
37,117,117,117,,,"Well, you got the DeathClaws out there, and then you got the Regulators# back here in Adytum.  Both ain't the most forgiving types.","Well, you got the DeathClaws out there, and then you got the Regulators
# back here in Adytum.  Both ain't the most forgiving types.",56,57,1,2,False
38,117,117,117,,,外面有死亡爪，内城区这里还有管理者。两者都不是好对付的。,外面有死亡爪，内城区这里还有管理者。两者都不是好对付的。,58,58,2,2,True
39,118,118,118,,,How do you avoid the Deathclaws?,How do you avoid the Deathclaws?,60,60,1,2,False
40,118,118,118,,,你怎么躲开死亡爪？,你怎么躲开死亡爪？,61,61,2,2,True
41,119,119,119,,,Have you scouted out any of the other areas?,Have you scouted out any of the other areas?,63,63,1,2,False
42,119,119,119,,,你侦查过其他的区域吗？,你侦查过其他的区域吗？,64,64,2,2,True
43,120,120,120,,,"Thanks, bye.","Thanks, bye.",66,66,1,2,False
44,120,120,120,,,谢谢你，再见。,谢谢你，再见。,67,67,2,2,True
45,121,121,121,,,"We only work at night, and we're good at what# we do.  But I'll admit not everyone always comes back.  I sent a guy out# last week to look for some parts for Miles, and we haven't heard from him since.# The last transmission I got from him was that he'd found the parts,# and was on his way back.","We only work at night, and we're good at what
# we do.  But I'll admit not everyone always comes back.  I sent a guy out
# last week to look for some parts for Miles, and we haven't heard from him since.
# The last transmission I got from him was that he'd found the parts,
# and was on his way back.",69,73,1,2,False
46,121,121,121,,,我们只在夜晚工作，而且我们的专业技术很过硬。但我承认并不是每个人都总能安全地回来。上个星期我派出一个家伙去为麦尔斯找一些零件，从那之后我们就再没见到过他。我听到的最后一个消息是他找到了那些零件，正在回来的路上。,我们只在夜晚工作，而且我们的专业技术很过硬。但我承认并不是每个人都总能安全地回来。上个星期我派出一个家伙去为麦尔斯找一些零件，从那之后我们就再没见到过他。我听到的最后一个消息是他找到了那些零件，正在回来的路上。,74,74,2,2,True
