occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Scribe,Scribe,2,2,1,2,False
2,100,100,100,,,研究员,研究员,3,3,2,2,True
3,101,101,101,,,Vree's my idol.,Vree's my idol.,4,4,1,2,False
4,101,101,101,,,弗蕾是我的偶像。,弗蕾是我的偶像。,5,5,2,2,True
5,102,102,102,,,Vree is so pretty.,Vree is so pretty.,6,6,1,2,False
6,102,102,102,,,弗蕾如此漂亮。,弗蕾如此漂亮。,7,7,2,2,True
7,103,103,103,,,Sophia sure is nice.,Sophia sure is nice.,8,8,1,2,False
8,103,103,103,,,索菲娅无疑是漂亮的。,索菲娅无疑是漂亮的。,9,9,2,2,True
9,104,104,104,,,Derek is the bee's knees.,Derek is the bee's knees.,10,10,1,2,False
10,104,104,104,,,德里克是微不足道的家伙。,德里克是微不足道的家伙。,11,11,2,2,True
11,105,105,105,,,"Will the universe continue to expand, or will it eventually# collapse back in on itself?","Will the universe continue to expand, or will it eventually
# collapse back in on itself?",12,13,1,2,False
12,105,105,105,,,宇宙会持续膨胀，或者它最终会由于自身而塌缩崩溃？,宇宙会持续膨胀，或者它最终会由于自身而塌缩崩溃？,14,14,2,2,True
13,106,106,106,,,"I love those old books and magazines, but they are so hard# to come by.","I love those old books and magazines, but they are so hard
# to come by.",15,16,1,2,False
14,106,106,106,,,我爱那些老书和杂志，但是它们是如此难入手。,我爱那些老书和杂志，但是它们是如此难入手。,17,17,2,2,True
15,107,107,107,,,Knowledge is power.,Knowledge is power.,18,18,1,2,False
16,107,107,107,,,知识就是力量。,知识就是力量。,19,19,2,2,True
17,108,108,108,,,The pen is mightier than the sword.,The pen is mightier than the sword.,20,20,1,2,False
18,108,108,108,,,笔杆子比刀剑更有力。,笔杆子比刀剑更有力。,21,21,2,2,True
19,109,109,109,,,Technology must be preserved.,Technology must be preserved.,22,22,1,2,False
20,109,109,109,,,技术必须被保存下去。,技术必须被保存下去。,23,23,2,2,True
21,110,110,110,,,Science is so much fun.,Science is so much fun.,24,24,1,2,False
22,110,110,110,,,科学有如此多乐趣。,科学有如此多乐趣。,25,25,2,2,True
23,111,111,111,,,I've seen an alien space ship before.,I've seen an alien space ship before.,26,26,1,2,False
24,111,111,111,,,我以前曾经看到过一架外星人飞船。,我以前曾经看到过一架外星人飞船。,27,27,2,2,True
25,112,112,112,,,"Did you know that the sun is actually a big nuclear reaction?# Similar to what ended the old world, except it's fission,# no fusion.","Did you know that the sun is actually a big nuclear reaction?
# Similar to what ended the old world, except it's fission,
# no fusion.",28,30,1,2,False
26,112,112,112,,,你可知道太阳事实上是一个巨大的核反应堆？与结束了旧世界的东西相近，除了它是裂变不是聚变。,你可知道太阳事实上是一个巨大的核反应堆？与结束了旧世界的东西相近，除了它是裂变不是聚变。,31,31,2,2,True
27,113,113,113,,,Did you know that a black hole is actually an opening to another# universe? I have it all worked out on paper. Too bad# there won't be any more space travel until long after I'm dead.,"Did you know that a black hole is actually an opening to another
# universe? I have it all worked out on paper. Too bad
# there won't be any more space travel until long after I'm dead.",32,34,1,2,False
28,113,113,113,,,你可知道黑洞事实上是一个通向另一个宇宙的开口？我在纸上已经将它全演算出来了。糟糕的是估计直到我死后很长时间都不会有任何的空间旅行了。,你可知道黑洞事实上是一个通向另一个宇宙的开口？我在纸上已经将它全演算出来了。糟糕的是估计直到我死后很长时间都不会有任何的空间旅行了。,35,35,2,2,True
29,114,114,114,,,Did you know that the hydrogen atom is 99.9843425% empty space?,Did you know that the hydrogen atom is 99.9843425% empty space?,36,36,1,2,False
30,114,114,114,,,你可知道氢原子中99．9843425%是空的？,你可知道氢原子中99．9843425%是空的？,37,37,2,2,True
31,115,115,115,,,"Time travel will one day be possible and we might be able to# prevent the disaster that ruined our world in the past. But# wouldn't that . . . stop us from going back if it was fixed . . .# oh, my head hurts.","Time travel will one day be possible and we might be able to
# prevent the disaster that ruined our world in the past. But
# wouldn't that . . . stop us from going back if it was fixed . . .
# oh, my head hurts.",38,41,1,2,False
32,115,115,115,,,时间旅行有朝一日会变为可能，那时我们能防止过去毁灭了我们世界的灾难。但是那会不会……如果它是固定的，时间会阻止我们回到过去……哦，我的头痛了。,时间旅行有朝一日会变为可能，那时我们能防止过去毁灭了我们世界的灾难。但是那会不会……如果它是固定的，时间会阻止我们回到过去……哦，我的头痛了。,42,42,2,2,True
