occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see Troy.,You see Troy.,4,4,1,2,False
4,100,100,100,,,你看见特洛伊。,你看见特洛伊。,5,5,2,2,True
5,101,101,101,,,"Congratulations, human. You've been selected to join an elite band of worshippers. Follow me.","Congratulations, human. You've been selected to join an elite band of worshippers. Follow me.",6,6,1,2,False
6,101,101,101,,,恭喜你，人类。你已经被选加入精英礼拜者的队伍。跟我走。,恭喜你，人类。你已经被选加入精英礼拜者的队伍。跟我走。,7,7,2,2,True
7,102,102,102,,,This wouldn't happen to have anything to do with the rumors of a supermutant army running amok?,This wouldn't happen to have anything to do with the rumors of a supermutant army running amok?,8,8,1,2,False
8,102,102,102,,,这件事情难道和超级变种人大军抓狂的谣言没有关联？,这件事情难道和超级变种人大军抓狂的谣言没有关联？,9,9,2,2,True
9,103,103,103,,,Where are we going?,Where are we going?,10,10,1,2,False
10,103,103,103,,,我们去哪？,我们去哪？,11,11,2,2,True
11,104,104,104,,,What are you waiting for? Let's go!,What are you waiting for? Let's go!,12,12,1,2,False
12,104,104,104,,,你还在等什么？我们快走吧！,你还在等什么？我们快走吧！,13,13,2,2,True
13,105,105,105,,,I don't think so.,I don't think so.,14,14,1,2,False
14,105,105,105,,,我不这样认为。,我不这样认为。,15,15,2,2,True
15,106,106,106,,,"What's that terrible, disgusting corpse-like stench? Oh, it's you!","What's that terrible, disgusting corpse-like stench? Oh, it's you!",16,16,1,2,False
16,106,106,106,,,这他妈是什么恶心的东西啊，一股尸体的恶臭。哦！你这个家伙！,这他妈是什么恶心的东西啊，一股尸体的恶臭。哦！你这个家伙！,17,17,2,2,True
17,107,107,107,,,Ruh?,Ruh?,18,18,1,2,False
18,107,107,107,,,啊?,啊?,19,19,2,2,True
19,108,108,108,,,"Follow me and you will find out. Or, to put it another way, follow me and live, fool!","Follow me and you will find out. Or, to put it another way, follow me and live, fool!",20,20,1,2,False
20,108,108,108,,,跟我走就知道了。,跟我走就知道了。,21,21,2,2,True
21,109,109,109,,,"So if I don't go, I die? That doesn't sound very religious.","So if I don't go, I die? That doesn't sound very religious.",22,22,1,2,False
22,109,109,109,,,如果我不去，我就得死？这听起来可不像宗教用语。,如果我不去，我就得死？这听起来可不像宗教用语。,23,23,2,2,True
23,110,110,110,,,You've convinced me. Let's start hoofing!,You've convinced me. Let's start hoofing!,24,24,1,2,False
24,110,110,110,,,我信你了！我们走吧。,我信你了！我们走吧。,25,25,2,2,True
25,111,111,111,,,I don't think so.,I don't think so.,26,26,1,2,False
26,111,111,111,,,我不这样认为。,我不这样认为。,27,27,2,2,True
27,112,112,112,,,"Don't start what you can't finish, freak!","Don't start what you can't finish, freak!",28,28,1,2,False
28,112,112,112,,,别逞能！怪胎！,别逞能！怪胎！,29,29,2,2,True
29,113,113,113,,,Excellent!,Excellent!,30,30,1,2,False
30,113,113,113,,,棒极了！,棒极了！,31,31,2,2,True
31,114,114,114,,,You should not play games with Lady Jain or the Children.,You should not play games with Lady Jain or the Children.,32,32,1,2,False
32,114,114,114,,,你不该跟简恩女士或她的卫兵玩花样。,你不该跟简恩女士或她的卫兵玩花样。,33,33,2,2,True
33,115,115,115,,,"You should not insult what you cannot kill. Now, shall you come with me and live, or do you wish to stay here and die?","You should not insult what you cannot kill. Now, shall you come with me and live, or do you wish to stay here and die?",34,34,1,2,False
34,115,115,115,,,你不应该侮辱你打不过的人。现在，你要是不想死在这就跟我走。,你不应该侮辱你打不过的人。现在，你要是不想死在这就跟我走。,35,35,2,2,True
35,116,116,116,,,I'm coming!,I'm coming!,36,36,1,2,False
36,116,116,116,,,我来啦！,我来啦！,37,37,2,2,True
37,117,117,117,,,Forget it.,Forget it.,38,38,1,2,False
38,117,117,117,,,别在意。,别在意。,39,39,2,2,True
39,118,118,118,,,"Jeez, some mutants just can't take a joke!","Jeez, some mutants just can't take a joke!",40,40,1,2,False
40,118,118,118,,,天哪！你们这些变种人真他妈没一点幽默感！,天哪！你们这些变种人真他妈没一点幽默感！,41,41,2,2,True
41,119,119,119,,,"If I keep smelling you, I'll drop dead anyway!","If I keep smelling you, I'll drop dead anyway!",42,42,1,2,False
42,119,119,119,,,如果我再闻你身上的味我就要死啦！,如果我再闻你身上的味我就要死啦！,43,43,2,2,True
43,120,120,120,,,You stupid beast! Will you come or will you stay?,You stupid beast! Will you come or will you stay?,44,44,1,2,False
44,120,120,120,,,你这个笨鳖！你到底走不走？,你这个笨鳖！你到底走不走？,45,45,2,2,True
45,121,121,121,,,Uh . . . Come!,Uh . . . Come!,46,46,1,2,False
46,121,121,121,,,呃……我来了！,呃……我来了！,47,47,2,2,True
47,122,122,122,,,Uh . . . Me stay!,Uh . . . Me stay!,48,48,1,2,False
48,122,122,122,,,呃……我留下！,呃……我留下！,49,49,2,2,True
49,123,123,123,,,"Do not plague me with indecision! What is your answer, human?","Do not plague me with indecision! What is your answer, human?",50,50,1,2,False
50,123,123,123,,,别让你的磨蹭使我不快！告诉我你的答案，人类！,别让你的磨蹭使我不快！告诉我你的答案，人类！,51,51,2,2,True
51,124,124,124,,,I'm coming with you. Let's go.,I'm coming with you. Let's go.,52,52,1,2,False
