occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a man in dusty leather armor with a trenchcoat and gas mask.,You see a man in dusty leather armor with a trenchcoat and gas mask.,1,1,1,2,False
2,101,101,101,,,You see Tycho.,You see Tycho.,2,2,1,2,False
3,102,102,102,,,Another new face. Travelers here are a dime a dozen. But you have the# look of someone different. Care to join me for a drink?,"Another new face. Travelers here are a dime a dozen. But you have the
# look of someone different. Care to join me for a drink?",3,4,1,2,False
4,103,103,103,,,"Sorry, I'm rather pressed for time.","Sorry, I'm rather pressed for time.",5,5,1,2,False
5,104,104,104,,,Sure.,Sure.,6,6,1,2,False
6,105,105,105,,,Duh-wah?,Duh-wah?,7,7,1,2,False
7,106,106,106,,,Delightful. I hope you don't mind your drink well-watered - they treat# beer here like it's a potted plant.,"Delightful. I hope you don't mind your drink well-watered - they treat
# beer here like it's a potted plant.",8,9,1,2,False
8,107,107,107,,,"So, what's your story?","So, what's your story?",10,10,1,2,False
9,108,108,108,,,"Yeah, a drink of water. Never mind.","Yeah, a drink of water. Never mind.",11,11,1,2,False
10,109,109,109,,,"I could ask the same of you. In the interest of amity, I suppose I'll# tell first. I'm called Tycho. Came from out east, what used to be called Nevada.","I could ask the same of you. In the interest of amity, I suppose I'll
# tell first. I'm called Tycho. Came from out east, what used to be called Nevada.",12,13,1,2,False
11,110,110,110,,,That's a pretty long trip.,That's a pretty long trip.,14,14,1,2,False
12,111,111,111,,,How did you survive all the dangers?,How did you survive all the dangers?,15,15,1,2,False
13,112,112,112,,,"Yeah, it was. Decided to take it easy for a while. This place shows some# promise, just as soon as someone cleans up some of the scum.","Yeah, it was. Decided to take it easy for a while. This place shows some
# promise, just as soon as someone cleans up some of the scum.",16,17,1,2,False
14,113,113,113,,,Why don't you?,Why don't you?,18,18,1,2,False
15,114,114,114,,,"Yeah, I noticed. What do you know about those jerks?","Yeah, I noticed. What do you know about those jerks?",19,19,1,2,False
16,115,115,115,,,"Had some pretty good training, and some good weapons, too. My grandfather# was a Ranger way back when, and he taught my father everything he knew. Dad# passed it on to me. So I know enough not to drink glowing water, so to speak.","Had some pretty good training, and some good weapons, too. My grandfather
# was a Ranger way back when, and he taught my father everything he knew. Dad
# passed it on to me. So I know enough not to drink glowing water, so to speak.",20,22,1,2,False
17,116,116,116,,,Interesting. Thanks for the drink.,Interesting. Thanks for the drink.,23,23,1,2,False
18,117,117,117,,,Really? Survival's tough these days. You must be pretty knowledgeable.,Really? Survival's tough these days. You must be pretty knowledgeable.,24,24,1,2,False
19,118,118,118,,,"Not my place. I'd rather not cross Killian, after all. He'll clean up# this town when he gets around to it. A good man, mark my words. But watch out# for that fellow Gizmo. Reminds me of another fat freak my father told me about# back in Las Vegas.","Not my place. I'd rather not cross Killian, after all. He'll clean up
# this town when he gets around to it. A good man, mark my words. But watch out
# for that fellow Gizmo. Reminds me of another fat freak my father told me about
# back in Las Vegas.",25,28,1,2,False
20,119,119,119,,,"Thanks for the tip, and the drink.","Thanks for the tip, and the drink.",29,29,1,2,False
21,120,120,120,,,"There's two grades of scum here. One of 'em's the Skulz, a gang that hangs# out in back of Marcelles' crash house. They're just grade-B twerps. But the other# ones answer to a fat freak whose name you can probably guess. Runs the casino.# Those guys are organized and dangerous.","There's two grades of scum here. One of 'em's the Skulz, a gang that hangs
# out in back of Marcelles' crash house. They're just grade-B twerps. But the other
# ones answer to a fat freak whose name you can probably guess. Runs the casino.
# Those guys are organized and dangerous.",30,33,1,2,False
22,121,121,121,,,I see. Thanks for the info.,I see. Thanks for the info.,34,34,1,2,False
23,122,122,122,,,"Yeah, well, my family taught me everything there is to know about survival.# Don't drink water that's totally clear and free of insects and moss, for instance.# Only poisonous or radioactive water would be that clean in the wilderness.# Lots of other little things to look out for, too.","Yeah, well, my family taught me everything there is to know about survival.
# Don't drink water that's totally clear and free of insects and moss, for instance.
# Only poisonous or radioactive water would be that clean in the wilderness.
# Lots of other little things to look out for, too.",35,38,1,2,False
24,123,123,123,,,Like what?,Like what?,39,39,1,2,False
25,124,124,124,,,"Well, if you've got some time, I could go over some pointers.","Well, if you've got some time, I could go over some pointers.",40,40,1,2,False
26,125,125,125,,,"Sure, that would be great.","Sure, that would be great.",41,41,1,2,False
27,126,126,126,,,"Sorry, I'm kind of pressed for time.","Sorry, I'm kind of pressed for time.",42,42,1,2,False
28,127,127,127,,,"Whoa, not so fast. We never finished introductions, remember? What's your# name, stranger?","Whoa, not so fast. We never finished introductions, remember? What's your
# name, stranger?",43,44,1,2,False
