occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see the Vats Control Computer.,You see the Vats Control Computer.,2,2,1,2,False
2,100,100,100,,,你看到病毒槽控制计算机。,你看到病毒槽控制计算机。,3,3,2,2,True
3,101,101,101,,,Access denied.,Access denied.,5,5,1,2,False
4,101,101,101,,,拒绝访问。,拒绝访问。,6,6,2,2,True
5,102,102,102,,,Access granted. Command?,Access granted. Command?,8,8,1,2,False
6,102,102,102,,,允许访问。命令？,允许访问。命令？,9,9,2,2,True
7,103,103,103,,,Display security codes.,Display security codes.,11,11,1,2,False
8,103,103,103,,,显示安全码。,显示安全码。,12,12,2,2,True
9,104,104,104,,,Search logs.,Search logs.,14,14,1,2,False
10,104,104,104,,,搜索日志。,搜索日志。,15,15,2,2,True
11,105,105,105,,,Uplink to medical computers.,Uplink to medical computers.,17,17,1,2,False
12,105,105,105,,,连入医学计算机。,连入医学计算机。,18,18,2,2,True
13,106,106,106,,,Set base to alert status.,Set base to alert status.,20,20,1,2,False
14,106,106,106,,,设置基地为警戒状态。,设置基地为警戒状态。,21,21,2,2,True
15,107,107,107,,,17652-1028-1285362,17652-1028-1285362,23,23,1,1,True
16,108,108,108,,,67209-5574-7805564,67209-5574-7805564,24,24,1,1,True
17,109,109,109,,,55658-8678-1251533,55658-8678-1251533,25,25,1,1,True
18,110,110,110,,,31914-1041-1251514,31914-1041-1251514,26,26,1,1,True
19,111,111,111,,,53478-2565-7763929,53478-2565-7763929,27,27,1,1,True
20,112,112,112,,,44309-3674-1254730,44309-3674-1254730,28,28,1,1,True
21,113,113,113,,,[Attempt to hack the firewall to get more data] Display security code#encryption table.,"[Attempt to hack the firewall to get more data] Display security code
#encryption table.",30,31,1,2,False
22,113,113,113,,,【尝试入侵防火墙来得到更多数据】显示安全密码表。,【尝试入侵防火墙来得到更多数据】显示安全密码表。,32,32,2,2,True
23,114,114,114,,,Executing 17652-1028-1285362,Executing 17652-1028-1285362,34,34,1,2,False
24,114,114,114,,,执行 17652-1028-1285362,执行 17652-1028-1285362,35,35,2,2,True
25,115,115,115,,,Executing 67209-5574-7805564,Executing 67209-5574-7805564,37,37,1,2,False
26,115,115,115,,,执行 67209-5574-7805564,执行 67209-5574-7805564,38,38,2,2,True
27,116,116,116,,,Executing 55658-8678-1251533,Executing 55658-8678-1251533,40,40,1,2,False
28,116,116,116,,,执行 55658-8678-1251533,执行 55658-8678-1251533,41,41,2,2,True
29,117,117,117,,,Executing 31914-1041-1251514,Executing 31914-1041-1251514,43,43,1,2,False
30,117,117,117,,,执行 31914-1041-1251514,执行 31914-1041-1251514,44,44,2,2,True
31,118,118,118,,,Executing 53478-2565-7763929,Executing 53478-2565-7763929,46,46,1,2,False
32,118,118,118,,,执行 53478-2565-7763929,执行 53478-2565-7763929,47,47,2,2,True
33,119,119,119,,,Executing 44309-3674-1254730,Executing 44309-3674-1254730,49,49,1,2,False
34,119,119,119,,,执行 44309-3674-1254730,执行 44309-3674-1254730,50,50,2,2,True
35,120,120,120,,,[You have successfully hacked into the encryption table.] Command?,[You have successfully hacked into the encryption table.] Command?,52,52,1,2,False
36,120,120,120,,,【你成功破解了加密表】命令？,【你成功破解了加密表】命令？,53,53,2,2,True
37,121,121,121,,,17652-1028-1285362 initiate 1 minute silent self destruct sequence,17652-1028-1285362 initiate 1 minute silent self destruct sequence,55,55,1,2,False
38,121,121,121,,,17652-1028-1285362初始化1分钟无声自毁序列,17652-1028-1285362初始化1分钟无声自毁序列,56,56,2,2,True
39,122,122,122,,,67209-5574-7805564 initiate 30 second self destruct sequence and#set base to alert,"67209-5574-7805564 initiate 30 second self destruct sequence and
#set base to alert",58,59,1,2,False
40,122,122,122,,,67209-5574-7805564初始化30秒自毁序列并设置基地为警报状态,67209-5574-7805564初始化30秒自毁序列并设置基地为警报状态,60,60,2,2,True
41,123,123,123,,,55658-8678-1251533 set base to alert status,55658-8678-1251533 set base to alert status,62,62,1,2,False
42,123,123,123,,,55658-8678-1251533设置基地为警报状态,55658-8678-1251533设置基地为警报状态,63,63,2,2,True
43,124,124,124,,,31914-1041-1251514 initiate 3 minute silent self-destruct sequence,31914-1041-1251514 initiate 3 minute silent self-destruct sequence,65,65,1,2,False
44,124,124,124,,,31914-1041-1251514初始化3分钟无声自毁序列,31914-1041-1251514初始化3分钟无声自毁序列,66,66,2,2,True
45,125,125,125,,,53478-2565-7763929 initiate 3 minute self-destruct sequence and set base#to alert,"53478-2565-7763929 initiate 3 minute self-destruct sequence and set base
#to alert",68,69,1,2,False
46,125,125,125,,,53478-2565-7763929初始化3分钟自毁序列并设置基地为警报状态,53478-2565-7763929初始化3分钟自毁序列并设置基地为警报状态,70,70,2,2,True
