occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,You see a woman.,You see a woman.,4,4,1,2,False
4,101,101,101,,,"I do not wish to die, sir. I am not a soldier.","I do not wish to die, sir. I am not a soldier.",5,5,1,2,False
5,102,102,102,,,"I do not wish to die, ma'am. I am not a soldier.","I do not wish to die, ma'am. I am not a soldier.",6,6,1,2,False
6,103,103,103,,,"Start talking, and I'll let you live.","Start talking, and I'll let you live.",7,7,1,2,False
7,104,104,104,,,Neither am I. I only kill when I have to.,Neither am I. I only kill when I have to.,8,8,1,2,False
8,105,105,105,,,Aren't you going to praise the Master or something!,Aren't you going to praise the Master or something!,9,9,1,2,False
9,106,106,106,,,I'll trade your life for a good stiff drink. Where do they keep the booze?,I'll trade your life for a good stiff drink. Where do they keep the booze?,10,10,1,2,False
10,107,107,107,,,Good night bitch!,Good night bitch!,11,11,1,2,False
11,108,108,108,,,Me Big Soldier! Hah! Hah! Hah!,Me Big Soldier! Hah! Hah! Hah!,12,12,1,2,False
12,109,109,109,,,I'm glad you came to talk to me. I heard what you said to Laura. You mustn't do this.,I'm glad you came to talk to me. I heard what you said to Laura. You mustn't do this.,13,13,1,2,False
13,110,110,110,,,What do you think I'm going to do?,What do you think I'm going to do?,14,14,1,2,False
14,111,111,111,,,Laura? Who's Laura?,Laura? Who's Laura?,15,15,1,2,False
15,112,112,112,,,"Oh, oh.","Oh, oh.",16,16,1,2,False
16,113,113,113,,,"Oh, that was a big mistake! And it's gonna cost you.","Oh, that was a big mistake! And it's gonna cost you.",17,17,1,2,False
17,114,114,114,,,Wha tak? Raar!,Wha tak? Raar!,18,18,1,2,False
18,115,115,115,,,I think we've said all that needs to be said. Good bye.,I think we've said all that needs to be said. Good bye.,19,19,1,2,False
19,116,116,116,,,"I do not speak to people at the point of a weapon. Lower it, and we may talk.","I do not speak to people at the point of a weapon. Lower it, and we may talk.",20,20,1,2,False
20,117,117,117,,,Hello again. I hope you've found this place interesting.,Hello again. I hope you've found this place interesting.,21,21,1,2,False
21,118,118,118,,,I've seen higher forms of entertainment.,I've seen higher forms of entertainment.,22,22,1,2,False
22,119,119,119,,,"Of course, sister. Praise the Master! Praise the Holy Flame!","Of course, sister. Praise the Master! Praise the Holy Flame!",23,23,1,2,False
23,120,120,120,,,"You know, every time I talk to someone, people keep repeating everything they say over and over again.","You know, every time I talk to someone, people keep repeating everything they say over and over again.",24,24,1,2,False
24,121,121,121,,,Entertainment? Where's the booze!,Entertainment? Where's the booze!,25,25,1,2,False
25,122,122,122,,,This place is boring! Where's the blood? Where's the death?,This place is boring! Where's the blood? Where's the death?,26,26,1,2,False
26,123,123,123,,,Greetings initiate. How may I be of service to you?,Greetings initiate. How may I be of service to you?,27,27,1,2,False
27,124,124,124,,,I was a little nervous about our long range plans.,I was a little nervous about our long range plans.,28,28,1,2,False
28,125,125,125,,,What's going on around here?,What's going on around here?,29,29,1,2,False
29,126,126,126,,,Where's the Master?,Where's the Master?,30,30,1,2,False
30,127,127,127,,,Who's in charge here?,Who's in charge here?,31,31,1,2,False
31,128,128,128,,,Gimme a break sister. Nobody serves another person unless a gun's against their head!,Gimme a break sister. Nobody serves another person unless a gun's against their head!,32,32,1,2,False
32,129,129,129,,,"Hello, sir. Your reputation precedes you! Is there anything I can help you with?","Hello, sir. Your reputation precedes you! Is there anything I can help you with?",33,33,1,2,False
33,130,130,130,,,"Hello, miss. Your reputation precedes you! Is there anything I can help you with?","Hello, miss. Your reputation precedes you! Is there anything I can help you with?",34,34,1,2,False
34,131,131,131,,,I was wondering what the Cathedral is all about.,I was wondering what the Cathedral is all about.,35,35,1,2,False
35,132,132,132,,,How does one become an initiate?,How does one become an initiate?,36,36,1,2,False
36,133,133,133,,,Where's the Master?,Where's the Master?,37,37,1,2,False
37,134,134,134,,,Who's in charge here?,Who's in charge here?,38,38,1,2,False
38,135,135,135,,,Gimme a break sister. Nobody serves another person unless a gun's against their head!,Gimme a break sister. Nobody serves another person unless a gun's against their head!,39,39,1,2,False
39,136,136,136,,,"Hello, sir. Your reputation precedes you! Is there anything I can help you with?","Hello, sir. Your reputation precedes you! Is there anything I can help you with?",40,40,1,2,False
40,137,137,137,,,"Hello, miss. Your reputation precedes you! Is there anything I can help you with?","Hello, miss. Your reputation precedes you! Is there anything I can help you with?",41,41,1,2,False
41,138,138,138,,,I was wondering what the Cathedral is all about.,I was wondering what the Cathedral is all about.,42,42,1,2,False
42,139,139,139,,,How does one become an initiate?,How does one become an initiate?,43,43,1,2,False
43,140,140,140,,,Where's the Master?,Where's the Master?,44,44,1,2,False
44,141,141,141,,,Who's in charge here?,Who's in charge here?,45,45,1,2,False
45,142,142,142,,,Gimme a break sister. Nobody serves another person unless a gun's against their head!,Gimme a break sister. Nobody serves another person unless a gun's against their head!,46,46,1,2,False
46,143,143,143,,,"I know who you are. And you will forgive my rudeness, but I don't speak to psychotic killers. Good-bye.","I know who you are. And you will forgive my rudeness, but I don't speak to psychotic killers. Good-bye.",47,47,1,2,False
47,144,144,144,,,My reputation has been greatly exaggerated. Does the Cathedral judge people on rumor and innuendo?,My reputation has been greatly exaggerated. Does the Cathedral judge people on rumor and innuendo?,48,48,1,2,False
