occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,1099,1099,1099,,,?,?,1,1,1,1,True
2,1199,1199,1199,,,此人不能告诉你什么。,此人不能告诉你什么。,2,2,1,1,True
3,100,100,100,,,He looks like an experienced guardsman.,He looks like an experienced guardsman.,4,4,1,2,False
4,100,100,100,,,他看起来是一个很有经验的守卫。,他看起来是一个很有经验的守卫。,5,5,2,2,True
5,101,101,101,,,You'd better watch yourself here.,You'd better watch yourself here.,7,7,1,2,False
6,101,101,101,,,你在城里老实点。,你在城里老实点。,8,8,2,2,True
7,102,102,102,,,This isn't a good town to get in trouble in.,This isn't a good town to get in trouble in.,10,10,1,2,False
8,102,102,102,,,这个镇子可不是你们闹事的好地方。,这个镇子可不是你们闹事的好地方。,11,11,2,2,True
9,103,103,103,,,"Behave, and we won't have to get nasty.","Behave, and we won't have to get nasty.",13,13,1,2,False
10,103,103,103,,,守法，我们就不会对你怎么样。,守法，我们就不会对你怎么样。,14,14,2,2,True
11,104,104,104,,,You're ok.,You're ok.,16,16,1,2,False
12,104,104,104,,,你可以进去了。,你可以进去了。,17,17,2,2,True
13,105,105,105,,,Keep up the good work.,Keep up the good work.,19,19,1,2,False
14,105,105,105,,,好好干。,好好干。,20,20,2,2,True
15,106,106,106,,,"Nice day, isn't it?","Nice day, isn't it?",22,22,1,2,False
16,106,106,106,,,天气不错，哈？,天气不错，哈？,23,23,2,2,True
17,107,107,107,,,"This is Junktown. Nice place to live, as long as you stay on# our good side.","This is Junktown. Nice place to live, as long as you stay on
# our good side.",25,26,1,2,False
18,107,107,107,,,这里是迦克镇，很好的地方，只要你不乱来。,这里是迦克镇，很好的地方，只要你不乱来。,27,27,2,2,True
19,108,108,108,,,Watch out for Gizmo and his cronies.,Watch out for Gizmo and his cronies.,29,29,1,2,False
20,108,108,108,,,小心吉斯莫和他的手下。,小心吉斯莫和他的手下。,30,30,2,2,True
21,109,109,109,,,I like my boss.,I like my boss.,32,32,1,2,False
22,109,109,109,,,我喜欢我的老板。,我喜欢我的老板。,33,33,2,2,True
23,110,110,110,,,"You'd better put that away. Junktown is a friendly place, friend, and we# want to keep it that way.","You'd better put that away. Junktown is a friendly place, friend, and we
# want to keep it that way.",35,36,1,2,False
24,110,110,110,,,你把那个收起来。迦克镇是一个和平的地方，我们希望保持这个气氛。,你把那个收起来。迦克镇是一个和平的地方，我们希望保持这个气氛。,37,37,2,2,True
25,111,111,111,,,Put what away?,Put what away?,39,39,1,2,False
26,111,111,111,,,把什么收起来？,把什么收起来？,40,40,2,2,True
27,112,112,112,,,"Don't tell me what to do, loser boy.","Don't tell me what to do, loser boy.",42,42,1,2,False
28,112,112,112,,,别想让我听你的话，小样。,别想让我听你的话，小样。,43,43,2,2,True
29,113,113,113,,,"Sounds fair. By the way, what is the local law regarding weapons?","Sounds fair. By the way, what is the local law regarding weapons?",45,45,1,2,False
30,113,113,113,,,听起来不错。对了，本地对武器的法规是怎么样的？,听起来不错。对了，本地对武器的法规是怎么样的？,46,46,2,2,True
31,114,114,114,,,"Uh,oh.","Uh,oh.",48,48,1,2,False
32,114,114,114,,,噢，噢。,噢，噢。,49,49,2,2,True
33,115,115,115,,,"Your weapon, idiot. Killian won't take your arms away, but you'd# better damn well keep them in your holster.","Your weapon, idiot. Killian won't take your arms away, but you'd
# better damn well keep them in your holster.",51,52,1,2,False
34,115,115,115,,,你的武器，白痴。基利安不会没收你的武器，但你必须把它们收好。,你的武器，白痴。基利安不会没收你的武器，但你必须把它们收好。,53,53,2,2,True
35,116,116,116,,,"Oh, sorry.","Oh, sorry.",55,55,1,2,False
36,116,116,116,,,哦，对不起。,哦，对不起。,56,56,2,2,True
37,117,117,117,,,No way! I'm not putting down my shooters for nobody!,No way! I'm not putting down my shooters for nobody!,58,58,1,2,False
38,117,117,117,,,没门！我不会让任何人缴我的枪！,没门！我不会让任何人缴我的枪！,59,59,2,2,True
39,118,118,118,,,"You'd better behave, since it's the law, and I enforce the law.# Put your weapon away, don't draw it unless in self-defense, and# you won't have a problem with us guards. Disobey the law, and we# will return you to the lawless wasteland - dead or alive.","You'd better behave, since it's the law, and I enforce the law.
# Put your weapon away, don't draw it unless in self-defense, and
# you won't have a problem with us guards. Disobey the law, and we
# will return you to the lawless wasteland - dead or alive.",61,64,1,2,False
40,118,118,118,,,你最好遵照执行，这是法律，我是执法者。把你的武器收起来，除非自卫，不能再拿出来，我们守卫就不会再来麻烦你。如果你想违反法律，那我们就送你回废土去，不管你的死活。,你最好遵照执行，这是法律，我是执法者。把你的武器收起来，除非自卫，不能再拿出来，我们守卫就不会再来麻烦你。如果你想违反法律，那我们就送你回废土去，不管你的死活。,65,65,2,2,True
41,119,119,119,,,"Sure, since you put it that way.","Sure, since you put it that way.",67,67,1,2,False
42,119,119,119,,,好吧，既然你这么说的话。,好吧，既然你这么说的话。,68,68,2,2,True
43,120,120,120,,,Bite your laws!,Bite your laws!,70,70,1,2,False
44,120,120,120,,,滚蛋吧，破法律！,滚蛋吧，破法律！,71,71,2,2,True
45,121,121,121,,,"Well, uh, fine with me. But you'd better be careful.","Well, uh, fine with me. But you'd better be careful.",73,73,1,2,False
46,121,121,121,,,好，我接受，但你要小心点。,好，我接受，但你要小心点。,74,74,2,2,True
