occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,10,10,10,,,<None>,<None>,6,6,1,2,False
2,10,10,10,,,【没有】,【没有】,7,7,2,2,True
3,100,100,100,,,Glass,Glass,12,12,1,2,False
4,101,101,101,,,Metal,Metal,13,13,1,2,False
5,102,102,102,,,Plastic,Plastic,14,14,1,2,False
6,103,103,103,,,Wood,Wood,15,15,1,2,False
7,104,104,104,,,Dirt,Dirt,16,16,1,2,False
8,105,105,105,,,Stone,Stone,17,17,1,2,False
9,106,106,106,,,Cement,Cement,18,18,1,2,False
10,107,107,107,,,Leather,Leather,19,19,1,2,False
11,100,100,100,,,玻璃,玻璃,20,20,2,2,True
12,101,101,101,,,金属,金属,21,21,2,2,True
13,102,102,102,,,塑料,塑料,22,22,2,2,True
14,103,103,103,,,木制,木制,23,23,2,2,True
15,104,104,104,,,泥土,泥土,24,24,2,2,True
16,105,105,105,,,石头,石头,25,25,2,2,True
17,106,106,106,,,水泥,水泥,26,26,2,2,True
18,107,107,107,,,皮革,皮革,27,27,2,2,True
19,150,150,150,,,Armor,Armor,31,31,1,2,False
20,151,151,151,,,Container,Container,32,32,1,2,False
21,152,152,152,,,Drug,Drug,33,33,1,2,False
22,153,153,153,,,Weapon,Weapon,34,34,1,2,False
23,154,154,154,,,Ammo,Ammo,35,35,1,2,False
24,155,155,155,,,Misc Item,Misc Item,36,36,1,2,False
25,156,156,156,,,Key,Key,37,37,1,2,False
26,150,150,150,,,装甲,装甲,38,38,2,2,True
27,151,151,151,,,容器,容器,39,39,2,2,True
28,152,152,152,,,药物,药物,40,40,2,2,True
29,153,153,153,,,武器,武器,41,41,2,2,True
30,154,154,154,,,弹药,弹药,42,42,2,2,True
31,155,155,155,,,杂物,杂物,43,43,2,2,True
32,156,156,156,,,钥匙,钥匙,44,44,2,2,True
33,200,200,200,,,Portal,Portal,48,48,1,2,False
34,201,201,201,,,Stairs,Stairs,49,49,1,2,False
35,202,202,202,,,Elevator,Elevator,50,50,1,2,False
36,203,203,203,,,Ladder Bottom,Ladder Bottom,51,51,1,2,False
37,204,204,204,,,Ladder Top,Ladder Top,52,52,1,2,False
38,205,205,205,,,Generic Scenery,Generic Scenery,53,53,1,2,False
39,200,200,200,,,门框,门框,54,54,2,2,True
