occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,Small Guns,Small Guns,7,7,1,2,False
2,101,101,101,,,Big Guns,Big Guns,8,8,1,2,False
3,102,102,102,,,Energy Weapons,Energy Weapons,9,9,1,2,False
4,103,103,103,,,Unarmed,Unarmed,10,10,1,2,False
5,104,104,104,,,Melee Weapons,Melee Weapons,11,11,1,2,False
6,105,105,105,,,Throwing,Throwing,12,12,1,2,False
7,106,106,106,,,First aid,First aid,13,13,1,2,False
8,107,107,107,,,Doctor,Doctor,14,14,1,2,False
9,108,108,108,,,Sneak,Sneak,15,15,1,2,False
10,109,109,109,,,Lockpick,Lockpick,16,16,1,2,False
11,110,110,110,,,Steal,Steal,17,17,1,2,False
12,111,111,111,,,Traps,Traps,18,18,1,2,False
13,112,112,112,,,Science,Science,19,19,1,2,False
14,113,113,113,,,Repair,Repair,20,20,1,2,False
15,114,114,114,,,Speech,Speech,21,21,1,2,False
16,115,115,115,,,Barter,Barter,22,22,1,2,False
17,116,116,116,,,Gambling,Gambling,23,23,1,2,False
18,117,117,117,,,Outdoorsman,Outdoorsman,24,24,1,2,False
19,100,100,100,,,小型枪械,小型枪械,25,25,2,2,True
20,101,101,101,,,大型枪械,大型枪械,26,26,2,2,True
21,102,102,102,,,能量型武器,能量型武器,27,27,2,2,True
22,103,103,103,,,肉搏,肉搏,28,28,2,2,True
23,104,104,104,,,近战武器,近战武器,29,29,2,2,True
24,105,105,105,,,抛掷力,抛掷力,30,30,2,2,True
25,106,106,106,,,急救,急救,31,31,2,2,True
26,107,107,107,,,医疗,医疗,32,32,2,2,True
27,108,108,108,,,潜行,潜行,33,33,2,2,True
28,109,109,109,,,开锁,开锁,34,34,2,2,True
29,110,110,110,,,偷窃,偷窃,35,35,2,2,True
30,111,111,111,,,陷阱,陷阱,36,36,2,2,True
31,112,112,112,,,科技,科技,37,37,2,2,True
32,113,113,113,,,修理,修理,38,38,2,2,True
33,114,114,114,,,口才,口才,39,39,2,2,True
34,115,115,115,,,杀价,杀价,40,40,2,2,True
35,116,116,116,,,赌博,赌博,41,41,2,2,True
36,117,117,117,,,野外生存,野外生存,42,42,2,2,True
37,200,200,200,,,"The use, care and general knowledge of small firearms.  Pistols, SMGs and rifles.","The use, care and general knowledge of small firearms.  Pistols, SMGs and rifles.",46,46,1,2,False
38,201,201,201,,,"The operation and maintenance of really big guns.  Miniguns, Rocket Launchers, Flamethrowers and such.","The operation and maintenance of really big guns.  Miniguns, Rocket Launchers, Flamethrowers and such.",47,47,1,2,False
39,202,202,202,,,The care and feeding of energy-based weapons.  How to arm and operate weapons that use laser or plasma technology.,The care and feeding of energy-based weapons.  How to arm and operate weapons that use laser or plasma technology.,48,48,1,2,False
40,203,203,203,,,"A combination of martial arts, boxing and other hand-to-hand martial arts.  Combat with your hands and feet.","A combination of martial arts, boxing and other hand-to-hand martial arts.  Combat with your hands and feet.",49,49,1,2,False
41,204,204,204,,,"Using non-ranged weapons in hand-to-hand, or melee, combat. Knives, sledgehammers, spears, clubs and so on.","Using non-ranged weapons in hand-to-hand, or melee, combat. Knives, sledgehammers, spears, clubs and so on.",50,50,1,2,False
42,205,205,205,,,"The skill of muscle-propelled ranged weapons.  Throwing knives, spears and grenades.","The skill of muscle-propelled ranged weapons.  Throwing knives, spears and grenades.",51,51,1,2,False
43,206,206,206,,,"General healing skill.  Used to heal small cuts, abrasions and other minor ills.  In game terms, the use of first aid can heal more hit points over time than just rest.","General healing skill.  Used to heal small cuts, abrasions and other minor ills.  In game terms, the use of first aid can heal more hit points over time than just rest.",52,52,1,2,False
44,207,207,207,,,"The healing of major wounds and crippled limbs.  Without this skill, it will take a much longer period of time to restore crippled limbs to use.","The healing of major wounds and crippled limbs.  Without this skill, it will take a much longer period of time to restore crippled limbs to use.",53,53,1,2,False
