occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,200,200,200,,,Cavern Entrance,Cavern Entrance,17,17,1,2,False
2,201,201,201,,,Entrance,Entrance,18,18,1,2,False
3,202,202,202,,,Living Quarters,Living Quarters,19,19,1,2,False
4,203,203,203,,,Command Center,Command Center,20,20,1,2,False
5,210,210,210,,,Desert Entrance,Desert Entrance,23,23,1,2,False
6,211,211,211,,,Caverns/Entrance,Caverns/Entrance,24,24,1,2,False
7,212,212,212,,,Living Quarters,Living Quarters,25,25,1,2,False
8,213,213,213,,,Command Center,Command Center,26,26,1,2,False
9,220,220,220,,,Entrance,Entrance,29,29,1,2,False
10,221,221,221,,,Garden,Garden,30,30,1,2,False
11,222,222,222,,,Brahmin Pen,Brahmin Pen,31,31,1,2,False
12,230,230,230,,,Entrance,Entrance,34,34,1,2,False
13,231,231,231,,,Crash House,Crash House,35,35,1,2,False
14,232,232,232,,,Casino,Casino,36,36,1,2,False
15,240,240,240,,,Base,Base,39,39,1,2,False
16,250,250,250,,,Hotel,Hotel,42,42,1,2,False
17,251,251,251,,,Hall,Hall,43,43,1,2,False
18,252,252,252,,,Watershed,Watershed,44,44,1,2,False
19,260,260,260,,,Entrance,Entrance,47,47,1,2,False
20,261,261,261,,,Downtown,Downtown,48,48,1,2,False
21,262,262,262,,,Heights,Heights,49,49,1,2,False
22,263,263,263,,,Old Town,Old Town,50,50,1,2,False
23,264,264,264,,,Merchants,Merchants,51,51,1,2,False
24,265,265,265,,,Cave,Cave,52,52,1,2,False
25,270,270,270,,,Entrance,Entrance,55,55,1,2,False
26,271,271,271,,,Level 1,Level 1,56,56,1,2,False
27,272,272,272,,,Level 2,Level 2,57,57,1,2,False
28,273,273,273,,,Level 3,Level 3,58,58,1,2,False
29,274,274,274,,,Level 4,Level 4,59,59,1,2,False
30,280,280,280,,,Entrance,Entrance,62,62,1,2,False
31,281,281,281,,,Stronghold Level 1,Stronghold Level 1,63,63,1,2,False
32,282,282,282,,,Stronghold Level 2,Stronghold Level 2,64,64,1,2,False
33,283,283,283,,,Vats Level 1,Vats Level 1,65,65,1,2,False
34,284,284,284,,,Vats Level 2,Vats Level 2,66,66,1,2,False
35,290,290,290,,,Crater,Crater,69,69,1,2,False
36,291,291,291,,,Level 1,Level 1,70,70,1,2,False
37,300,300,300,,,Adytum,Adytum,73,73,1,2,False
38,301,301,301,,,Downtown,Downtown,74,74,1,2,False
39,302,302,302,,,Library,Library,75,75,1,2,False
40,303,303,303,,,Fortress,Fortress,76,76,1,2,False
41,304,304,304,,,Warehouse,Warehouse,77,77,1,2,False
42,310,310,310,,,Entrance,Entrance,80,80,1,2,False
43,311,311,311,,,Interior,Interior,81,81,1,2,False
44,500,500,500,,,"You gained 10,000 experience points!","You gained 10,000 experience points!",84,84,1,2,False
45,501,501,501,,,Ruins,Ruins,85,85,1,2,False
46,1000,1000,1000,,,Desert,Desert,90,90,1,2,False
47,1001,1001,1001,,,Mountains,Mountains,91,91,1,2,False
48,1002,1002,1002,,,City,City,92,92,1,2,False
49,1003,1003,1003,,,Coast,Coast,93,93,1,2,False
50,1004,1004,1004,,,Unknown,Unknown,94,94,1,2,False
51,200,200,200,,,山洞通道,山洞通道,98,98,2,2,True
52,201,201,201,,,掩体入口,掩体入口,99,99,2,2,True
53,202,202,202,,,生活区,生活区,100,100,2,2,True
54,203,203,203,,,指挥中心,指挥中心,101,101,2,2,True
55,210,210,210,,,地面入口,地面入口,104,104,2,2,True
56,211,211,211,,,掩体入口,掩体入口,105,105,2,2,True
57,212,212,212,,,生活区,生活区,106,106,2,2,True
58,213,213,213,,,指挥中心,指挥中心,107,107,2,2,True
59,220,220,220,,,居民区,居民区,110,110,2,2,True
60,221,221,221,,,种植园,种植园,111,111,2,2,True
61,222,222,222,,,养殖场,养殖场,112,112,2,2,True
62,230,230,230,,,入口,入口,115,115,2,2,True
63,231,231,231,,,破屋区,破屋区,116,116,2,2,True
64,232,232,232,,,吉斯莫赌场,吉斯莫赌场,117,117,2,2,True
65,240,240,240,,,营地,营地,120,120,2,2,True
66,250,250,250,,,旅馆区,旅馆区,123,123,2,2,True
67,251,251,251,,,监狱区,监狱区,124,124,2,2,True
68,252,252,252,,,供水区,供水区,125,125,2,2,True
69,260,260,260,,,城门,城门,128,128,2,2,True
70,261,261,261,,,中心区,中心区,129,129,2,2,True
71,262,262,262,,,高地区,高地区,130,130,2,2,True
72,263,263,263,,,旧城区,旧城区,131,131,2,2,True
73,264,264,264,,,商业区,商业区,132,132,2,2,True
74,265,265,265,,,贼窝,贼窝,133,133,2,2,True
75,270,270,270,,,入口,入口,136,136,2,2,True
76,271,271,271,,,第一层,第一层,137,137,2,2,True
77,272,272,272,,,第二层,第二层,138,138,2,2,True
78,273,273,273,,,第三层,第三层,139,139,2,2,True
79,274,274,274,,,第四层,第四层,140,140,2,2,True
80,280,280,280,,,入口,入口,143,143,2,2,True
81,281,281,281,,,第一区,第一区,144,144,2,2,True
82,282,282,282,,,第二区,第二区,145,145,2,2,True
83,283,283,283,,,第三区,第三区,146,146,2,2,True
84,284,284,284,,,第四区,第四区,147,147,2,2,True
85,290,290,290,,,坑口,坑口,150,150,2,2,True
86,291,291,291,,,第一层,第一层,151,151,2,2,True
87,300,300,300,,,内城区,内城区,154,154,2,2,True
88,301,301,301,,,商业区,商业区,155,155,2,2,True
89,302,302,302,,,图书馆,图书馆,156,156,2,2,True
