occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see Ton.,You see Ton.,1,1,1,1,True
2,101,101,101,,,You see a huge member of the Children.,You see a huge member of the Children.,2,2,1,1,True
3,102,102,102,,,man,man,3,3,1,1,True
4,103,103,103,,,woman,woman,4,4,1,1,True
5,104,104,104,,,[Done],[Done],5,5,1,1,True
6,105,105,105,,,[More],[More],6,6,1,1,True
7,106,106,106,,,"Sorry man, but you passed the point of no return with us. Time to slam off!","Sorry man, but you passed the point of no return with us. Time to slam off!",7,7,1,1,True
8,107,107,107,,,"Sorry woman, but you passed the point of no return with us. Time to slam off!","Sorry woman, but you passed the point of no return with us. Time to slam off!",8,8,1,1,True
9,108,108,108,,,Why would I want to talk with someone who goes around killing kids? Get out of my face!,"Why would I want to talk with someone who goes around killing kids?
 Get out of my face!",9,10,1,1,True
10,109,109,109,,,I hear you're pretty tough. But tough don't impress Ton. You got something to say or you wanna get it on? Let's do it!,"I hear you're pretty tough. But tough don't impress Ton.
 You got something to say or you wanna get it on? Let's do it!",11,12,1,1,True
11,110,110,110,,,"Peace, brother! I'm just checking the place out.","Peace, brother! I'm just checking the place out.",13,13,1,1,True
12,111,111,111,,,"I'm not interested in impressing you. You got something intelligent to say, say it!","I'm not interested in impressing you. You got something intelligent to
 say, say it!",14,15,1,1,True
13,112,112,112,,,"Get it on? Mister, I don't go for scrawny little boys.","Get it on? Mister, I don't go for scrawny little boys.",16,16,1,1,True
14,113,113,113,,,What do you want?,What do you want?,17,17,1,1,True
15,114,114,114,,,You talk too much.,You talk too much.,18,18,1,1,True
16,115,115,115,,,"You wanna die, and I wanna kill someone. Works for me.","You wanna die, and I wanna kill someone. Works for me.",19,19,1,1,True
17,116,116,116,,,Waa!,Waa!,20,20,1,1,True
18,117,117,117,,,"Man, I already talked to you! Take your shit somewhere else!","Man, I already talked to you! Take your shit somewhere else!",21,21,1,1,True
19,118,118,118,,,boy,boy,22,22,1,1,True
20,119,119,119,,,girl,girl,23,23,1,1,True
21,120,120,120,,,"Hey, you think your weapon's gonna earn you some 'spect? It's gonna earn you a grave, man. Put it away.","Hey, you think your weapon's gonna earn you some 'spect? It's gonna
 earn you a grave, man. Put it away.",24,25,1,1,True
22,121,121,121,,,"Hey, you think your weapon's gonna earn you some 'spect? It's gonna earn you a grave, girl. Put it away.","Hey, you think your weapon's gonna earn you some 'spect? It's gonna
 earn you a grave, girl. Put it away.",26,27,1,1,True
23,122,122,122,,,"What do you want, you stupid zombie? Get outta my face before I break it.","What do you want, you stupid zombie? Get outta my face before I break it.",28,28,1,1,True
24,123,123,123,,,I was looking for someone smart enough to tell me what's really going on around this joint!,"I was looking for someone smart enough to tell me what's really going
 on around this joint!",29,30,1,1,True
25,124,124,124,,,What will the priests say if they hear you talking like this?,What will the priests say if they hear you talking like this?,31,31,1,1,True
26,125,125,125,,,"Any time, pal. I've been waiting for a good scrap!","Any time, pal. I've been waiting for a good scrap!",32,32,1,1,True
27,126,126,126,,,"Hey, what's the problem? A few drinks and we'll be buds!","Hey, what's the problem? A few drinks and we'll be buds!",33,33,1,1,True
28,127,127,127,,,Did you know that even a child can apply enough pressure to the right spot in your kneecap to cripple you for life? Just thought you'd want to know.,"Did you know that even a child can apply enough pressure to the right
 spot in your kneecap to cripple you for life? Just thought you'd want to know.",34,35,1,1,True
29,128,128,128,,,"You wanna talk to Ton? Fine. But if I hear the word ""praise,"" I'll kill you.","You wanna talk to Ton? Fine. But if I hear the word ""praise,""
 I'll kill you.",36,37,1,1,True
30,129,129,129,,,You're not a big fan of worship services?,You're not a big fan of worship services?,38,38,1,1,True
31,130,130,130,,,"What's your problem, pal?","What's your problem, pal?",39,39,1,1,True
32,131,131,131,,,I want to speak with the man in charge.,I want to speak with the man in charge.,40,40,1,1,True
33,132,132,132,,,Sure thing. The only thing I feel like praising is a bottle of Rad Scorpion.,Sure thing. The only thing I feel like praising is a bottle of Rad Scorpion.,41,41,1,1,True
34,133,133,133,,,Fine. The first one of us who says that word dies. Bargain?,Fine. The first one of us who says that word dies. Bargain?,42,42,1,1,True
35,134,134,134,,,"Hello, miss. I am Ton, 2,000 pounds of the Master's toughest fighter. I have also been evolved by the FEV into something that you need to check out. Let's get it on, baby.","Hello, miss. I am Ton, 2,000 pounds of the Master's toughest fighter.
 I have also been evolved by the FEV into something that you need to check
 out. Let's get it on, baby.",43,45,1,1,True
36,135,135,135,,,No way in hell.,No way in hell.,46,46,1,1,True
37,136,136,136,,,That's a little too fast. Let's get to know each other first.,That's a little too fast. Let's get to know each other first.,47,47,1,1,True
