occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,"You see Bob, proprietor of Bob's Iguana Bits.","You see Bob, proprietor of Bob's Iguana Bits.",1,1,1,1,True
2,101,101,101,,,"Ok, Ok, I've got your money.","Ok, Ok, I've got your money.",2,2,1,1,True
3,102,102,102,,,I've got more expenses.  I need to increase the payment.,I've got more expenses.  I need to increase the payment.,3,3,1,1,True
4,103,103,103,,,"Screw this.  I want ALL of your money now, or you're a dead Bob.","Screw this.  I want ALL of your money now, or you're a dead Bob.",4,4,1,1,True
5,104,104,104,,,I can't take the heat.  I'm calling off the payments.,I can't take the heat.  I'm calling off the payments.,5,5,1,1,True
6,105,105,105,,,I want information on Decker.,I want information on Decker.,6,6,1,1,True
7,106,106,106,,,I want information on Doc Morbid.,I want information on Doc Morbid.,7,7,1,1,True
8,107,107,107,,,Gimme' an iguana on a stick.,Gimme' an iguana on a stick.,8,8,1,1,True
9,108,108,108,,,I'm sorry.  I ain't payin' no more.  Do what you want with me.,I'm sorry.  I ain't payin' no more.  Do what you want with me.,9,9,1,1,True
10,109,109,109,,,"Bob, I thought we were pals!  In fact, I was thinking about giving you a promotion in my organization.  Instead, you betray me.  This is very disappointing...","Bob, I thought we were pals!  In fact, I was thinking about giving you a promotion in my
 organization.  Instead, you betray me.  This is very disappointing...",10,11,1,1,True
11,110,110,110,,,"Bob, why should I take no for an answer?  Especially from a scumbag like you?","Bob, why should I take no for an answer?  Especially from a scumbag like you?",12,12,1,1,True
12,111,111,111,,,Glad to see you're standing up for yourself.,Glad to see you're standing up for yourself.,13,13,1,1,True
13,112,112,112,,,"Your reputation is history, Bob.  Hi-sto-ree!","Your reputation is history, Bob.  Hi-sto-ree!",14,14,1,1,True
14,113,113,113,,,"Fine, I'll decide what to do with you later.","Fine, I'll decide what to do with you later.",15,15,1,1,True
15,114,114,114,,,"Well, it was nice knowing you Bob.  Say 'hi' to Satan for me.","Well, it was nice knowing you Bob.  Say 'hi' to Satan for me.",16,16,1,1,True
16,115,115,115,,,What are you doing back so soon?  It ain't time for the payment.,What are you doing back so soon?  It ain't time for the payment.,17,17,1,1,True
17,116,116,116,,,You've got a lot of nerve showing your face around here.  Get lost!,You've got a lot of nerve showing your face around here.  Get lost!,18,18,1,1,True
18,117,117,117,,,"Hey, I don't want any trouble!","Hey, I don't want any trouble!",19,19,1,1,True
19,118,118,118,,,"Hi!  Welcome to Bob's Iguana Bits, the family eating place.  Can I take your order?","Hi!  Welcome to Bob's Iguana Bits, the family eating place.  Can I take your order?",20,20,1,1,True
20,119,119,119,,,Forget it.,Forget it.,21,21,1,1,True
21,120,120,120,,,"You are?  Well, Ok...","You are?  Well, Ok...",22,22,1,1,True
22,121,121,121,,,He's a mean son of a bitch.  You don't want to mess with him.  Anything else?,He's a mean son of a bitch.  You don't want to mess with him.  Anything else?,23,23,1,1,True
23,122,122,122,,,Fine.  What do you want me to pay?,Fine.  What do you want me to pay?,24,24,1,1,True
24,123,123,123,,,I want ,I want ,25,25,1,1,True
25,124,124,124,,, bucks every five days., bucks every five days.,26,26,1,1,True
26,125,125,125,,,Doc Morbid?  All I know is that he's up around Junktown and he's the cheapest source of food I could find.  That's all!,"Doc Morbid?  All I know is that he's up around Junktown and he's the cheapest source of
 food I could find.  That's all!",27,28,1,1,True
27,126,126,126,,,Let's see what I've got in stock.,Let's see what I've got in stock.,29,29,1,1,True
28,127,127,127,,,I've got a whole iguana for twenty caps.,I've got a whole iguana for twenty caps.,30,30,1,1,True
29,128,128,128,,,I've got prime cut choice for eight caps.,I've got prime cut choice for eight caps.,31,31,1,1,True
30,129,129,129,,,I'll take one of the real ones.,I'll take one of the real ones.,32,32,1,1,True
31,130,130,130,,,Nothing for me right now.  I'm on a diet.,Nothing for me right now.  I'm on a diet.,33,33,1,1,True
32,131,131,131,,,I'll take one of the prime cuts.,I'll take one of the prime cuts.,34,34,1,1,True
33,132,132,132,,,I could go for some prime cut right now.  I'll even pay for it.,I could go for some prime cut right now.  I'll even pay for it.,35,35,1,1,True
34,133,133,133,,,Uhh... Me no hungry now.,Uhh... Me no hungry now.,36,36,1,1,True
35,134,134,134,,,Fine!  Take your money and get out!,Fine!  Take your money and get out!,37,37,1,1,True
36,135,135,135,,,You can stick it!  I ain't ever payin' you!  Get lost!,You can stick it!  I ain't ever payin' you!  Get lost!,38,38,1,1,True
37,136,136,136,,,"Yeah, sure.  Why don't you find someone else to screw over.","Yeah, sure.  Why don't you find someone else to screw over.",39,39,1,1,True
38,137,137,137,,,You can't throw crap without getting some of it on your fingers.  Get out of here!,You can't throw crap without getting some of it on your fingers.  Get out of here!,40,40,1,1,True
39,138,138,138,,,Sure you will.  Get lost!,Sure you will.  Get lost!,41,41,1,1,True
40,139,139,139,,,Sorry.  We're all out of iguana.,Sorry.  We're all out of iguana.,42,42,1,1,True
41,140,140,140,,,We only have whole iguana on a stick.  Twenty bucks each.,We only have whole iguana on a stick.  Twenty bucks each.,43,43,1,1,True
42,141,141,141,,,"We only have prime select choice.  It tastes great, though.  Eight bucks each.","We only have prime select choice.  It tastes great, though.  Eight bucks each.",44,44,1,1,True
43,142,142,142,,,"Sure.  We got whole iguana on a stick for twenty bucks, and our prime select pieces for eight bucks.","Sure.  We got whole iguana on a stick for twenty bucks, and our prime select pieces for eight bucks.",45,45,1,1,True
44,143,143,143,,,I'll take a whole iguana.,I'll take a whole iguana.,46,46,1,1,True
45,144,144,144,,,I'll take your prime select.,I'll take your prime select.,47,47,1,1,True
46,145,145,145,,,"You know, I hear your prime select tastes like chicken.  Do you like eating cowardly guys?","You know, I hear your prime select tastes like chicken.  Do you like eating cowardly guys?",48,48,1,1,True
47,146,146,146,,,No sissy portions!  Me want all iguana!  Ugh!,No sissy portions!  Me want all iguana!  Ugh!,49,49,1,1,True
48,147,147,147,,,"Hmm, smell good!  Me want prime!","Hmm, smell good!  Me want prime!",50,50,1,1,True
49,148,148,148,,,Never seen any of them around here.  Water Merchants don't need 'em.,Never seen any of them around here.  Water Merchants don't need 'em.,51,51,1,1,True
50,149,149,149,,,Water Merchants?,Water Merchants?,52,52,1,1,True
51,150,150,150,,,Mr. Decker is a distinguished businessman in a less than distinguished business.  Anything else?,Mr. Decker is a distinguished businessman in a less than distinguished business.  Anything else?,53,53,1,1,True
52,151,151,151,,,,,54,54,1,1,True
53,152,152,152,,,What kind of business?,What kind of business?,55,55,1,1,True
54,153,153,153,,,What are you talking about?,What are you talking about?,56,56,1,1,True
55,154,154,154,,,"Your secret ingredients.  How fresh does the corpse have to be before it develops a bitter aftertaste?  Do you use mutants, humans, or a mix?","Your secret ingredients.  How fresh does the corpse have to be before it develops a bitter
 aftertaste?  Do you use mutants, humans, or a mix?",57,58,1,1,True
56,155,155,155,,,I found an invoice in Doc Morbid's lair.  An invoice for dead bodies...,I found an invoice in Doc Morbid's lair.  An invoice for dead bodies...,59,59,1,1,True
57,156,156,156,,,"If you've got a memory loss, I can talk to the sheriff.","If you've got a memory loss, I can talk to the sheriff.",60,60,1,1,True
58,157,157,157,,,Prime Choice Select is made of people!!!!  It's made of people!!!,Prime Choice Select is made of people!!!!  It's made of people!!!,61,61,1,1,True
59,158,158,158,,,Nothing.  Sorry to bring it up.  Now is there anything else I can do for you?,Nothing.  Sorry to bring it up.  Now is there anything else I can do for you?,62,62,1,1,True
60,159,159,159,,,"Well, he's dead now, and my cash flow has increased because of it.","Well, he's dead now, and my cash flow has increased because of it.",63,63,1,1,True
61,160,160,160,,,Someone killed Decker.  We're in mourning. [snicker],Someone killed Decker.  We're in mourning. [snicker],64,64,1,1,True
62,161,161,161,,,"Someone shot Sheriff Greene.  Don't know about the deputy, though.","Someone shot Sheriff Greene.  Don't know about the deputy, though.",65,65,1,1,True
63,162,162,162,,,"Daren Hightower was murdered.  And all that money couldn't save him.  Ironic, ain't it?","Daren Hightower was murdered.  And all that money couldn't save him.  Ironic, ain't it?",66,66,1,1,True
64,163,163,163,,,"Someone stole a necklace from the Hightowers.  Man, did they ever make a big mistake.  They're dead for sure!","Someone stole a necklace from the Hightowers.  Man, did they ever make a big mistake.  They're dead for sure!",67,67,1,1,True
65,164,164,164,,,Someone killed Jain over at the Cathedral.  I hear she was a real pain in the butt!,Someone killed Jain over at the Cathedral.  I hear she was a real pain in the butt!,68,68,1,1,True
66,165,165,165,,,"Well, the only new thing is that the Children of the Cathedral has taken over the Hospital.  It's pretty boring around here lately.","Well, the only new thing is that the Children of the Cathedral has taken over the Hospital.  It's
 pretty boring around here lately.",69,70,1,1,True
67,166,166,166,,,Anything else?,Anything else?,71,71,1,1,True
68,167,167,167,,,"Man, I'm gonna be out of business in a week.  Anything else, oh high and mighty?","Man, I'm gonna be out of business in a week.  Anything else, oh high and mighty?",72,72,1,1,True
69,168,168,168,,,I don't like your attitude.,I don't like your attitude.,73,73,1,1,True
70,169,169,169,,,"Sorry, you can't afford it.","Sorry, you can't afford it.",74,74,1,1,True
71,170,170,170,,,One whole iguana coming up!  Anything else?,One whole iguana coming up!  Anything else?,75,75,1,1,True
72,171,171,171,,,You know what they're made from and you still want one?  You make Decker look like a charity worker!  Anything else?,You know what they're made from and you still want one?  You make Decker look like a charity worker!  Anything else?,76,76,1,1,True
73,172,172,172,,,I don't like your attitude.,I don't like your attitude.,77,77,1,1,True
74,173,173,173,,,"Sorry, you can't afford it.","Sorry, you can't afford it.",78,78,1,1,True
75,174,174,174,,,"One iguana prime select choice, coming up!  Anything else?","One iguana prime select choice, coming up!  Anything else?",79,79,1,1,True
76,175,175,175,,,Smart choice.  You could stand to lose a few pounds.,Smart choice.  You could stand to lose a few pounds.,80,80,1,1,True
77,176,176,176,,,"Wh...what!  Oh, I see, you're joking...","Wh...what!  Oh, I see, you're joking...",81,81,1,1,True
78,177,177,177,,,Of course I am...,Of course I am...,82,82,1,1,True
79,178,178,178,,,"No, I'm not.  I'm going to see that you pay for your crime.","No, I'm not.  I'm going to see that you pay for your crime.",83,83,1,1,True
80,179,179,179,,,"No, I'm not.  And I want a piece of the action.","No, I'm not.  And I want a piece of the action.",84,84,1,1,True
81,180,180,180,,,"You must be new in town if you're asking me about the Water Merchants.  Water is life, and you don't get much more powerful than life and death.","You must be new in town if you're asking me about the Water Merchants.  Water is life, and you
 don't get much more powerful than life and death.",85,86,1,1,True
82,181,181,181,,,Who's in charge of the Water Merchants?,Who's in charge of the Water Merchants?,87,87,1,1,True
83,182,182,182,,,"If there's anything that involves misery and suffering in the Hub, Decker either controls it or wants to control it.  Anything else?","If there's anything that involves misery and suffering in the Hub, Decker either controls it or
 wants to control it.  Anything else?",88,89,1,1,True
84,183,183,183,,,"I don't know what you're talking about, and I don't appreciate your slander!  I suggest you don't show your face in here again.","I don't know what you're talking about, and I don't appreciate your slander!  I suggest you don't
 show your face in here again.",90,91,1,1,True
85,184,184,184,,,"Don't do that!  Fine, I've been using some questionable portions.  But it's not like I'm committing murder.  Doc Morbid's stuff is already dead, isn't it?","Don't do that!  Fine, I've been using some questionable portions.  But it's not like I'm
 committing murder.  Doc Morbid's stuff is already dead, isn't it?",92,93,1,1,True
86,185,185,185,,,"I'm sure it is, Bob.  Have a nice day...","I'm sure it is, Bob.  Have a nice day...",94,94,1,1,True
87,186,186,186,,,"Cannibalism is a crime against humanity, Bob.  I'm going to see that you pay for it.","Cannibalism is a crime against humanity, Bob.  I'm going to see that you pay for it.",95,95,1,1,True
88,187,187,187,,,Maybe it is.  Maybe it isn't.  I don't care.  I want a piece of the action.,Maybe it is.  Maybe it isn't.  I don't care.  I want a piece of the action.,96,96,1,1,True
89,188,188,188,,,Not so loud!  I don't need you saying that all over the Hub...,Not so loud!  I don't need you saying that all over the Hub...,97,97,1,1,True
90,189,189,189,,,I guess I was rude.  Have a nice day...,I guess I was rude.  Have a nice day...,98,98,1,1,True
91,190,190,190,,,"You know, the police station is just across the street.  I really should take a little walk.","You know, the police station is just across the street.  I really should take a little walk.",99,99,1,1,True
92,191,191,191,,,"I can get even louder.  But I can also shut up.  Noise is cheap, silence is expensive.","I can get even louder.  But I can also shut up.  Noise is cheap, silence is expensive.",100,100,1,1,True
93,192,192,192,,,How the hell am I gonna pay you if you eat all my stock?  Fine!  Have another iguana!  I hope you choke on it!,"How the hell am I gonna pay you if you eat all my stock?  Fine!  Have another iguana!  I hope
 you choke on it!",101,102,1,1,True
94,193,193,193,,,I don't like your attitude.,I don't like your attitude.,103,103,1,1,True
95,194,194,194,,,"Tough.  You want money, I'll give it to you.  You want food, I'll give it to you.  You want to die, I'll arrange it.  But ""like"" ain't part of the equation.","Tough.  You want money, I'll give it to you.  You want food, I'll give it to you.  You want to
 die, I'll arrange it.  But ""like"" ain't part of the equation.",104,105,1,1,True
96,195,195,195,,,"Nothing I can think of.  Now if you'll excuse me, I have a business to run.","Nothing I can think of.  Now if you'll excuse me, I have a business to run.",106,106,1,1,True
97,196,196,196,,,"Sorry, we're all out of iguana.","Sorry, we're all out of iguana.",107,107,1,1,True
98,197,197,197,,,We only have whole iguana on a stick.  Twenty bucks.,We only have whole iguana on a stick.  Twenty bucks.,108,108,1,1,True
99,198,198,198,,,We only have prime select choice.  Eight bucks.,We only have prime select choice.  Eight bucks.,109,109,1,1,True
100,199,199,199,,,"Again?  Man you must be hungry.  We got whole iguana on a stick for twenty bucks, and our prime select pieces for eight bucks.","Again?  Man you must be hungry.  We got whole iguana on a stick for twenty bucks, and our
 prime select pieces for eight bucks.",110,111,1,1,True
101,200,200,200,,,I'll take a whole iguana.,I'll take a whole iguana.,112,112,1,1,True
102,201,201,201,,,I'll take your prime select.,I'll take your prime select.,113,113,1,1,True
103,202,202,202,,,"You know, I hear your prime select tastes like chicken.  Do you like eating cowardly guys?","You know, I hear your prime select tastes like chicken.  Do you like eating cowardly guys?",114,114,1,1,True
104,203,203,203,,,No sissy portions!  Me want all iguana!  Ugh!,No sissy portions!  Me want all iguana!  Ugh!,115,115,1,1,True
105,204,204,204,,,"Hmm, smell good!  Me want prime!","Hmm, smell good!  Me want prime!",116,116,1,1,True
