occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see the Caravan Driver.,You see the Caravan Driver.,1,1,1,1,True
2,101,101,101,,,Did you want to return to the Hub? I'll pay you another 400 scripts.,Did you want to return to the Hub? I'll pay you another 400 scripts.,2,2,1,1,True
3,102,102,102,,,Rutger should be pleased; we made it without any casualties. Did you want to come back with us? We're almost ready to go. The pay will be another 400 scripts.,"Rutger should be pleased; we made it without any casualties. Did you
 want to come back with us? We're almost ready to go. The pay will be
 another 400 scripts.",3,5,1,1,True
4,103,103,103,,,That was easier than I expected. Are you coming back with us? I'm sure another 400 scripts would come in handy.,"That was easier than I expected. Are you coming back with us?
 I'm sure another 400 scripts would come in handy.",6,7,1,1,True
5,104,104,104,,,"That wasn't too bad. If you want to come back with us to the Hub, you're welcome to. We'll pay you another 400 scripts.","That wasn't too bad. If you want to come back with us to the Hub,
 you're welcome to. We'll pay you another 400 scripts.",8,9,1,1,True
6,105,105,105,,,"It's always a shame to lose someone. Rutger isn't going to take this well, but we could use your help getting back. Are you interested? Pay's still 400 scripts.","It's always a shame to lose someone. Rutger isn't going to take
 this well, but we could use your help getting back. Are you interested?
 Pay's still 400 scripts.",10,12,1,1,True
7,106,106,106,,,Damn! I hate losing good guards. We've got to be more careful on our way back. We've got to cover each other. We can't let this happen again. I'll pay you another 400 scripts. Up for it?,"Damn! I hate losing good guards. We've got to be more careful
 on our way back. We've got to cover each other. We can't let this
 happen again. I'll pay you another 400 scripts. Up for it?",13,15,1,1,True
8,107,107,107,,,Are you able to come back to the Hub with us? I can't risk losing another guard. The pay's 400 scripts. What do you say?,"Are you able to come back to the Hub with us? I can't risk losing
 another guard. The pay's 400 scripts. What do you say?",16,17,1,1,True
9,108,108,108,,,"I really could use your help getting back. Rutger's going to kill me and I don't know if I can make it alone. If you're interested, pay's still 400 scripts. So, what do you say?","I really could use your help getting back. Rutger's going to kill
 me and I don't know if I can make it alone. If you're interested, pay's
 still 400 scripts. So, what do you say?",18,20,1,1,True
10,109,109,109,,,It's going to be a tough trip back going alone. Would you come back to the Hub with me for another 400 scripts?,"It's going to be a tough trip back going alone. Would you come
 back to the Hub with me for another 400 scripts?",21,22,1,1,True
11,110,110,110,,,I can't believe we lost both of the other guards. Rutger and Butch are going to have my ass.,"I can't believe we lost both of the other guards. Rutger and
 Butch are going to have my ass.",23,24,1,1,True
12,111,111,111,,,Yes.,Yes.,25,25,1,1,True
13,112,112,112,,,No.,No.,26,26,1,1,True
14,113,113,113,,,Ug.,Ug.,27,27,1,1,True
15,114,114,114,,,Great. Let's go.,Great. Let's go.,28,28,1,1,True
16,115,115,115,,,"What, are you afraid?","What, are you afraid?",29,29,1,1,True
17,116,116,116,,,"Ah, you're missing out on some action.","Ah, you're missing out on some action.",30,30,1,1,True
18,117,117,117,,,That's okay. I'm sure we can make it back without a problem. Thanks for helping us all get here in one piece.,"That's okay. I'm sure we can make it back without a problem.
 Thanks for helping us all get here in one piece.",31,32,1,1,True
19,118,118,118,,,"That's okay. I understand. It'll be rough with just one guard, but we'll make it.","That's okay. I understand. It'll be rough with just one guard,
 but we'll make it.",33,34,1,1,True
20,119,119,119,,,"Uh, okay. I'm sure I can make it alone.","Uh, okay. I'm sure I can make it alone.",35,35,1,1,True
21,120,120,120,,,You all right? The trip must have been harder on you than I thought.,You all right? The trip must have been harder on you than I thought.,36,36,1,1,True
22,121,121,121,,,You on chems?,You on chems?,37,37,1,1,True
23,122,122,122,,,Maybe I don't want you on my caravan.,Maybe I don't want you on my caravan.,38,38,1,1,True
24,123,123,123,,,So did you change your mind? Do you want the job?,So did you change your mind? Do you want the job?,39,39,1,1,True
25,124,124,124,,,Yes.,Yes.,40,40,1,1,True
26,125,125,125,,,No.,No.,41,41,1,1,True
27,126,126,126,,,Ru?,Ru?,42,42,1,1,True
28,127,127,127,,,"Easy money. So, do you want to come back with us to the Hub? The pay's the same either way; but then again, so is the danger.","Easy money. So, do you want to come back with us to the Hub?
 The pay's the same either way; but then again, so is the danger.",43,44,1,1,True
29,128,128,128,,,"So, you up for 600 more caps? I've got to head back to the Hub. Hopefully this'll be another easy one.","So, you up for 600 more caps? I've got to head back to the Hub.
 Hopefully this'll be another easy one.",45,46,1,1,True
30,129,129,129,,,I knew you'd come back with us. It'll be 600 caps again. You interested?,"I knew you'd come back with us. It'll be 600 caps again. You
 interested?",47,48,1,1,True
31,130,130,130,,,"I hate losing someone like that; that's why we pay the big bucks. This is a dangerous route. Well, Demetre's expecting us back soon. Pay's the same. Do you want to come back with us?","I hate losing someone like that; that's why we pay the big bucks.
 This is a dangerous route. Well, Demetre's expecting us back soon. Pay's
 the same. Do you want to come back with us?",49,51,1,1,True
