occurrence,number,number_raw,source_number,audio,source_audio,text,source_text,source_line_start,source_line_end,number_occurrence,number_occurrence_count,effective
1,100,100,100,,,You see a Caravan Guard.,You see a Caravan Guard.,1,1,1,1,True
2,101,101,101,,,I can't believe we lost the boss. Do you want to come back with us? We can still pay you the 400 scripts.,"I can't believe we lost the boss. Do you want to come back with us?
 We can still pay you the 400 scripts.",2,3,1,1,True
3,102,102,102,,,"It's a shame we lost the Driver; Rutger won't like that one bit. If you want, we can still pay you the same to come back with us to the Hub.","It's a shame we lost the Driver; Rutger won't like that one bit.
 If you want, we can still pay you the same to come back with us to
 the Hub.",4,6,1,1,True
4,103,103,103,,,You coming back with us? I'll drive this thing. The pay'll be the same.,"You coming back with us? I'll drive this thing. The pay'll be the
 same.",7,8,1,1,True
5,104,104,104,,,"Well, I don't know about you, but I think I'll wait around for another caravan. I don't want to go back alone. If you want to go back I'll go with you, but if I don't make it you won't get paid the 400 scripts.","Well, I don't know about you, but I think I'll wait around for another
 caravan. I don't want to go back alone. If you want to go back I'll go
 with you, but if I don't make it you won't get paid the 400 scripts.",9,11,1,1,True
6,105,105,105,,,"That was pretty nasty. If you really want, I can get you another 400 scripts if you come back to the Hub with me. It's dangerous for one person.","That was pretty nasty. If you really want, I can get you another
 400 scripts if you come back to the Hub with me. It's dangerous for one
 person.",12,14,1,1,True
7,106,106,106,,,"You'll get another 400 scripts if you can get me and the caravan back safely to the Hub, but only if I make it. You've got to cover me if we get in a fight.","You'll get another 400 scripts if you can get me and the caravan
 back safely to the Hub, but only if I make it. You've got to cover
 me if we get in a fight.",15,17,1,1,True
8,107,107,107,,,"Okay, I'll go with you.","Okay, I'll go with you.",18,18,1,1,True
9,108,108,108,,,No thanks. I've had enough guard duty.,No thanks. I've had enough guard duty.,19,19,1,1,True
10,109,109,109,,,Tuk.,Tuk.,20,20,1,1,True
11,110,110,110,,,Great! Let's get out of here!,Great! Let's get out of here!,21,21,1,1,True
12,111,111,111,,,"Okay, I understand.","Okay, I understand.",22,22,1,1,True
13,112,112,112,,,I'll make due.,I'll make due.,23,23,1,1,True
14,113,113,113,,,All right.,All right.,24,24,1,1,True
15,114,114,114,,,Are you all right?,Are you all right?,25,25,1,1,True
16,115,115,115,,,I think you need some rest.,I think you need some rest.,26,26,1,1,True
17,116,116,116,,,"Uh, I think you should see the Brotherhood's Doctor.","Uh, I think you should see the Brotherhood's Doctor.",27,27,1,1,True
18,117,117,117,,,We lost the boss. Can you come back with us? We can still pay you the 400 scripts.,"We lost the boss. Can you come back with us? We can still pay you
 the 400 scripts.",28,29,1,1,True
19,118,118,118,,,Our Driver was a good person . . . a terrible loss. I can still pay you the 400 scripts if you want to come back with us to the Hub.,"Our Driver was a good person . . . a terrible loss. I can still pay
 you the 400 scripts if you want to come back with us to the Hub.",30,31,1,1,True
20,119,119,119,,,I'll get us back if you want to come with us. The pay'll be the same.,"I'll get us back if you want to come with us. The pay'll be the
 same.",32,33,1,1,True
21,120,120,120,,,"Wow, I can't believe we're the only two left. I'll go with you, but if I don't make it you won't get paid the 400 scripts.","Wow, I can't believe we're the only two left. I'll go with you,
 but if I don't make it you won't get paid the 400 scripts.",34,35,1,1,True
22,121,121,121,,,"That was pretty nasty. If you really want, I can get you another 400 scripts if you come back to the Hub with me. It's too dangerous for one person.","That was pretty nasty. If you really want, I can get you
 another 400 scripts if you come back to the Hub with me. It's too
 dangerous for one person.",36,38,1,1,True
23,122,122,122,,,"You'll get another 400 scripts if you can get me and the caravan back safely to the Hub, but only if I make it. You've got to cover me if we get in a fight.","You'll get another 400 scripts if you can get me and the caravan
 back safely to the Hub, but only if I make it. You've got to cover
 me if we get in a fight.",39,41,1,1,True
24,123,123,123,,,"So, did you change your mind?","So, did you change your mind?",42,42,1,1,True
25,124,124,124,,,"Yes, I'll take the job.","Yes, I'll take the job.",43,43,1,1,True
26,125,125,125,,,No.,No.,44,44,1,1,True
27,126,126,126,,,Hra?,Hra?,45,45,1,1,True
28,127,127,127,,,"Sorry, we're not going back to the Hub today.","Sorry, we're not going back to the Hub today.",46,46,1,1,True
29,128,128,128,,,"Um, sorry. I don't think we need you for the return trip.","Um, sorry. I don't think we need you for the return trip.",47,47,1,1,True
30,129,129,129,,,Talk to our Caravan Driver if you want to hire on.,Talk to our Caravan Driver if you want to hire on.,48,48,1,1,True
31,130,130,130,,,"Hi there. If you're looking for some work, see our Caravan Driver.","Hi there. If you're looking for some work, see our Caravan
 Driver.",49,50,1,1,True
32,131,131,131,,,"Why, hello.","Why, hello.",51,51,1,1,True
33,132,132,132,,,"Sorry, can't talk.","Sorry, can't talk.",52,52,1,1,True
34,133,133,133,,,Coming back to the Hub with us?,Coming back to the Hub with us?,53,53,1,1,True
35,134,134,134,,,"I love Caravan duty, lots of action and caps.","I love Caravan duty, lots of action and caps.",54,54,1,1,True
36,135,135,135,,,The Far Go Traders are great to work for.,The Far Go Traders are great to work for.,55,55,1,1,True
37,136,136,136,,,I like working for the Far Go Traders; they don't take stupid risks.,I like working for the Far Go Traders; they don't take stupid risks.,56,56,1,1,True
38,137,137,137,,,The Crimson Caravan's caravans are the best.,The Crimson Caravan's caravans are the best.,57,57,1,1,True
39,138,138,138,,,"The Crimson Caravan pays so well, I'll retire in a year.","The Crimson Caravan pays so well, I'll retire in a year.",58,58,1,1,True
40,139,139,139,,,Talk to the other guard if you want to come back with us.,Talk to the other guard if you want to come back with us.,59,59,1,1,True
41,140,140,140,,,Here're your caps. We could use a hand getting back if you can.,Here're your caps. We could use a hand getting back if you can.,60,60,1,1,True
